<SIZE>31
<LANG>EN
<STATE>Limburg,LI
Arcen,51.4767,6.18056
Beek,50.9408,5.79722
Beesel,51.2683,6.03889
Born,51.0317,5.80972
Brunssum,50.9467,5.97083
Eijsden,50.7783,5.71111
Gennep,51.6983,5.97361
Haelen,51.2358,5.95694
Heerlen,50.9,5.98333
Herkenbosch,51.1533,6.06389
Kerkrade,50.8658,6.0625
Leeuwen,51.2103,5.99862
Maasbracht,51.1458,5.89444
Maasbree,51.3575,6.04861
Maastricht,50.8483,5.68889
Margraten,50.8208,5.82083
Meerssen,50.8875,5.75
Nederweert,51.2858,5.74861
Nuth,50.9175,5.88611
Posterholt,51.1233,6.03472
Rimburg,50.9158,6.08472
Roermond,51.1942,5.9875
Schinnen,50.9433,5.88889
Simpelveld,50.8342,5.98194
Stein,50.9692,5.76667
Vaals,50.7708,6.01806
Valkenburg,50.8642,5.83056
Venlo,51.37,6.16806
Venray,51.525,5.975
Voerendaal,50.8783,5.93056
Weert,51.2517,5.70694
