<SIZE>49
<LANG>EN
<STATE>South Holland,ZH
Alblasserdam,51.8658,4.66111
Alphen aan den Rijn,52.135,4.65972
Barendrecht,51.8567,4.53472
Benthuizen,52.0775,4.54444
Bergschenhoek,51.99,4.49861
Bleiswijk,52.0108,4.53194
Bodegraven,52.0825,4.75
Boskoop,52.075,4.65556
Brielle,51.9017,4.1625
Delft,52.0067,4.35556
Dordrecht,51.81,4.67361
Goedereede,51.8175,3.98056
Gorinchem,51.8325,4.975
Gouda,52.0167,4.70833
Haastrecht,52.0007,4.77639
Krimpen aan den IJssel,51.9167,4.60278
Leiden,52.1583,4.49306
Leiderdorp,52.1583,4.52917
Leimuiden,52.2242,4.66944
Liesveld,51.9325,4.83194
Lisse,52.26,4.55694
Maassluis,51.9233,4.25
Middelharnis,51.7575,4.16528
Nieuwkoop,52.1508,4.77639
Noordwijk-Binnen,52.2358,4.44722
Noordwijkerhout,52.2617,4.49306
Oegstgeest,52.18,4.46944
Oud-Beijerland,51.8242,4.4125
Papendrecht,51.8317,4.6875
Pijnacker,52.0195,4.42946
Reeuwijk,52.0467,4.725
Rhoon,51.8575,4.42222
Ridderkerk,51.8725,4.60278
Rijnsburg,52.19,4.44167
Rijswijk,52.0363,4.32501
Rotterdam,51.9225,4.47917
Sassenheim,52.225,4.52222
Schiedam,51.9192,4.38889
Schoonhoven,51.9475,4.84861
Sliedrecht,51.8208,4.77639
Spijkenisse,51.845,4.32917
Strijen,51.7452,4.55083
Vlaardingen,51.9125,4.34167
Vlist,51.98,4.81944
Voorhout,52.2217,4.48472
Voorschoten,52.1275,4.44861
Wassenaar,52.1458,4.40278
Zoetermeer,52.0575,4.49306
Zwijndrecht,51.8175,4.63333
