<SIZE>44
<LANG>EN
<STATE>Lower Silesian Voivodeship,DO
Bielawa,50.6833,16.6167
Bogatynia,50.9167,14.95
Boguszów-Gorce,50.75,16.2
Bolesławiec,51.2667,15.5667
Brzeg Dolny,51.2667,16.7167
Bystrzyca Kłodzka,50.3,16.65
Chojnów,51.2667,15.9333
Cielętniki,51.3,17.2
Dzierżoniów,50.7167,16.65
Głogów,51.6662,16.0845
Jawor,51.05,16.1833
Jelcz,51.0333,17.3167
Jelenia Góra,50.9008,15.7253
Kamienna Góra,50.7833,16.0333
Kowary,50.7911,15.8303
Kudowa-Zdrój,50.45,16.25
Kłodzko,50.4333,16.65
Legnica,51.2,16.2
Lubań,51.1167,15.2833
Lubin,51.4,16.2
Ludgierzowice,51.3,17.25
Lwówek Śląski,51.1167,15.5833
Milicz,51.5333,17.2667
Nowa Ruda,50.5833,16.5
Oborniki Śląskie,51.3,16.9167
Oleśnica,51.2,17.3833
Oława,50.9333,17.3
Pieszyce,50.7167,16.6
Polkowice,51.5,16.0667
Psary,51.1833,17.0333
Strzegom,50.9667,16.35
Strzelin,50.7833,17.0667
Trzebnica,51.3167,17.05
Wałbrzych,50.7667,16.2833
Wołów,51.3333,16.65
Wrocław,51.1,17.0333
Zawonia,51.3167,17.2
Zgorzelec,51.15,15.0167
Ziębice,50.6,17.0333
Ząbkowice Śląskie,50.5833,16.8
Złotoryja,51.1167,15.9167
Łuczyna,51.3,17.2833
Świdnica,50.85,16.5
Świebodzice,50.8667,16.3333
