<SIZE>22
<LANG>EN
<STATE>Lublin Voivodeship,LL
Biała Podlaska,52.0333,23.1333
Biłgoraj,50.55,22.7
Chełm,51.1333,23.5
Dęblin,51.5667,21.8333
Hrubieszów,50.8,23.9167
Krasnystaw,50.9833,23.1833
Kraśnik,50.9167,22.2333
Lubartów,51.4667,22.6333
Lublin,51.25,22.5667
Międzyrzec Podlaski,51.9833,22.7833
Opole Lubelskie,51.15,21.9667
Parczew,51.6333,22.9
Poniatowa,51.1833,22.1333
Puławy,51.4167,21.9667
Radzyń Podlaski,51.7833,22.6167
Ryki,51.6333,21.9333
Terespol,52.0755,23.6161
Tomaszów Lubelski,50.4534,23.4191
Włodawa,51.55,23.55
Zamość,50.7167,23.25
Łęczna,51.2833,22.8667
