<SIZE>23
<LANG>EN
<STATE>Łódź Voivodeship,LO
Aleksandrów Łódzki,51.8167,19.3
Bełchatów,51.3667,19.3833
Brzeziny,51.8,19.75
Głowno,51.9667,19.7333
Koluszki,51.7667,19.8
Konstantynów Łódzki,51.75,19.3333
Opoczno,51.3667,20.2833
Ozorków,51.9667,19.2833
Pabianice,51.6667,19.3667
Piotrków Trybunalski,51.4,19.6833
Radomsko,51.0667,19.45
Rawa Mazowiecka,51.7667,20.25
Sieradz,51.6,18.75
Skierniewice,51.9667,20.15
Sochaczew,52.2333,20.25
Tomaszów Mazowiecki,51.5333,20.0167
Wieluń,51.2167,18.55
Zduńska Wola,51.6,18.9333
Zgierz,51.85,19.4167
Łask,51.5833,19.1333
Łowicz,52.1167,19.9333
Łódź,51.75,19.4667
Żyrardów,52.0667,20.4333
