<SIZE>35
<LANG>EN
<STATE>Lesser Poland Voivodeship,ML
Bochnia,49.9667,20.4333
Brzesko,49.9667,20.6167
Drezdenko,52.8333,15.8167
Dąbrowa Tarnowska,50.1667,20.9833
Dębica,50.05,21.4167
Gorlice,49.6667,21.1667
Gorzów Wielkopolski,52.7333,15.2333
Gołcza,50.3372,19.9262
Kostrzyn nad Odrą,52.5833,14.65
Kraków,50.0833,19.9167
Krynica,49.4258,20.9602
Krzeszowice,50.1333,19.6333
Krępa,50.3275,19.9529
Limanowa,49.7,20.4333
Miechów,50.3565,20.0279
Międzychód,52.6,15.9
Międzyrzecz,52.4333,15.5833
Myślenice,49.8333,19.9333
Nowy Sącz,49.6333,20.7167
Nowy Targ,49.4833,20.0333
Ośno Lubuskie,52.45,14.8667
Przesławice,50.3131,20.0104
Rabka,49.6167,19.95
Rzeżuśnia,50.3359,19.9559
Skawina,49.9833,19.8333
Skwierzyna,52.6,15.5
Stary Sącz,49.5667,20.65
Strzelce Krajeńskie,52.8667,15.5333
Sulęcin,52.4333,15.1
Słubice,52.35,14.5833
Tarnów,50.0167,20.9833
Wadowice,49.8833,19.4833
Wieliczka,49.9879,20.0793
Wielkanoc,50.3394,19.9163
Zakopane,49.3,19.9667
