<SIZE>20
<LANG>EN
<STATE>Subcarpathian Voivodeship,PP
Janów Lubelski,50.7167,22.4167
Jarosław,50.0167,22.6833
Jasło,49.75,21.4667
Krosno,49.6833,21.7833
Leżajsk,50.2667,22.4167
Lubaczów,50.1667,23.1333
Mielec,50.2833,21.4167
Nisko,50.5333,22.15
Nowa Dęba,50.4333,21.7667
Połaniec,50.4333,21.2833
Przemyśl,49.7833,22.7833
Przeworsk,50.0667,22.5
Rzeszów,50.05,22
Sandomierz,50.6833,21.75
Sanok,49.5667,22.2
Stalowa Wola,50.5667,22.05
Staszów,50.55,21.1667
Tarnobrzeg,50.5833,21.6833
Ustrzyki Dolne,49.4333,22.5833
Łańcut,50.0667,22.2333
