<SIZE>54
<LANG>EN
<STATE>Silesian Voivodship,SL
Andrychów,49.85,19.35
Bielsko-Biała,49.8167,19.0333
Bieruń Stary,50.1,19.1
Brzeszcze,49.9833,19.15
Bytom,50.35,18.9667
Będzin,50.3237,19.1323
Chełmek,50.1,19.2667
Chorzów,50.3,18.9667
Chrzanów,50.1333,19.4
Cieszyn,49.7513,18.6321
Czechowice-Dziedzice,49.9167,19.0167
Czeladź,50.3167,19.1
Czerwionka,50.1667,18.6833
Częstochowa,50.8,19.1167
Dąbrowa Górnicza,50.3333,19.2
Gliwice,50.2833,18.6667
Jastrzębie Zdrój,49.95,18.5833
Jaworzno,50.2053,19.275
Kalety,50.5667,18.9
Katowice,50.2667,19.0167
Knurów,50.2167,18.6667
Kęty,49.8833,19.2333
Kłobuck,50.9,18.9333
Libiąż,50.1,19.3167
Lubliniec,50.6667,18.6833
Myszków,50.5833,19.35
Mysłowice,50.2423,19.1392
Nowe Tychy,50.15,19
Olesno,50.8833,18.4333
Olkusz,50.2833,19.5667
Orzesze,50.15,18.7833
Oświęcim,50.0333,19.2333
Pajęczno,51.15,19
Piekary Śląskie,50.4,18.95
Poręba,50.4833,19.35
Pszczyna,49.9667,18.95
Pyskowice,50.4,18.6333
Racibórz,50.0833,18.2
Radzionków Nowy,50.3833,18.9
Ruda Śląska,50.3167,18.85
Siemianowice Śląskie,50.3,19.0333
Skoczów,49.8,18.8
Sosnowiec,50.3,19.1667
Sucha Beskidzka,49.7415,19.5951
Tarnowskie Góry,50.45,18.8667
Trzebinia,50.1667,19.4833
Ustroń,49.7167,18.8
Wisła,49.6667,18.8667
Wodzisław Śląski,50,18.4667
Wolbrom,50.3667,19.7667
Zabrze,50.3167,18.7833
Zawiercie,50.5,19.4333
Świętochłowice,50.2833,18.9167
Żory,50.05,18.7
