<SIZE>22
<LANG>EN
<STATE>Warmian-Masurian Voivodeship,WM
Bartoszyce,54.2558,20.8114
Biskupiec,53.8667,20.9667
Braniewo,54.3797,19.82
Dobre Miasto,53.9867,20.3975
Elblag,54.1667,19.3833
Frombork,54.3603,19.6861
Górowo Iławeckie,54.2878,20.4967
Iława,53.6,19.5667
Kwidzyn,53.7333,18.9167
Kętrzyn,54.0781,21.3764
Lidzbark Warmiński,54.1225,20.5878
Lubawa,53.5,19.75
Malbork,54.0333,19.05
Morąg,53.9167,19.9333
Mrągowo,53.8671,21.2996
Nidzica,53.3667,20.4333
Nowy Dwór Gdański,54.2167,19.1167
Olsztyn,53.7833,20.4833
Orneta,54.1178,20.1319
Ostróda,53.7,19.9833
Pasłęk,54.0675,19.6672
Szczytno,53.5667,21
