<SIZE>50
<LANG>EN
<STATE>Aveiro,AV
Aguada de Cima,40.5167,-8.43333
Albergaria-a-Velha,40.7,-8.48333
Aradas,40.6167,-8.65
Arcos,40.45,-8.43333
Argoncilhe,41.0167,-8.53333
Arrifana,40.9167,-8.5
Avanca,40.8,-8.56667
Aveiro,40.6333,-8.65
Beduido,40.7667,-8.56667
Branca,40.7667,-8.48333
Cortegaça,40.9333,-8.61667
Cucujães,40.8667,-8.5
Eixo,40.6167,-8.56667
Esmoriz,40.95,-8.61667
Espinho,41,-8.65
Feira,40.9167,-8.55
Fiães,40.9833,-8.51667
Gafanha da Encarnação,40.6167,-8.73333
Gafanha da Nazaré,40.6333,-8.71667
Lamas,40.9833,-8.56667
Lobão,40.9833,-8.48333
Lourosa,40.9833,-8.55
Macieira de Cambra,40.85,-8.38333
Mealhada,40.3667,-8.45
Milheirós de Poiares,40.9167,-8.46667
Nogueira da Regedoura,41,-8.58333
Oiã,40.55,-8.53333
Oliveira de Azeméis,40.8333,-8.48333
Oliveira do Bairro,40.5167,-8.5
Oliveirinha,40.6,-8.58333
Ovar,40.8667,-8.63333
Pampilhosa do Botão,40.3333,-8.41667
Pardilhó,40.8,-8.61667
Paços de Brandão,40.9667,-8.58333
Rio Meão,40.95,-8.58333
Salreu,40.7333,-8.55
Sangalhos,40.5,-8.46667
Silvalde,40.9833,-8.61667
Souto,40.9833,-8.61667
São João,40.8667,-8.6
São João da Madeira,40.9,-8.5
São João de Ver,40.95,-8.55
São Roque,40.8833,-8.46667
Vagos,40.55,-8.68333
Vale de Cambra,40.85,-8.4
Valongo,40.6167,-8.45
Vila Chã,40.8667,-8.46667
Válega,40.8333,-8.58333
Águeda,40.5667,-8.45
Ílhavo,40.6,-8.66667
