<SIZE>35
<LANG>EN
<STATE>Braga,BA
Adaúfe,41.5833,-8.4
Antas,41.7333,-8.3
Apúlia,41.4833,-8.76667
Arões,41.45,-8.21667
Barcelos,41.5333,-8.61667
Braga,41.55,-8.43333
Brito,41.45,-8.36667
Caldas de Vizela,41.3833,-8.31667
Caldelas,41.6667,-8.38333
Calendário,41.4,-8.53333
Candoso,41.4167,-8.31667
Fafe,41.45,-8.16667
Ferreiros,41.35,-8.55
Galegos,41.5667,-8.58333
Guimarães,41.45,-8.3
Joane,41.4333,-8.41667
Lordelo,41.3667,-8.38333
Marinhas,41.55,-8.78333
Moreira de Conegos,41.3833,-8.35
Oliveira,41.4833,-8.46667
Ponte,41.4667,-8.33333
Prado,41.6,-8.46667
Póvoa de Lanhoso,41.5833,-8.26667
Real,41.6333,-8.16667
Refojos de Basto,41.5167,-8
Ribeirão,41.35,-8.55
Ronfe,41.4333,-8.38333
Sande,41.7,-8.4
Selho,41.4167,-8.35
Serzedelo,41.4,-8.36667
Serzedo,41.4,-8.23333
Urgeses,41.4167,-8.3
Vila Frescainha,41.5333,-8.63333
Vila Nova de Famalicão,41.4167,-8.53333
Vila Verde,41.65,-8.43333
