<SIZE>28
<LANG>EN
<STATE>Faro,FA
Albufeira,37.0833,-8.25
Aljezur,37.3167,-8.8
Almancil,37.0833,-8.03333
Alvor,37.1333,-8.56667
Armação de Pêra,37.1,-8.35
Boliqueime,37.1333,-8.15
Castro Marim,37.2167,-7.43333
Estômbar,37.15,-8.48333
Faro,37.0167,-7.93333
Ferreiras,37.1333,-8.23333
Guia,37.1167,-8.3
Lagoa,37.1333,-8.45
Lagos,37.1,-8.66667
Laranjeiro,37.0667,-7.8
Loulé,37.1333,-8.03333
Luz,37.0833,-7.7
Moncarapacho,37.0833,-7.78333
Monchique,37.3167,-8.55
Monte Gordo,37.1833,-7.45
Olhão,37.0333,-7.83333
Portimão,37.1333,-8.53333
Quarteira,37.0667,-8.1
Santa Bárbara de Nexe,37.1,-7.96667
Silves,37.1833,-8.43333
São Bartolomeu de Messines,37.25,-8.28333
São Brás de Alportel,37.15,-7.88333
Tavira,37.1167,-7.65
Vila Real de Santo António,37.2,-7.41667
