<SIZE>24
<LANG>EN
<STATE>Leiria,LE
Alcobaça,39.55,-8.98333
Aljubarrota,39.5667,-8.93333
Amor,39.8,-8.86667
Atouguia da Baleia,39.3333,-9.33333
Batalha,39.65,-8.83333
Benedita,39.4167,-8.98333
Bombarral,39.2667,-9.15
Caldas da Rainha,39.4,-9.13333
Caranguejeira,39.7333,-8.71667
Castanheira de Pêra,40,-8.21667
Leiria,39.75,-8.8
Louriçal,40,-8.73333
Maceira,39.6833,-8.88333
Marinha Grande,39.75,-8.93333
Monte Redondo,39.9,-8.83333
Nazaré,39.6,-9.06667
Pataias,39.6667,-9
Peniche,39.35,-9.38333
Pombal,39.9167,-8.63333
Porto de Mós,39.6,-8.81667
Santa Catarina da Serra,39.6667,-8.68333
Souto da Carpalhosa,39.85,-8.81667
Turquel,39.4667,-8.98333
Vieira de Leiria,39.8667,-8.93333
