<SIZE>67
<LANG>EN
<STATE>Lisboa,LI
A dos Cunhados,39.15,-9.3
Alcabideche,38.7333,-9.41667
Alcoentre,39.2,-8.95
Alenquer,39.05,-9
Algés,38.7,-9.23333
Alhandra,38.9167,-9
Almargem,38.8333,-9.26667
Amadora,38.7538,-9.23083
Apelação,38.8167,-9.13333
Arruda dos Vinhos,38.9833,-9.08333
Aveiras de Cima,39.1333,-8.9
Azambuja,39.0667,-8.86667
Barcarena,38.7333,-9.28333
Belas,38.7667,-9.26667
Bobadela,38.8167,-9.1
Bucelas,38.9,-9.11667
Cacém,38.7667,-9.3
Camarate,38.8,-9.13333
Caneças,38.8,-9.23333
Carcavelos,38.6833,-9.33333
Carnaxide,38.7167,-9.25
Carregado,39.0167,-8.98333
Cascais,38.7,-9.41667
Castanheira do Ribatejo,38.9833,-8.96667
Colares,38.8,-9.45
Ericeira,38.9833,-9.41667
Famões,38.7833,-9.2
Linda-a-Velha,38.7167,-9.25
Lisbon,38.7167,-9.13333
Loures,38.8333,-9.16667
Lourinhã,39.2333,-9.31667
Mafra,38.9333,-9.33333
Malveira,38.9333,-9.25
Milharado,38.95,-9.2
Monte Estoril,38.7,-9.4
Moscavide,38.7667,-9.1
Odivelas,38.7833,-9.18333
Olival do Basto,38.7833,-9.16667
Parede,38.6833,-9.35
Paço de Arcos,38.6957,-9.29143
Pero Pinheiro,38.85,-9.33333
Pontinha,38.7667,-9.2
Porto Salvo,38.7167,-9.3
Póvoa de Santa Iria,38.85,-9.06667
Póvoa de Santo Adrião,38.8,-9.16667
Quejas,38.7167,-9.26667
Queluz,38.75,-9.25
Ramada,38.8,-9.18333
Rio de Mouro,38.7667,-9.33333
Sacavém,38.7833,-9.1
Santa Iria da Azóia,38.85,-9.08333
Santo Antão do Tojal,38.85,-9.13333
Silveira,39.1167,-9.36667
Sintra,38.8,-9.38333
Sobralinho,38.9167,-9.01667
São Domingos de Rana,38.7,-9.33333
São João da Talha,38.8167,-9.08333
São João das Lampas,38.8667,-9.4
São João dos Montes,38.9333,-9.01667
São Pedro da Cadeira,39.0667,-9.36667
Terrugem,38.7,-9.28333
Torres Vedras,39.1,-9.26667
Unhos,38.8167,-9.11667
Venda do Pinheiro,38.9167,-9.23333
Ventosa,39.1333,-9.08333
Vialonga,38.8667,-9.08333
Vila Franca de Xira,38.95,-8.98333
