<SIZE>83
<LANG>EN
<STATE>Porto,PO
Aguçadoura,41.4333,-8.78333
Alfena,41.2333,-8.53333
Amarante,41.2667,-8.08333
Anta,41.2667,-8.63333
Arcozelo,41.05,-8.65
Aver-o-Mar,41.4,-8.76667
Aves,41.3667,-8.4
Avintes,41.1167,-8.55
Azenha,41.0667,-8.61667
Baguim do Monte,41.1833,-8.53333
Baltar,41.1833,-8.38333
Barrosas,41.35,-8.3
Bougado,41.3333,-8.55
Campo,41.1833,-8.46667
Canelas,41.0833,-8.6
Canidelo,41.1167,-8.65
Carvalhosa,41.3,-8.36667
Castelões de Cepeda,41.2,-8.33333
Ermesinde,41.2167,-8.55
Ferreira,41.2667,-8.35
Figueiró,41.3,-8.16667
Foz do Sousa,41.1,-8.5
Frazão,41.2667,-8.4
Freamunde,41.2833,-8.35
Fânzeres,41.1667,-8.53333
Gandra,41.2,-8.43333
Gemunde,41.2667,-8.65
Gondomar,41.15,-8.53333
Grijó,41.0333,-8.58333
Guifões,41.2,-8.66667
Gulpilhares,41.0833,-8.65
Jovim,41.1,-8.51667
Lavra,41.25,-8.71667
Leça da Palmeira,41.2,-8.7
Leça do Bailio,41.2,-8.61667
Lordelo,41.2333,-8.41667
Lustosa,41.3333,-8.31667
Madalena,41.2167,-8.33333
Maia,41.2333,-8.61667
Margaride,41.3667,-8.2
Matosinhos,41.1833,-8.7
Meinedo,41.25,-8.25
Milheirós,41.2167,-8.58333
Moreira,41.05,-8.38333
Negrelos,41.35,-8.4
Nogueira,41.2333,-8.58333
Olival,41.05,-8.55
Oliveira do Douro,41.1167,-8.58333
Paços de Ferreira,41.2667,-8.4
Pedroso,41.4167,-8.75
Pedrouços,41.1833,-8.58333
Penafiel,41.2,-8.28333
Perafita,41.1833,-8.25
Perozinho,41.0667,-8.58333
Porto,41.15,-8.61667
Póvoa de Varzim,41.3833,-8.76667
Rebordosa,41.2167,-8.4
Recarei,41.15,-8.41667
Rio Tinto,41.1833,-8.56667
Sandim,41.0333,-8.51667
Santa Cruz do Bispo,41.2167,-8.66667
Santo Tirso,41.35,-8.46667
Senhora da Hora,41.1833,-8.65
Seroa,41.2667,-8.43333
Sobrado,41.2,-8.46667
São Félix da Marinha,41.0333,-8.61667
São Mamede de Infesta,41.2,-8.6
São Miguel do Couto,41.3333,-8.46667
São Pedro da Cova,41.15,-8.51667
São Romão do Coronado,41.2833,-8.56667
Telões,41.3167,-8.1
Valadares,41.15,-7.98333
Valbom,41.1333,-8.56667
Valongo,41.1833,-8.5
Vila Nova da Telha,41.0667,-8.63333
Vila Nova de Gaia,41.1333,-8.61667
Vila do Conde,41.35,-8.75
Vilar de Andorinho,41.1,-8.56667
Vilar do Paraíso,41.0833,-8.61667
Vilarinho,41.35,-8.33333
Vizela,41.3833,-8.25
Águas Santas,41.2,-8.58333
Árvore,41.3333,-8.71667
