<SIZE>26
<LANG>EN
<STATE>Santarém,SA
Abrantes,39.4667,-8.2
Alcanede,39.4167,-8.81667
Alcanena,39.45,-8.66667
Alferrarede,39.4833,-8.16667
Almeirim,39.2,-8.63333
Alpiarça,39.25,-8.58333
Arganil,39.6667,-7.98333
Benavente,38.9833,-8.8
Cartaxo,39.15,-8.78333
Coruche,38.95,-8.51667
Entroncamento,39.4667,-8.46667
Fazendas de Almeirim,39.1833,-8.58333
Fátima,39.6167,-8.65
Golegã,39.4,-8.48333
Marinhais,39.05,-8.7
Ourém,39.6333,-8.58333
Poceirão,38.8333,-8.78333
Pontével,39.15,-8.83333
Riachos,39.4333,-8.51667
Rio Maior,39.3333,-8.93333
Salvaterra de Magos,39.0167,-8.8
Samora Correia,38.9333,-8.86667
Santarém,39.2333,-8.68333
Tomar,39.6,-8.41667
Torres Novas,39.4833,-8.53333
Tramagal,39.45,-8.25
