<SIZE>30
<LANG>EN
<STATE>Setúbal,SE
Alcochete,38.75,-8.96667
Alcácer do Sal,38.3667,-8.5
Aldeia de Paio Pires,38.6167,-9.08333
Alhos Vedros,38.65,-9.03333
Almada,38.6833,-9.15
Amora,38.6167,-9.11667
Arrentela,38.6167,-9.1
Barreiro,38.6667,-9.06667
Cacilhas,38.6833,-9.15
Caparica,38.6667,-9.2
Cercal,37.8,-8.66667
Charneca,38.6167,-9.18333
Corroios,38.6333,-9.15
Costa de Caparica,38.6333,-9.23333
Cova da Piedade,38.6667,-9.15
Grândola,38.1667,-8.56667
Moita,38.65,-8.98333
Montijo,38.7,-8.96667
Palmela,38.5667,-8.9
Pinhal Novo,38.6333,-8.91667
Pragal,38.6667,-9.16667
Quinta do Anjo,38.5667,-8.93333
Santiago do Cacém,38.0167,-8.7
Santo André,38.05,-8.75
Santo António da Charneca,38.6167,-9.03333
Sesimbra,38.4445,-9.10149
Setúbal,38.5333,-8.9
Sines,37.95,-8.86667
Sobreda,38.65,-9.18333
Trafaria,38.6667,-9.23333
