<SIZE>474
<LANG>EN
<STATE>RO,RO
Adamclisi,44.0833,27.95
Adjud,46.1,27.1667
Adîncata,47.7333,26.3
Agnita,45.9667,24.6167
Aiud,46.3,23.7167
Alba Iulia,46.0667,23.5833
Albeşti,47.7,27.0667
Alexandria,43.9833,25.3333
Alexeni,44.6833,26.7
Aleşd,47.0667,22.4167
Amara,44.6167,27.3167
Amzacea,43.95,28.4
Anina,45.0794,21.8569
Apahida,46.8167,23.75
Apateu,46.6167,21.7833
Arad,46.1833,21.3167
Arefu,45.3333,24.6
Ariceştii-Rahtivani,44.95,25.8333
Arieşeni,46.4833,22.7667
Asuaju de Sus,47.5667,23.1833
Avrig,45.7167,24.3833
Babadag,44.9,28.7167
Baciu,46.8,23.5167
Bacău,46.5667,26.9
Baia,44.7167,28.6667
Baia Mare,47.6573,23.5681
Baia-Sprie,47.6667,23.7
Balcani,46.6333,26.55
Balş,44.35,24.1
Band,46.5833,24.3833
Bara,45.8947,21.8719
Baraolt,46.0833,25.6
Başcov,44.9,24.8167
Beba Veche,46.1333,20.3167
Becaş,46.4333,24.8333
Beclean,47.1833,24.1833
Beiuş,46.6667,22.35
Belceşti,47.3,27.0833
Beltiug,47.55,22.85
Berbeşti,44.9833,23.8833
Berca,45.2833,26.6833
Berezeni,46.3761,28.1478
Bicaz,46.9167,26.0667
Bilbor,47.05,25.5167
Bistriţa,47.1333,24.4833
Blaj,46.1833,23.9167
Blejoiu,45,26.0167
Bocşa,45.3733,21.7092
Boldeşti-Scăeni,45.0333,26.0333
Bolintin Vale,44.4489,25.7578
Borcea,44.3333,27.75
Borleşti,46.7667,26.4833
Borşa,47.65,24.6667
Botoşani,47.75,26.6667
Brad,46.1333,22.7833
Bragadiru,44.3711,25.9775
Bratca,46.9333,22.6167
Brazii de Sus,44.8667,26.0167
Braşov,45.6333,25.5833
Breaza,45.1833,25.6667
Brebu Mînăstirei,45.1833,25.7667
Brodina,47.8833,25.4167
Broşteni,47.2333,25.7
Brăhăşeştii de Jos,46.0333,27.3667
Brăila,45.2667,27.9833
Brăneşti,45.0333,25.4167
Bucharest,44.4333,26.1
Bucinişu,43.95,24.25
Bucov,44.9667,26.0833
Budeşti,44.2347,26.4658
Buftea,44.5614,25.9489
Buhuşi,46.7167,26.7
Bujor,45.8667,27.9
Bumbeşti-Jiu,45.1667,23.4
Buziaş,45.6492,21.6036
Buzău,45.15,26.8333
Buşteni,45.4,25.5333
Bârzava,46.1167,21.9833
Bîrla,44.4333,24.7667
Bârlad,46.2333,27.6667
Băbeni,44.9667,24.2333
Băicoi,45.0333,25.85
Băile Tuşnad,46.15,25.85
Băileşti,44.0167,23.35
Băiuţ,47.6167,24
Bălceşti,44.6167,23.95
Băleni Sîrbi,44.8167,25.6333
Bălăciţa,44.3833,23.1333
Băneasa,44.0667,27.7
Bărcăneşti,44.8833,26.05
Calafat,43.9911,22.9328
Caracal,44.1167,24.35
Caransebeş,45.4167,22.2167
Carei,47.6833,22.4667
Castelu,44.25,28.3333
Cerna,45.0833,28.3167
Cernavodă,44.3667,28.0167
Cernica,44.4167,26.2833
Chiajna,44.46,25.9733
Chilia Veche,45.4167,29.2833
Chiochiş,46.9833,24.1833
Chirnogi,44.1167,26.5667
Chitila,44.5081,25.9822
Chişineu Criş,46.5333,21.5167
Ciacova,45.5081,21.1286
Cioranii de Jos,44.8167,26.4167
Ciorăşti,45.4333,27.3
Cisnădie,45.7167,24.15
Ciurea,47.05,27.5667
Cluj-Napoca,46.7667,23.6
Cobadin,44.0833,28.2167
Cociuba Mare,46.7333,22
Codlea,45.7,25.45
Cogealac,44.55,28.5667
Comana,44.1706,26.145
Comarnic,45.25,25.6333
Comăneşti,46.4167,26.4333
Constanţa,44.1833,28.65
Corabia,43.7833,24.5
Corbii Mari,44.55,25.5
Cormaia,47.3667,24.6833
Corneşti,44.7833,25.8667
Corod,45.9,27.6167
Costeşti,44.6667,24.8833
Cotnari,47.35,26.9833
Covasna,45.85,26.1833
Coţuşca,48.1333,26.85
Craiova,44.3167,23.8
Cristuru Secuiesc,46.2833,25.0333
Crişan,44.9667,29.4667
Crucea,44.5333,28.2333
Cuca,44.95,24.5167
Cudalbi,45.7833,27.7
Cugir,45.8333,23.3667
Cumpăna,44.1167,28.5667
Curtea de Argeş,45.1333,24.6833
Curtici,46.35,21.3
Câmpulung Moldovenesc,47.5333,25.5667
Cîinenii Mici,45.4833,24.3
Cîmpeni,46.3667,23.05
Cîmpia Turzii,46.55,23.8833
Cîrţa,46.5333,25.75
Călan,45.7333,22.9833
Călimăneşti,45.2333,24.3333
Călineşti,44.8167,25.05
Călăraşi,44.2,27.3333
Darabani,48.1833,26.5833
Dej,47.15,23.8667
Deleni,47.4667,26.8833
Deva,45.8833,22.9
Diosig,47.3,22
Dobreni,44.4167,25.1167
Dobreşti,46.85,22.3
Dofteana,46.3167,26.5167
Dolhasca,47.4333,26.6
Dor Mărunt,44.45,26.9167
Dorohoi,47.95,26.4
Doştat,45.9667,23.85
Dragalina,44.4333,27.3167
Dragomireşti,44.9167,25.3333
Drobeta-Turnu Severin,44.6319,22.6561
Drăgăneşti-Olt,44.1667,24.5333
Drăgăşani,44.65,24.2667
Dumbrava,45.8167,22.1167
Dumbrăveni,46.2333,24.5667
Dumitreşti-Faţă,45.5667,26.9167
Dăbuleni,43.8,24.0833
Dăeni,44.8333,28.1167
Dărmăneşti,46.3667,26.4833
Feteşti,44.3833,27.8333
Fieni,45.1333,25.4167
Filiaşi,44.55,23.5167
Filipeştii de Pădure,45,25.75
Filipeştii de Tîrg,44.9833,25.7833
Floreşti,45.05,25.7833
Focşani,45.7,27.1833
Făgăraş,45.85,24.9667
Fălticeni,47.45,26.3
Galaţi,45.45,28.05
Galbenu,45.2167,27.1667
Gheorgheni,46.7167,25.6167
Gherla,47.0333,23.9167
Ghimeş-Făget,46.5833,26.0667
Gighera,43.85,23.8
Gilău,46.75,23.3833
Giurgiu,43.8833,25.9667
Gogoşu,44.3739,22.5931
Gura Humorului,47.55,25.9
Gurahonţ,46.2667,22.35
Gurghiu,46.7667,24.85
Gârla-Mare,44.2092,22.775
Găeşti,44.7167,25.3167
Gătaia,45.4311,21.43
Halmeu,47.9667,23.0167
Haţeg,45.6167,22.95
Hida,47.0667,23.2833
Hodod,47.4,23.0333
Holboca,47.15,27.7
Homocea,46.1333,27.2333
Horezu,45.15,24.0167
Hotarele,44.1725,26.3703
