<SIZE>198
<LANG>EN
<STATE>SI,SI
Ajdovščina,45.8875,13.9111
Ankaran,45.5786,13.7361
Bakovci,46.6189,16.1503
Beltinci,46.6053,16.2406
Bertoki,45.5456,13.7678
Bilje,45.8944,13.6322
Bled,46.3692,14.1136
Borovnica,45.9158,14.3631
Branik,45.8572,13.7842
Brestanica,45.9833,15.4833
Brestrnica,46.5697,15.575
Brezovica,46.0333,14.4
Brežice,45.9033,15.5911
Britof,46.2602,14.3904
Bukovci,46.3872,15.965
Celje,46.2361,15.2675
Cerknica,45.7931,14.3625
Cerkno,46.1256,13.9817
Dekani,45.5497,13.8136
Deskle,46.0525,13.6236
Divača,45.6847,13.9703
Dob,46.1519,14.6286
Dobrova,46.055,14.4172
Dobrovnik,46.6514,16.3525
Dogoše,46.5231,15.7067
Dokležovje,46.6033,16.1781
Dolenji Boštanj,46.0094,15.2908
Domžale,46.1381,14.5978
Dornava,46.4367,15.9536
Dragomer,46.0167,14.3833
Dravograd,46.5881,15.0192
Fram,46.4506,15.6322
Gančani,46.6325,16.2511
Golnik,46.3333,14.3333
Gornja Radgona,46.6733,15.9922
Gotovlje,46.2603,15.1694
Grosuplje,45.9556,14.6589
Horjul,46.0236,14.2992
Hrastnik,46.1461,15.0814
Hrušica,46.445,14.0178
Idrija,46.0028,14.0306
Ig,45.9603,14.5289
Ilirska Bistrica,45.5697,14.2408
Izlake,46.15,14.95
Izola,45.5369,13.6619
Ižakovci,46.5889,16.2211
Jagodje,45.5322,13.655
Jesenice,46.4306,14.0669
Kamnica,46.5744,15.6142
Kamnik,46.2197,14.6094
Kanal,46.0886,13.6397
Kasaze,46.2333,15.2
Kidričevo,46.4036,15.7911
Kobarid,46.2481,13.5772
Kokrica,46.2703,14.3611
Koper,45.5469,13.7294
Koroška-Bela,46.4303,14.1033
Kotlje,46.5214,14.9869
Kočevje,45.6433,14.8633
Kranj,46.2411,14.3617
Kranjska Gora,46.4839,13.7894
Križe,46.3428,14.3014
Krog,46.6381,16.1414
Kromberk,45.9608,13.6656
Kropa,46.3,14.2
Krško,45.9531,15.4894
Laško,46.1519,15.2364
Legen,46.5003,15.1144
Lenart v Slovenskih Goricah,46.5761,15.8314
Lendava,46.5614,16.4506
Lesce,46.3611,14.1578
Limbuš,46.5536,15.5836
Lipovci,46.6283,16.2281
Litija,46.0586,14.8225
Ljubečna,46.2417,15.3208
Ljubljana,46.0553,14.5144
Ljutomer,46.5208,16.1975
Logatec,45.9144,14.2258
Lokavec,45.9017,13.8797
Lokovica,46.3594,15.0519
Lovrenc na Pohorju,46.5406,15.3931
Lucija,45.4964,13.6136
Maribor,46.5547,15.6467
Medvode,46.1333,14.4333
