<SIZE>119
<LANG>EN
<STATE>SK,SK
Banská Bystrica,48.7333,19.15
Banská Štiavnica,48.45,18.9
Bardejov,49.2833,21.2833
Bojnice,48.7833,18.5833
Bratislava,48.15,17.1167
Brezno,48.8167,19.65
Brezová pod Bradlom,48.6667,17.5333
Bytča,49.2167,18.5667
Bánovce nad Bebravou,48.7167,18.2667
Chlmec,48.8833,21.9333
Chorvástky Grob - Čierna Voda,48.2249,17.2324
Dobšiná,48.8167,20.3667
Dolný Kubín,49.2,19.3
Dubnica nad Váhom,48.9667,18.1833
Dunajská Streda,47.9927,17.6121
Fiľakovo,48.2667,19.8333
Galanta,48.2,17.7167
Gbely,48.7167,17.1333
Gelnica,48.85,20.9333
Giraltovce,49.1167,21.5167
Handlová,48.7333,18.7667
Hlohovec,48.4333,17.8
Holíč,48.8,17.1667
Hosťová,48.3333,18.2167
Hriňová,48.5833,19.5333
Humenné,48.9333,21.9167
Hurbanovo,47.8698,18.1923
Ilava,49,18.2333
Kežmarok,49.1333,20.4333
Kolárovo,47.9167,18
Komárno,47.7636,18.1226
Košice,48.7167,21.25
Kremnica,48.7,18.9167
Krompachy,48.9167,20.8667
Krupina,48.35,19.0667
Kysucké Nové Mesto,49.3,18.7833
Leopoldov,48.45,17.7667
Levice,48.2167,18.6
Lipany,49.15,20.9667
Liptovský Hrádok,49.0333,19.7333
Liptovský Mikuláš,49.0833,19.6167
Lučenec,48.3333,19.6667
Malacky,48.4333,17.0167
Martin,49.0667,18.9333
Medzev,48.7,20.9
Medzilaborce,49.2667,21.9167
Michalovce,48.75,21.9333
Modra,48.3333,17.3167
Moldava nad Bodvou,48.6167,21
Myjava,48.75,17.5667
Nemšová,48.9667,18.1167
Nitra,48.3076,18.0845
Nová Baňa,48.4333,18.65
Nová Dubnica,48.9348,18.1463
Nováky,48.7167,18.55
Nové Mesto nad Váhom,48.7576,17.8309
Nové Zámky,47.9854,18.1619
Námestovo,49.4,19.5
Oravská Lesná,49.3667,19.1809
Partizánske,48.6333,18.3833
Pezinok,48.2833,17.2667
Podolínec,49.2667,20.5333
Poltár,48.4333,19.8
Poprad,49.05,20.3
Považská Bystrica,49.1167,18.45
Prešov,49,21.25
Prievidza,48.7667,18.6333
Púchov,49.1333,18.3333
Rajec,49.0833,18.6333
Revúca,48.6833,20.1167
Rimavská Sobota,48.3833,20.0333
Rožňava,48.6667,20.5333
Ružomberok,49.0833,19.3167
Sabinov,49.1,21.1
Senec,48.2167,17.4
Senica,48.6833,17.3667
Sečovce,48.7,21.65
Skalica,48.85,17.2333
Sládkovičovo,48.2,17.65
Snina,48.9833,22.15
Sobrance,48.75,22.1833
Spišská Belá,49.1833,20.4667
Spišská Nová Ves,48.95,20.5667
Spišské Podhradie,49,20.75
Stará Turá,48.7833,17.7
Stropkov,49.2,21.65
Strážske,48.8667,21.8333
Stupava,48.2747,17.0317
Svidník,49.3,21.5667
Svit,49.0667,20.2
Svodín,47.9167,18.5
Svätý Jur,48.25,17.2167
Tisovec,48.6833,19.95
Tlmače,48.2833,18.5333
Trebišov,48.6333,21.7167
Trenčianske Teplice,48.9167,18.1667
Trenčín,48.8945,18.0444
Trnava,48.3667,17.6
Trstená,49.3667,19.6167
Turzovka,49.4,18.6333
Tvrdošín,49.3333,19.5667
Veľký Meder,47.8667,17.7667
Vranov nad Topľou,48.9,21.6833
Vrbové,48.6333,17.7333
Vráble,48.25,18.3167
Vrútky,49.1167,18.9167
Zlaté Moravce,48.3833,18.4
Zvolen,48.5833,19.1333
Čadca,49.4333,18.7833
Čierna nad Tisou,48.4333,22.1
Šahy,48.0667,18.9667
Šamorín,48.0333,17.3167
Šaľa,48.15,17.8833
Štúrovo,47.8,18.7333
Šurany,48.0833,18.1833
Žarnovica,48.4833,18.7333
Želiezovce,48.05,18.6667
Žiar nad Hronom,48.5833,18.8667
Žilina,49.2231,18.7394
