<SIZE>228
<LANG>EN
<STATE>Alaska,AK
Adak,51.88,-176.658
Akhiok,56.9456,-154.17
Akiachak,60.9094,-161.431
Akutan,54.1356,-165.773
Aleknagik,59.2731,-158.618
Aleneva,58.06,-152.91
Allakaket,66.5656,-152.646
Ambler,67.0861,-157.851
Anaktuvuk Pass,68.1433,-151.736
Anchor Point,59.7767,-151.831
Anchorage,61.2181,-149.9
Anderson,64.3442,-149.187
Angoon,57.5033,-134.584
Aniak,61.5783,-159.522
Anvik,62.6561,-160.207
Arctic Village,68.1269,-145.538
Atka,52.1961,-174.201
Atqasuk,70.4692,-157.399
Barrow,71.2906,-156.789
Beaver,66.3594,-147.396
Bethel,60.7922,-161.756
Bettles,66.9189,-151.516
Big Delta,64.1525,-145.842
Big Lake,61.5214,-149.954
Brevig Mission,65.3347,-166.489
Buckland,65.9797,-161.123
Cantwell,63.3917,-148.951
Central,65.5725,-144.803
Chalkyitsik,66.6544,-143.722
Chefornak,60.16,-164.266
Chevak,61.5278,-165.586
Chickaloon,61.7967,-148.463
Chicken,64.0733,-141.936
Chignik,56.2953,-158.402
Chignik Lake,56.2556,-158.762
Chiniak,57.6319,-152.182
Chistochina,62.565,-144.665
Chitina,61.5158,-144.437
Circle,65.8256,-144.061
Clam Gulch,60.2311,-151.394
Clarks Point,58.8442,-158.551
Coffman Cove,56.0139,-132.828
Cold Bay,55.1858,-162.721
College,64.8569,-147.803
Cooper Landing,60.49,-149.834
Copper Center,61.955,-145.305
Cordova,60.5428,-145.758
Craig,55.4764,-133.148
Crooked Creek,61.87,-158.111
Cube Cove,57.935,-134.711
Deering,66.0756,-162.717
Dillingham,59.0397,-158.458
Diomede,65.7369,-168.942
Dot Lake Village,63.6508,-144.044
Dry Creek,63.6533,-144.665
Eagle,64.7881,-141.2
Edna Bay,55.9489,-133.662
Eek,60.2189,-162.024
Egegik,58.2156,-157.376
Elfin Cove,58.1944,-136.343
Elim,64.6175,-162.261
Emmonak,62.7778,-164.523
Fairbanks,64.8378,-147.716
False Pass,54.8508,-163.415
Flat,62.4536,-158.008
Fort Yukon,66.5647,-145.274
Fox River,59.8583,-150.958
Gakona,62.3019,-145.302
Galena,64.7333,-156.928
Gambell,63.7797,-171.741
Glennallen,62.1092,-145.546
Golovin,64.5433,-163.029
Goodnews Bay,59.1189,-161.587
Grayling,62.9036,-160.065
Gustavus,58.4133,-135.737
Haines,59.2358,-135.445
Healy,63.8569,-148.966
Hobart Bay,57.4658,-133.353
Holy Cross,62.1994,-159.771
Homer,59.6425,-151.548
Hoonah,58.11,-135.444
Hooper Bay,61.5311,-166.097
Hope,60.9203,-149.64
Hughes,66.0489,-154.256
Huslia,65.6986,-156.4
Hydaburg,55.2081,-132.827
Hyder,55.9169,-130.025
Igiugig,59.3278,-155.895
Ivanof Bay,55.9,-159.483
Juneau,58.3019,-134.42
Kake,56.9758,-133.947
Kaktovik,70.1319,-143.624
Kalifornsky,60.4183,-151.29
Kaltag,64.3272,-158.722
Karluk,57.5719,-154.456
Kasigluk,60.8956,-162.518
Kenai,60.5544,-151.258
Kenny Lake,61.7192,-144.948
Ketchikan,55.3422,-131.646
Kiana,66.975,-160.423
King Cove,55.0617,-162.31
King Salmon,58.6883,-156.661
Kipnuk,59.9389,-164.041
Kivalina,67.7269,-164.533
Kodiak,57.79,-152.407
Kokhanok,59.4394,-154.776
Koliganek,59.7286,-157.284
Kotlik,63.0342,-163.553
Kotzebue,66.8983,-162.597
Koyuk,64.9319,-161.157
Koyukuk,64.8803,-157.701
Kwigillingok,59.8644,-163.134
Lake Louise,62.2814,-146.551
Lake Minchumina,63.8828,-152.312
Larsen Bay,57.54,-153.979
Levelock,59.1142,-156.859
Lime Village,61.3564,-155.436
Livengood,65.5244,-148.545
Lower Kalskag,61.5122,-160.358
Manley Hot Springs,65.0011,-150.634
Manokotak,58.9814,-159.058
Marshall,61.8778,-162.081
McCarthy,61.4333,-142.922
McGrath,62.9564,-155.596
Meadow Lakes,61.6247,-149.601
Mekoryuk,60.3881,-166.185
Mentasta Lake,62.9211,-143.769
Metlakatla,55.1292,-131.572
Moose Creek,64.71,-147.144
Moose Pass,60.4875,-149.369
Mosquito Lake,59.5292,-136.091
Mountain Village,62.0856,-163.729
Naknek,58.7283,-157.014
Naukati Bay,55.8736,-133.185
Nenana,64.5639,-149.093
New Stuyahok,59.4528,-157.312
Newhalen,59.72,-154.897
Newtok,60.9428,-164.629
Nightmute,60.4794,-164.724
Nikiski,60.6903,-151.289
Nikolai,63.0133,-154.375
Nikolski,52.9381,-168.868
Ninilchik,60.0514,-151.669
Noatak,67.5711,-162.965
Nome,64.5011,-165.406
Nondalton,59.9736,-154.846
Noorvik,66.8383,-161.033
Northway,62.9617,-141.937
Nuiqsut,70.2175,-150.976
Nulato,64.7194,-158.103
Nunam Iqua,62.5336,-164.841
Old Harbor,57.2028,-153.304
Palmer,61.5997,-149.113
Paxson,63.0897,-145.613
Pedro Bay,59.7872,-154.106
Pelican,57.9608,-136.227
Petersburg,56.8125,-132.956
Petersville,62.4964,-150.766
Pilot Point,57.5642,-157.579
Pilot Station,61.9389,-162.875
Pitkas Point,62.0328,-163.288
Pleasant Valley,64.8814,-146.869
Point Hope,68.3478,-166.808
Point Lay,69.7575,-163.051
Port Alexander,56.2497,-134.644
Port Alsworth,60.2025,-154.313
Port Heiden,56.9492,-158.627
Port Lions,57.8675,-152.882
Port Protection,56.3172,-133.598
Portage Creek,58.9061,-157.717
Prudhoe Bay,70.2922,-148.669
Quinhagak,59.7489,-161.916
Rampart,65.505,-150.17
Red Dog Mine,68.0756,-162.856
Ruby,64.7394,-155.487
Russian Mission,61.785,-161.32
Saint George,56.6,-169.542
Saint Paul,57.1222,-170.275
Sand Point,55.3397,-160.497
Savoonga,63.6942,-170.479
Scammon Bay,61.8428,-165.582
Selawik,66.6039,-160.007
Seldovia,59.4381,-151.711
Seward,60.1042,-149.442
Shageluk,62.6822,-159.562
Shaktoolik,64.3339,-161.154
Shishmaref,66.2567,-166.072
Shungnak,66.8881,-157.136
Sitka,57.0531,-135.33
Skagway,59.4583,-135.314
Skwentna,61.9903,-151.398
Sleetmute,61.7025,-157.17
Solomon,64.5608,-164.439
Stebbins,63.5222,-162.288
Sterling,60.5372,-150.765
Stevens Village,66.0064,-149.091
Stony River,61.7831,-156.588
Susitna,61.5436,-150.512
Takotna,62.9886,-156.064
Talkeetna,62.3239,-150.109
Tanaina,61.6269,-149.428
Tanana,65.1719,-152.079
Tatitlek,60.8647,-146.679
Tazlina,62.0639,-146.455
Tenakee Springs,57.7808,-135.219
Thoms Place,56.2019,-132.185
Thorne Bay,55.6878,-132.522
Togiak,59.0619,-160.376
Tok,63.3367,-142.986
Toksook Bay,60.5303,-165.102
Tolsona,62.0839,-146.07
Tuluksak,61.1025,-160.962
Tuntutuliak,60.3431,-162.663
Tyonek,61.0681,-151.137
Unalakleet,63.8731,-160.788
Unalaska,53.8736,-166.537
Valdez,61.1308,-146.348
Venetie,67.0139,-146.419
Wainwright,70.6369,-160.038
Wales,65.6092,-168.087
Wasilla,61.5814,-149.439
Whale Pass,56.1153,-133.121
White Mountain,64.6814,-163.406
Whittier,60.7731,-148.684
Willow,61.7472,-150.038
Wiseman,67.41,-150.107
Wrangell,56.4708,-132.377
Yakutat,59.5469,-139.727
