<SIZE>197
<LANG>EN
<STATE>Alabama,AL
Abbeville,31.5718,-85.2505
Addison,34.2023,-87.1814
Alabaster,33.2443,-86.8164
Albertville,34.2676,-86.2089
Alexander City,32.944,-85.9538
Aliceville,33.1296,-88.1514
Andalusia,31.3085,-86.4833
Anniston,33.6598,-85.8316
Arab,34.3181,-86.4958
Ardmore,34.992,-86.8469
Ashville,33.837,-86.2544
Athens,34.8029,-86.9717
Atmore,31.0238,-87.4939
Attalla,34.0218,-86.0886
Auburn,32.6099,-85.4808
Bay Minette,30.883,-87.773
Beatrice,31.7335,-87.2047
Berry,33.6598,-87.6
Bessemer,33.4018,-86.9544
Billingsley,32.6596,-86.7178
Birmingham,33.5207,-86.8025
Boaz,34.2006,-86.1664
Brent,32.9373,-87.1647
Brewton,31.1052,-87.0722
Bridgeport,34.9476,-85.7144
Brookwood,33.2557,-87.3208
Butler,32.0896,-88.222
Cahaba Heights,33.464,-86.7319
Calera,33.1029,-86.7536
Camden,31.991,-87.2905
Carbon Hill,33.8918,-87.5261
Center Point,33.6457,-86.6836
Centre,34.152,-85.6789
Chatom,31.4652,-88.2545
Cherokee,34.757,-87.9728
Chickasaw,30.7638,-88.0747
Citronelle,31.0907,-88.2281
Clanton,32.8387,-86.6294
Clay,33.7026,-86.5997
Clayton,31.8782,-85.4497
Clio,31.7088,-85.6105
Coffeeville,31.7579,-88.0897
Collinsville,34.264,-85.8605
Columbia,31.2927,-85.1116
Cottonwood,31.0488,-85.3049
Cuba,32.4282,-88.3764
Cullman,34.1748,-86.8436
Dadeville,32.8312,-85.7636
Daphne,30.6035,-87.9036
Dauphin Island,30.2555,-88.1097
Daviston,33.0529,-85.6397
Decatur,34.6059,-86.9833
Demopolis,32.5176,-87.8364
Dothan,31.2232,-85.3905
Double Springs,34.1465,-87.4022
Dozier,31.4921,-86.365
East Florence,34.8095,-87.6495
Elba,31.4146,-86.0677
Enterprise,31.3152,-85.8552
Eufaula,31.8913,-85.1455
Eutaw,32.8407,-87.8875
Evergreen,31.4335,-86.9569
Fairfield,33.4859,-86.9119
Fairhope,30.523,-87.9033
Fayette,33.6846,-87.8308
Flomaton,31.0002,-87.2608
Florala,31.0052,-86.328
Florence,34.7998,-87.6773
Foley,30.4066,-87.6836
Forestdale,33.5701,-86.8964
Fort Payne,34.4443,-85.7197
Fultondale,33.6048,-86.7939
Gadsden,34.0143,-86.0066
Gainesville,32.821,-88.1589
Gardendale,33.6601,-86.8128
Geneva,31.033,-85.8638
Georgiana,31.6371,-86.7419
Glencoe,33.957,-85.9325
Grayson Valley,33.6482,-86.6394
Greensboro,32.7046,-87.5958
Greenville,31.8296,-86.6178
Grove Hill,31.7088,-87.7772
Gulf Shores,30.246,-87.7008
Guntersville,34.3581,-86.2947
Haleyville,34.2265,-87.6214
Hamilton,34.1423,-87.9886
Hartselle,34.4434,-86.9353
Hayneville,32.184,-86.5803
Heflin,33.649,-85.5875
Helena,33.2962,-86.8436
Henagar,34.6351,-85.7672
Hodges,34.327,-87.9264
Homewood,33.4718,-86.8008
Hoover,33.4054,-86.8114
Hueytown,33.4512,-86.9967
Huntsville,34.7304,-86.5861
Huntsville Park,34.7045,-86.6189
Hurtsboro,32.2418,-85.4163
Hytop,34.9162,-86.088
Irondale,33.5382,-86.7072
Jackson,31.5091,-87.8944
Jacksonville,33.8137,-85.7614
Jasper,33.8312,-87.2775
Lake Purdy,33.4301,-86.6805
Lanett,32.8687,-85.1905
Leeds,33.5482,-86.5444
Lester,34.9906,-87.1533
Lexington,34.9692,-87.3711
Linden,32.3063,-87.7981
Lineville,33.3107,-85.7544
Livingston,32.5843,-88.1872
Luverne,31.7165,-86.2638
Macedonia,33.3915,-88.2334
Madison,34.6993,-86.7483
Maplesville,32.7885,-86.8717
Marion,32.6324,-87.3192
McIntosh,31.2663,-88.0314
Midfield,33.4615,-86.9089
Millbrook,32.4799,-86.3619
Millport,33.5634,-88.0814
Mobile,30.6944,-88.0431
Monroeville,31.5279,-87.3247
Montevallo,33.1007,-86.8642
Montgomery,32.3668,-86.3
Moody,33.5909,-86.4908
Moores Mill,34.844,-86.5183
Moulton,34.4812,-87.2934
Moundville,32.9976,-87.63
Mount Vernon,31.0852,-88.0133
Mountain Brook,33.5009,-86.7522
Muscle Shoals,34.7448,-87.6675
New Hope,34.537,-86.3944
Northport,33.229,-87.5772
Oneonta,33.9482,-86.4728
Opelika,32.6454,-85.3783
Opp,31.2827,-86.2555
Orrville,32.3063,-87.2456
Oxford,33.6143,-85.835
Ozark,31.4591,-85.6405
Pelham,33.2857,-86.81
Pell City,33.5862,-86.2861
Pennington,32.2071,-88.0561
Phenix City,32.471,-85.0008
Pike Road,32.2843,-86.103
Pine Apple,31.8727,-86.9911
Pinson,33.689,-86.6833
Pleasant Grove,33.4909,-86.9703
Prattville,32.464,-86.4597
Prichard,30.7388,-88.0789
Rainbow City,33.9548,-86.0419
Ranburne,33.5229,-85.3447
Red Bay,34.4398,-88.1409
Reform,33.3785,-88.0153
Roanoke,33.1512,-85.3722
Rockford,32.8896,-86.2197
Russellville,34.5079,-87.7286
Saks,33.6987,-85.8397
Saraland,30.8207,-88.0706
Satsuma,30.8532,-88.0561
Scottsboro,34.6723,-86.0341
Selma,32.4074,-87.0211
Sheffield,34.7651,-87.6986
Silas,31.7654,-88.3292
Slocomb,31.1082,-85.5944
Smiths Station,32.5401,-85.0985
Smoke Rise,33.8918,-86.8203
Snead,34.1195,-86.3955
Southside,33.9245,-86.0225
Spanish Fort,30.6749,-87.9153
Sulligent,33.9018,-88.1345
Sumiton,33.7557,-87.05
Sweet Water,32.0974,-87.8675
Sylacauga,33.1732,-86.2516
Talladega,33.4359,-86.1058
Tallassee,32.536,-85.8933
Tarrant City,33.5834,-86.7728
Taylor,31.9754,-86.2333
Theodore,30.5477,-88.1753
Thomasville,31.9135,-87.7358
Tillmans Corner,30.5902,-88.1708
Town Creek,34.6812,-87.4061
Troy,31.8088,-85.9699
Trussville,33.6198,-86.6089
Tuscaloosa,33.2098,-87.5692
Tuscumbia,34.7312,-87.7025
Tuskegee,32.424,-85.6916
Union Springs,32.1443,-85.715
Uniontown,32.4496,-87.5142
Valley,32.8187,-85.1794
Vestavia Hills,33.4487,-86.7878
Vincent,33.3846,-86.4119
Wedowee,33.309,-85.4847
