<SIZE>162
<LANG>EN
<STATE>Arkansas,AR
Arkadelphia,34.1209,-93.0538
Ashdown,33.6743,-94.1313
Augusta,35.2823,-91.3654
Bassett,35.5365,-90.1268
Batesville,35.7698,-91.641
Bearden,33.7246,-92.6157
Beaver,36.4737,-93.7674
Beebe,35.0706,-91.8796
Bella Vista,36.4815,-94.2733
Benton,34.5645,-92.5868
Bentonville,36.3729,-94.2088
Berryville,36.3648,-93.568
Big Flat,36.0051,-92.4043
Blytheville,35.9273,-89.919
Booneville,35.1401,-93.9216
Bradley,33.0982,-93.6549
Brinkley,34.8879,-91.1946
Bryant,34.5959,-92.489
Cabot,34.9745,-92.0165
Calico Rock,36.1195,-92.136
Camden,33.5846,-92.8343
Casa,35.0229,-93.0477
Cave City,35.9417,-91.5485
Charleston,35.297,-94.0363
Cherokee Village,36.2978,-91.516
Chidester,33.7023,-93.0204
Clarendon,34.6932,-91.3137
Clarksville,35.4715,-93.4666
Concord,35.6637,-91.8476
Conway,35.0887,-92.4421
Corning,36.4078,-90.5798
Crossett,33.1282,-91.9612
Daisy,34.2373,-93.7421
Danville,35.054,-93.3935
De Queen,34.0379,-94.3413
De Witt,34.2929,-91.3379
Delaplaine,36.2337,-90.7265
Delight,34.0315,-93.503
Des Arc,34.977,-91.4951
Diamond City,36.4645,-92.9202
Dierks,34.1193,-94.0166
Dumas,33.887,-91.4918
Earle,35.2751,-90.4668
East End,34.5506,-92.341
El Dorado,33.2076,-92.6663
Elaine,34.3084,-90.8521
England,34.5443,-91.969
Eudora,33.1096,-91.2621
Fairfield Bay,35.5942,-92.2779
Fayetteville,36.0626,-94.1574
Fordyce,33.8137,-92.4129
Foreman,33.7218,-94.3969
Forrest City,35.0081,-90.7898
Fort Smith,35.3859,-94.3985
Fouke,33.2612,-93.8855
Fountain Hill,33.3579,-91.8504
Fulton,33.6146,-93.8135
Glenwood,34.3268,-93.5507
Grady,34.0801,-91.7007
Greenwood,35.2156,-94.2558
Gurdon,33.9209,-93.1541
Hampton,33.5379,-92.4699
Harrisburg,35.5642,-90.7168
Harrison,36.2298,-93.1077
Hartford,35.0229,-94.3813
Hazen,34.7809,-91.581
Heber Springs,35.4915,-92.0313
Hector,35.4673,-92.9749
Helena,34.5295,-90.5918
Hermitage,33.4465,-92.174
Hickory Ridge,35.3973,-90.9965
Hope,33.6671,-93.5916
Horseshoe Bend,36.2292,-91.7643
Hot Springs,34.5037,-93.0552
Hot Springs Village,34.672,-92.9988
Hughes,34.9493,-90.4715
Huntsville,36.0862,-93.7413
Huttig,33.0396,-92.1826
Jacksonville,34.8662,-92.1101
Jasper,36.0081,-93.1866
Jonesboro,35.8423,-90.7043
Junction City,33.0163,-92.7243
Lake Village,33.3287,-91.2818
Leola,34.1695,-92.591
Lincoln,35.9495,-94.4235
Little Rock,34.7465,-92.2896
Lonoke,34.784,-91.8999
Lonsdale,34.5445,-92.8082
Louann,33.391,-92.7918
Lowell,36.2554,-94.1308
Lynn,36.0073,-91.2523
Magnolia,33.2671,-93.2393
Malvern,34.3623,-92.8129
Mammoth Spring,36.4956,-91.5407
Manila,35.8801,-90.167
Marianna,34.7737,-90.7576
Marion,35.2145,-90.1965
Marshall,35.909,-92.6313
Marvell,34.5557,-90.9129
Maumelle,34.8668,-92.4043
McGehee,33.629,-91.3996
Melbourne,36.0595,-91.9085
Mena,34.5862,-94.2397
Monticello,33.629,-91.791
Moro,34.7951,-90.9912
Morrilton,35.1509,-92.7441
Mount Ida,34.5568,-93.6341
Mountain Home,36.3353,-92.3852
Mountain View,35.8684,-92.1177
Mulberry,35.5006,-94.0516
Nashville,33.9457,-93.8471
Newport,35.6048,-91.2818
North Little Rock,34.7695,-92.2671
Omaha,36.4523,-93.1885
Osceola,35.7051,-89.9695
Ozark,35.487,-93.8277
Paragould,36.0584,-90.4973
Paris,35.292,-93.7299
Piggott,36.3828,-90.1907
Pindall,36.0662,-92.8813
Pine Bluff,34.2284,-92.0032
Pleasant Plains,35.5501,-91.6263
Pocahontas,36.2615,-90.9712
Portland,33.2379,-91.5115
Prescott,33.8026,-93.381
Quitman,35.3842,-92.2157
Ravenden,36.2334,-91.2518
Rison,33.9584,-92.1901
Rogers,36.332,-94.1185
Rosston,33.5926,-93.2766
Russellville,35.2784,-93.1338
Saint Charles,34.3718,-91.1365
Saint Paul,35.8242,-93.7641
Searcy,35.2506,-91.7363
Sheridan,34.307,-92.4013
Sherwood,34.8151,-92.2243
Siloam Springs,36.1881,-94.5405
Sparkman,33.9168,-92.8482
Springdale,36.1867,-94.1288
Stamps,33.3654,-93.4952
Star City,33.9429,-91.8435
Stephens,33.4112,-93.0696
Stuttgart,34.5004,-91.5526
Swifton,35.8217,-91.1285
Texarkana,33.4418,-94.0377
Trumann,35.6737,-90.5073
Tyronza,35.4901,-90.3587
Van Buren,35.4368,-94.3483
Vilonia,35.084,-92.2079
Viola,36.3967,-91.9827
Wabbaseka,34.3609,-91.796
Waldron,34.8984,-94.0908
Walnut Ridge,36.0684,-90.956
Warren,33.6126,-92.0646
Watson,33.8951,-91.2562
West Helena,34.5507,-90.6418
West Memphis,35.1465,-90.1845
Wickes,34.3032,-94.3383
Wilmot,33.0573,-91.5735
Winslow,35.8009,-94.1349
Wynne,35.2245,-90.7868
Yellville,36.2262,-92.6849
