<SIZE>152
<LANG>EN
<STATE>Arizona,AZ
Ajo,32.3717,-112.861
Apache Junction,33.415,-111.55
Arizona City,32.7559,-111.671
Ash Fork,35.225,-112.484
Avondale,33.4356,-112.35
Avra Valley,32.4378,-111.315
Bagdad,34.5811,-113.205
Benson,31.9679,-110.295
Big Park,34.7803,-111.763
Bisbee,31.4482,-109.928
Bitter Springs,36.6286,-111.654
Bouse,33.9325,-114.006
Buckeye,33.3703,-112.584
Bullhead City,35.1478,-114.568
Bylas,33.1387,-110.125
Cameron,35.8758,-111.413
Camp Verde,34.5636,-111.854
Carefree,33.8223,-111.918
Casa Grande,32.8795,-111.757
Casas Adobes,32.3234,-110.995
Catalina,32.5001,-110.921
Catalina Foothills,32.2979,-110.919
Chandler,33.3062,-111.841
Chilchinbito,36.5272,-110.082
Chinle,36.1544,-109.553
Chino Valley,34.7575,-112.454
Cibecue,34.0448,-110.485
Cibola,33.3164,-114.665
Clifton,33.0509,-109.296
Colorado City,36.9903,-112.976
Congress,34.1625,-112.851
Coolidge,32.9778,-111.518
Cordes Lakes,34.3078,-112.103
Cottonwood,34.7392,-112.01
Dennehotso,36.8458,-109.847
Dilkon,35.3853,-110.321
Dolan Springs,35.5919,-114.273
Douglas,31.3445,-109.545
Drexel Heights,32.1412,-111.028
Duncan,32.7215,-109.105
Eagar,34.1112,-109.291
Ehrenberg,33.6042,-114.525
El Mirage,33.6131,-112.325
Eloy,32.7559,-111.555
First Mesa,35.8367,-110.382
Flagstaff,35.1981,-111.651
Florence,33.0315,-111.387
Flowing Wells,32.294,-111.01
Fort Defiance,35.7445,-109.076
Fortuna Foothills,32.6578,-114.412
Fountain Hills,33.6117,-111.717
Fredonia,36.9455,-112.527
Ganado,35.7114,-109.542
Gila Bend,32.9478,-112.717
Gilbert,33.3528,-111.789
Glendale,33.5387,-112.186
Globe,33.3942,-110.786
Gold Camp,33.2937,-111.304
Golden Valley,35.2233,-114.223
Goodyear,33.4353,-112.358
Grand Canyon Village,36.0464,-112.154
Greasewood,35.5225,-109.857
Green Valley,31.8543,-110.994
Guadalupe,33.3709,-111.963
Holbrook,34.9022,-110.158
Houck,35.2831,-109.207
Jeddito,35.7745,-110.137
Kaibito,36.5972,-111.074
Kayenta,36.7278,-110.255
Kearny,33.057,-110.911
Kingman,35.1894,-114.053
Kykotsmovi Village,35.8742,-110.623
Lake Havasu City,34.4839,-114.322
Leupp,35.2981,-111.006
Lukachukai,36.4169,-109.229
Many Farms,36.3528,-109.618
Marana,32.4367,-111.225
Maricopa,33.0581,-112.048
McNary,34.0737,-109.857
Mesa,33.4017,-111.75
Mohave Valley,34.9331,-114.589
Nazlini,35.8964,-109.449
New River,33.9159,-112.136
Nogales,31.3404,-110.934
Oro Valley,32.3909,-110.966
Page,36.9147,-111.456
Paradise Valley,33.5312,-111.943
Parker,34.15,-114.289
Parks,35.2606,-111.949
Payson,34.2309,-111.325
Peach Springs,35.5292,-113.425
Peoria,33.5806,-112.237
Phoenix,33.4484,-112.074
Picture Rocks,32.3459,-111.246
Pine,34.3845,-111.455
Pinon,36.1008,-110.226
Pisinemo,32.0378,-112.321
Poston,33.9906,-114.396
Prescott,34.54,-112.469
Prescott Valley,34.61,-112.316
Quartzsite,33.6639,-114.23
Queen Creek,33.2487,-111.634
Red Mesa,36.9964,-109.369
Rock Point,36.7181,-109.626
Rough Rock,36.4072,-109.873
Round Rock,36.5131,-109.473
Safford,32.834,-109.708
Saint Johns,34.5059,-109.361
Salome,33.7811,-113.615
San Carlos,33.3453,-110.453
San Luis,32.487,-114.782
San Manuel,32.5998,-110.631
Santa Rosa,32.3237,-112.041
Scottsdale,33.5092,-111.899
Sedona,34.8697,-111.761
Seligman,35.3256,-112.877
Sells,31.912,-111.881
Shonto,36.5944,-110.642
Show Low,34.2542,-110.03
Sierra Vista,31.5545,-110.304
Snowflake,34.5134,-110.078
Somerton,32.5964,-114.71
Sonoita,31.6795,-110.655
South Tucson,32.1995,-110.968
Steamboat,35.7514,-109.848
Sun City,33.5975,-112.272
Sun City West,33.662,-112.341
Sun Lakes,33.2112,-111.875
Surprise,33.6306,-112.333
Tanque Verde,32.2517,-110.737
Teec Nos Pos,36.9211,-109.086
Tempe,33.4148,-111.909
Tempe Junction,33.4142,-111.943
Three Points,32.0767,-111.314
Tolleson,33.45,-112.259
Tombstone,31.7129,-110.068
Tonalea,36.3225,-110.963
Tonto Basin,33.8317,-111.295
Tuba City,36.135,-111.24
Tubac,31.6126,-111.046
Tucson,32.2217,-110.926
Tucson Estates,32.1876,-111.091
Vail,32.0479,-110.712
Wellton,32.6728,-114.147
West Sedona,34.8672,-111.805
Whiteriver,33.837,-109.964
Wickenburg,33.9686,-112.73
Willcox,32.2529,-109.832
Williams,35.2495,-112.191
Winslow,35.0242,-110.697
Young,34.1014,-110.964
Yuma,32.7253,-114.624
