<SIZE>674
<LANG>EN
<STATE>California,CA
Adelanto,34.5828,-117.409
Agoura,34.1431,-118.738
Agoura Hills,34.1364,-118.775
Alameda,37.7652,-122.242
Alamo,37.8502,-122.032
Albany,37.8869,-122.298
Alhambra,34.0953,-118.127
Aliso Viejo,33.6084,-117.745
Alondra Park,33.8895,-118.331
Alpine,32.8351,-116.766
Alta Sierra,35.7291,-118.55
Altadena,34.1897,-118.131
Alturas,41.4871,-120.542
Alum Rock,37.3661,-121.827
American Canyon,38.1749,-122.261
Anaheim,33.8353,-117.915
Anderson,40.4482,-122.298
Antioch,38.0049,-121.806
Apple Valley,34.5008,-117.186
Aptos,36.9772,-121.899
Arbuckle,39.0174,-122.058
Arcadia,34.1397,-118.035
Arcata,40.8665,-124.083
Arnold,38.2555,-120.351
Arroyo Grande,35.1186,-120.591
Artesia,33.8658,-118.083
Arvin,35.2091,-118.828
Ashland,37.6947,-122.114
Atascadero,35.4894,-120.671
Atherton,37.4613,-122.198
Atwater,37.3477,-120.609
Auberry,37.0808,-119.485
Auburn,38.8966,-121.077
August,37.9788,-121.262
Avalon,33.3428,-118.328
Avenal,36.0041,-120.129
Avocado Heights,34.0361,-117.991
Azusa,34.1336,-117.908
Bakersfield,35.3733,-119.019
Baldwin Park,34.0853,-117.961
Banning,33.9256,-116.876
Barstow,34.8986,-117.023
Barstow Heights,34.8697,-117.056
Bay Point,38.0291,-121.962
Bear Valley,37.5688,-120.119
Bear Valley Springs,35.1591,-118.628
Beaumont,33.9295,-116.977
Belden,40.006,-121.249
Bell,33.9775,-118.187
Bell Gardens,33.9653,-118.151
Bellflower,33.8817,-118.117
Belmont,37.5202,-122.276
Benicia,38.0494,-122.159
Berkeley,37.8716,-122.273
Bermuda Dunes,33.7428,-116.289
Beverly Hills,34.0736,-118.4
Big Bear City,34.2611,-116.845
Big Bear Lake,34.2439,-116.911
Big Bend,41.0207,-121.911
Big Pine,37.1649,-118.29
Big River,34.14,-114.361
Bishop,37.3635,-118.395
Bloomington,34.0703,-117.396
Blythe,33.6103,-114.596
Bodega Bay,38.3332,-123.048
Bolinas,37.9,-122.7
Bombay Beach,33.3509,-115.73
Bonita,32.6578,-117.03
Bootjack,37.4649,-119.887
Boron,34.9994,-117.65
Borrego Springs,33.2559,-116.375
Bostonia,32.8076,-116.936
Boyes Hot Springs,38.3138,-122.482
Brawley,32.9787,-115.53
Brea,33.9167,-117.9
Brentwood,37.9319,-121.696
Buena Park,33.8675,-117.998
Burbank,34.1808,-118.309
Burlingame,37.5841,-122.366
Burney,40.8824,-121.661
Buttonwillow,35.4005,-119.47
Calabasas,34.1578,-118.638
Calexico,32.6789,-115.499
California City,35.1258,-117.986
Calimesa,34.0039,-117.062
Calipatria,33.1256,-115.514
Calistoga,38.5788,-122.58
Camarillo,34.2164,-119.038
Cambria,35.5641,-121.081
Cameron Park,38.6688,-120.987
Campbell,37.2872,-121.95
Cantua Creek,36.5013,-120.316
Canyon Lake,33.685,-117.273
Capitola,36.9752,-121.953
Carlsbad,33.1581,-117.351
Carmichael,38.6171,-121.328
Carpinteria,34.3989,-119.518
Carson,33.8314,-118.282
