<SIZE>199
<LANG>EN
<STATE>Colorado,CO
Aguilar,37.4028,-104.653
Akron,40.1605,-103.214
Alamosa,37.4694,-105.87
Allenspark,40.1944,-105.526
Applewood,39.7472,-105.163
Arboles,37.0281,-107.419
Arvada,39.8028,-105.087
Aspen,39.1911,-106.818
Aurora,39.7294,-104.832
Avon,39.6314,-106.522
Avondale,38.2375,-104.351
Battlement Mesa,39.4414,-108.025
Bayfield,37.2256,-107.598
Bennett,39.7589,-104.427
Berkley,39.8044,-105.026
Berthoud,40.3083,-105.081
Black Forest,39.0131,-104.701
Blue River,39.4297,-106.044
Bonanza,38.2947,-106.142
Boulder,40.015,-105.271
Branson,37.0175,-103.884
Brighton,39.9853,-104.821
Broomfield,39.9205,-105.087
Brush,40.2589,-103.624
Buena Vista,38.8422,-106.131
Burlington,39.3061,-102.269
Calhan,39.0355,-104.297
Campo,37.105,-102.58
Carbondale,39.4022,-107.211
Castle Pines,39.458,-104.896
Castle Rock,39.3722,-104.856
Castlewood,39.5847,-104.901
Cañon City,38.4,-105.217
Cedaredge,38.9016,-107.926
Centennial,39.5792,-104.877
Cherry Hills Village,39.6417,-104.959
Cheyenne Wells,38.8214,-102.353
Cimarron Hills,38.8586,-104.699
Clifton,39.0919,-108.449
Collbran,39.2405,-107.961
Colorado City,37.9453,-104.835
Colorado Springs,38.8339,-104.821
Columbine,39.5878,-105.069
Commerce City,39.8083,-104.934
Cortez,37.3489,-108.586
Craig,40.5152,-107.546
Creede,37.8492,-106.926
Crested Butte,38.8697,-106.988
Cripple Creek,38.7467,-105.178
Crook,40.8589,-102.801
De Beque,39.3344,-108.215
Deer Trail,39.615,-104.044
Del Norte,37.6789,-106.353
Delta,38.7422,-108.069
Denver,39.7392,-104.985
Derby,39.8394,-104.919
Dinosaur,40.2436,-109.015
Dove Creek,37.7661,-108.906
Durango,37.2753,-107.88
Eads,38.4806,-102.782
Edgewater,39.753,-105.064
Edwards,39.645,-106.594
El Jebel,39.395,-107.09
Englewood,39.6478,-104.988
Erie,40.0503,-105.05
Estes Park,40.3772,-105.522
Evans,40.3764,-104.692
Evergreen,39.6333,-105.317
Fairplay,39.2247,-106.002
Federal Heights,39.8514,-104.999
