<SIZE>92
<LANG>EN
<STATE>Connecticut,CT
Ansonia,41.3462,-73.079
Bethel,41.3712,-73.414
Branford,41.2795,-72.8151
Bridgeport,41.167,-73.2048
Bristol,41.6718,-72.9493
Canaan,42.0273,-73.3293
Cheshire,41.499,-72.9007
Clinton,41.2787,-72.5276
Colchester,41.5757,-72.332
Cromwell,41.5951,-72.6454
Danbury,41.3948,-73.454
Darien,41.0787,-73.4693
Derby,41.3207,-73.089
East Haddam,41.4532,-72.4612
East Hampton,41.5759,-72.5026
East Hartford,41.7823,-72.612
East Haven,41.2762,-72.8684
East Norwalk,41.1057,-73.3985
Ellington,41.904,-72.4698
Fairfield,41.1412,-73.2637
Glastonbury Center,41.7009,-72.5995
Groton,41.3501,-72.0784
Guilford,41.289,-72.6818
Hamden,41.3959,-72.8968
Hartford,41.7637,-72.6851
Hebron,41.6579,-72.3659
Kensington,41.6354,-72.7687
Killingly Center,41.8387,-71.8692
Ledyard Center,41.4398,-72.0142
Madison,41.2795,-72.5984
Mansfield City,41.7659,-72.2337
Meriden,41.5382,-72.807
Middletown,41.5623,-72.6507
Milford,41.2223,-73.0565
Montville Center,41.479,-72.1512
Naugatuck,41.4859,-73.0507
New Britain,41.6612,-72.7795
New Haven,41.3082,-72.9282
New London,41.3557,-72.0995
New Milford,41.577,-73.4085
Newington,41.6979,-72.7237
North Branford,41.3276,-72.7673
North Haven,41.3909,-72.8595
North Stamford,41.1382,-73.5435
Norwalk,41.1176,-73.4079
Norwich,41.5243,-72.0759
Oakville,41.5934,-73.0854
Old Greenwich,41.0229,-73.5648
Old Saybrook,41.2918,-72.3762
Orange,41.2784,-73.0257
Oxford,41.434,-73.1168
Pawcatuck,41.3773,-71.8337
Plainfield,41.6765,-71.9151
Plymouth,41.672,-73.0529
Portland,41.5729,-72.6406
Prospect,41.5023,-72.9787
Putnam,41.9151,-71.909
Ridgefield,41.2815,-73.4982
Rockville,41.8668,-72.4495
Seymour,41.3968,-73.0759
Shelton,41.3165,-73.0932
Sherwood Manor,42.0134,-72.5643
Somers,41.9854,-72.4462
South Coventry,41.7701,-72.3051
Southbury,41.4815,-73.2132
Southwood Acres,41.9626,-72.5715
Stafford,41.9848,-72.289
Stamford,41.0534,-73.5387
Storrs,41.8084,-72.2495
Stratford,41.1845,-73.1332
Terryville,41.6782,-73.0109
Thompson,41.9587,-71.8626
Thompsonville,41.997,-72.599
Tolland,41.8715,-72.3687
Torrington,41.8007,-73.1212
Trumbull,41.2429,-73.2007
Wallingford,41.457,-72.8232
Waterbury,41.5582,-73.0515
Watertown,41.6062,-73.1182
West Hartford,41.762,-72.742
West Haven,41.2707,-72.947
West Torrington,41.8184,-73.1437
Westport,41.1415,-73.3579
Wethersfield,41.7143,-72.6526
Willimantic,41.7107,-72.2081
Winchester Center,41.9001,-73.1348
Windham,41.6998,-72.157
Windsor Locks,41.9293,-72.6273
Winsted,41.9212,-73.0601
Wolcott,41.6023,-72.9868
Woodbridge,41.3526,-73.0084
Woodbury,41.5445,-73.209
