<SIZE>23
<LANG>EN
<STATE>Delaware,DE
Bear,39.6293,-75.6583
Brookside,39.6671,-75.7269
Claymont,39.8007,-75.4596
Delmar,38.4565,-75.5771
Dover,39.1582,-75.5244
Dover AFB,39.1,-75.5
Edgemoor,39.7501,-75.4996
Elsmere,39.7393,-75.598
Georgetown,38.6901,-75.3855
Glasgow,39.6048,-75.7452
Hockessin,39.7876,-75.6966
Lewes,38.7746,-75.1394
Middletown,39.4496,-75.7163
Milford,38.9126,-75.428
Millsboro,38.6,-75.3
Newark,39.6837,-75.7497
North Star,39.7612,-75.7191
Pike Creek,39.7309,-75.7041
Seaford,38.6412,-75.611
Selbyville,38.4604,-75.2207
Smyrna,39.2998,-75.6047
Wilmington,39.7459,-75.5466
Wilmington Manor,39.6868,-75.5844
