<SIZE>482
<LANG>EN
<STATE>Florida,FL
Alachua,29.7516,-82.4248
Altamonte Springs,28.6611,-81.3656
Andover,25.9684,-80.2128
Apollo Beach,27.7731,-82.4076
Apopka,28.6806,-81.5095
Arcadia,27.2159,-81.8584
Atlantic Beach,30.3344,-81.3987
Auburndale,28.0653,-81.7887
Aventura,25.9565,-80.1392
Avon Park,27.5959,-81.5062
Azalea Park,28.5411,-81.3006
Bartow,27.8964,-81.8431
Bay Harbor Islands,25.8876,-80.1312
Bay Hill,28.4681,-81.5162
Bayonet Point,28.3267,-82.6834
Bayshore Gardens,27.4253,-82.5904
Beacon Square,28.2086,-82.7554
Bee Ridge,27.2839,-82.4807
Bell,29.7555,-82.8626
Belle Glade,26.6845,-80.6676
Belle Isle,28.4583,-81.3592
Bellview,30.4616,-87.315
Beverly Hills,28.9169,-82.4582
Big Pine Key,24.6699,-81.354
Bloomingdale,27.8936,-82.2404
Blountstown,30.4435,-85.0452
Boca Del Mar,26.3451,-80.1467
Boca Raton,26.3587,-80.0831
Bokeelia,26.7056,-82.159
Bonita Springs,26.3398,-81.7787
Boyette,27.8175,-82.2226
Boynton Beach,26.5253,-80.0664
Bradenton,27.4989,-82.5748
Brandon,27.9378,-82.2859
Branford,29.9591,-82.9282
Brent,30.4688,-87.2361
Broadview Park,26.0995,-80.2087
Bronson,29.4477,-82.6423
Brooksville,28.5553,-82.3879
Brownsville,25.8218,-80.2412
Butler Beach,29.7983,-81.267
Callaway,30.153,-85.5699
Campbellton,30.9494,-85.4022
Cape Canaveral,28.4058,-80.6048
Cape Coral,26.5629,-81.9495
Carol City,25.9406,-80.2456
Carrabelle,29.8533,-84.6643
Carrollwood Village,28.0675,-82.5209
Casselberry,28.6778,-81.3278
Cedar Grove,30.171,-85.6252
Cedar Key,29.1386,-83.0351
Century,30.9732,-87.2639
Century Village,26.714,-80.1289
Chattahoochee,30.7052,-84.843
Cheval,28.1486,-82.5145
Chipley,30.7819,-85.5385
Chokoloskee,25.8129,-81.362
Citrus Park,28.0784,-82.5698
Citrus Ridge,28.3461,-81.6734
Citrus Springs,28.9975,-82.4707
Clearwater,27.9659,-82.8001
Clermont,28.5494,-81.7729
Clewiston,26.7542,-80.9337
Cocoa,28.3861,-80.742
Cocoa Beach,28.32,-80.6076
Coconut Creek,26.2517,-80.1789
Combee Settlement,28.0584,-81.9054
Conway,28.5028,-81.3306
Cooper City,26.0573,-80.2717
Coral Gables,25.7215,-80.2684
Coral Springs,26.2712,-80.2706
Coral Terrace,25.7459,-80.3045
Country Club,25.9481,-80.317
Country Walk,25.634,-80.4323
Crescent City,29.4303,-81.5106
Crestview,30.7621,-86.5705
Cross City,29.6344,-83.1251
Crystal Lake,28.0356,-81.9084
Cutler,25.6151,-80.3106
Cutler Ridge,25.5807,-80.3467
Cypress Gardens,27.9939,-81.6901
Cypress Lake,26.5381,-81.8993
Dade City,28.3647,-82.1959
Dania Beach,26.0523,-80.1439
Davie,26.0629,-80.2331
Daytona Beach,29.2108,-81.0228
De Funiak Springs,30.721,-86.1152
De Land,29.0283,-81.3031
DeBary,28.883,-81.3087
Deerfield Beach,26.3184,-80.0998
Delray Beach,26.4615,-80.0728
Deltona,28.9005,-81.2637
Destin,30.3935,-86.4958
Doctor Phillips,28.4494,-81.4923
Doral,25.8195,-80.3553
Dunedin,28.0197,-82.7718
East Lake,28.1108,-82.6948
East Pensacola Heights,30.4288,-87.18
East Perrine,25.6087,-80.3389
Eastpoint,29.7366,-84.8785
Ebro,30.448,-85.8741
Edgewater,28.9889,-80.9023
Egypt Lake-Leto,28.017,-82.4954
Elfers,28.2167,-82.7223
Englewood,26.962,-82.3526
Ensley,30.5188,-87.2728
Estero,26.4381,-81.8068
Esto,30.9874,-85.646
Eustis,28.8528,-81.6854
Fairview Shores,28.5911,-81.3942
Fern Park,28.6492,-81.3512
Fernandina Beach,30.6697,-81.4626
Ferry Pass,30.5102,-87.2125
Flagler Beach,29.475,-81.127
Floral City,28.75,-82.2968
Florida City,25.4479,-80.4792
Florida Ridge,27.5803,-80.3867
Forest City,28.6617,-81.419
Fort Lauderdale,26.1223,-80.1434
Fort Meade,27.7523,-81.8018
Fort Myers,26.6406,-81.8723
Fort Myers Beach,26.452,-81.9481
Fort Myers Shores,26.7092,-81.7459
Fort Pierce,27.4467,-80.3256
Fort Walton Beach,30.4058,-86.6188
Fort White,29.9233,-82.7137
Fountainbleau,25.7729,-80.3478
Freeport,30.4983,-86.1361
Fruit Cove,30.1111,-81.6418
Fruitville,27.3298,-82.4576
Fussels Corner,28.0542,-81.8606
Gainesville,29.6516,-82.3248
Gibsonton,27.8536,-82.3826
Gifford,27.6753,-80.4092
Gladeview,25.8393,-80.2356
Glenvar Heights,25.7076,-80.3256
Golden Gate,26.1879,-81.6951
Golden Glades,25.9118,-80.2003
Golden Lakes,26.7006,-80.1648
Goldenrod,28.6103,-81.2887
Gonzalez,30.5816,-87.2914
Goulds,25.5626,-80.3823
Greater Sun Center,27.7181,-82.3518
Green Cove Springs,29.9919,-81.6781
Greenacres City,26.6237,-80.1253
Greenville,30.4694,-83.6302
Groveland,28.5581,-81.8512
Gulf Breeze,30.3571,-87.1639
Gulf Gate Estates,27.2595,-82.5068
Gulfport,27.7484,-82.7034
Haines City,28.1142,-81.6179
Hallandale Beach,25.9812,-80.1484
Hamptons at Boca Raton,26.3826,-80.1859
Hernando,28.9,-82.3745
Hialeah,25.8576,-80.2781
Hialeah Gardens,25.8651,-80.3245
Hilliard,30.6911,-81.9173
Hobe Sound,27.0595,-80.1364
Holiday,28.1878,-82.7395
Holly Hill,29.2436,-81.0376
Hollywood,26.0112,-80.1495
Homestead,25.4687,-80.4776
Homosassa Springs,28.8036,-82.5759
Horseshoe Beach,29.4413,-83.2874
Hudson,28.3644,-82.6934
Hunters Creek,28.3606,-81.4223
Immokalee,26.4187,-81.4173
Indian Harbour Beach,28.1489,-80.5884
Indian River Estates,27.3645,-80.3098
Indian Rocks Beach,27.8753,-82.8512
Indiantown,27.0273,-80.4856
Interlachen,29.6239,-81.8904
Inverness,28.8358,-82.3304
Inwood,28.037,-81.7651
Iona,26.5204,-81.964
Islamorada,24.9243,-80.6278
Ives Estates,25.9623,-80.1767
Jacksonville,30.3322,-81.6556
Jacksonville Beach,30.2947,-81.3931
Jan-Phyl Village,28.0147,-81.7717
Jasmine Estates,28.2931,-82.6901
Jasper,30.5183,-82.9482
Jensen Beach,27.2545,-80.2298
Jupiter,26.9342,-80.0942
Kendale Lakes,25.7082,-80.407
Kendall,25.6793,-80.3173
Key Biscayne,25.6937,-80.1628
Key Largo,25.0865,-80.4473
Key West,24.5557,-81.7826
Keystone,28.1558,-82.6212
Kings Point,26.4454,-80.1398
Kissimmee,28.292,-81.4076
La Belle,26.7617,-81.4384
Lady Lake,28.9175,-81.9229
Lake Butler,30.0227,-82.3396
Lake Butter,28.5017,-81.5409
Lake City,30.1897,-82.6393
Lake Forest,25.9776,-80.1831
Lake Lorraine,30.4416,-86.5652
Lake Lucerne,25.9651,-80.2414
Lake Magdalene,28.0742,-82.4718
Lake Mary,28.7589,-81.3178
Lake Park,26.8003,-80.0664
Lake Wales,27.9014,-81.5859
Lake Worth,26.6159,-80.057
Lake Worth Corridor,26.6184,-80.1012
Lakeland,28.0395,-81.9498
Lakeland Highlands,27.9597,-81.9501
Lakes by the Bay,25.5723,-80.3253
Lakeside,30.13,-81.7682
Lakewood Park,27.4814,-80.3742
Land O' Lakes,28.2189,-82.4576
Lantana,26.5867,-80.052
Largo,27.9095,-82.7873
Lauderdale Lakes,26.1665,-80.2084
Lauderdale-by-the-Sea,26.192,-80.0964
Lauderhill,26.1404,-80.2134
Laurel,27.1303,-82.4532
Layton,24.824,-80.8137
Lecanto,28.8516,-82.4876
Leesburg,28.8108,-81.8779
Lehigh Acres,26.6253,-81.6248
Leisure City,25.4954,-80.4292
Lighthouse Point,26.2756,-80.0873
Live Oak,30.2949,-82.984
Lockhart,28.6194,-81.4426
Longboat Key,27.4125,-82.659
Longwood,28.7031,-81.3384
Lutz,28.1511,-82.4615
Lynn Haven,30.2455,-85.6483
Macclenny,30.2822,-82.1221
Madison,30.4694,-83.4129
Maitland,28.6278,-81.3631
Malone,30.9577,-85.1622
Manattee Road,29.513,-82.9143
Mango,27.9797,-82.3065
Marathon,24.7138,-81.0904
Marco,25.9726,-81.729
Margate,26.2445,-80.2064
Marianna,30.7744,-85.2269
Mayo,30.053,-83.1749
McGregor,26.5609,-81.9145
Meadow Woods,28.3856,-81.3665
Medulla,27.9678,-81.9734
Melbourne,28.0836,-80.6081
Melrose Park,26.1134,-80.1934
Memphis,27.5359,-82.5612
Merritt Island,28.5392,-80.672
Miami,25.7743,-80.1937
Miami Beach,25.7907,-80.13
Miami Lakes,25.9087,-80.3087
Miami Shores,25.8632,-80.1928
Miami Springs,25.8223,-80.2895
Micco,27.8806,-80.5003
Middleburg,30.0689,-81.8604
Milton,30.6324,-87.0397
Mims,28.6653,-80.8448
Minneola,28.5744,-81.7462
Miramar,25.9873,-80.2323
Monticello,30.5452,-83.8702
Mount Dora,28.8025,-81.6445
Myrtle Grove,30.421,-87.3075
Naples,26.142,-81.7948
Naples Manor,26.0887,-81.7262
Naples Park,26.2618,-81.8093
Neptune Beach,30.3119,-81.3965
New Port Richey,28.2442,-82.7193
New Smyrna Beach,29.0258,-80.927
Newberry,29.6464,-82.6065
Niceville,30.5169,-86.4822
Norland,25.949,-80.2123
North Andrews Gardens,26.1915,-80.1442
North Bay Village,25.8462,-80.1539
North Fort Myers,26.6673,-81.8801
North Key Largo,25.2673,-80.3234
North Lauderdale,26.2173,-80.2259
North Miami,25.8901,-80.1867
North Miami Beach,25.9331,-80.1625
North Palm Beach,26.8176,-80.082
North Port,27.0442,-82.2359
North Sarasota,27.3739,-82.5184
Oak Ridge,28.4711,-81.4245
Oakland Park,26.1723,-80.132
Ocala,29.1872,-82.1401
Ocean City,30.441,-86.6136
Ocoee,28.5692,-81.544
Ojus,25.9484,-80.1506
Okeechobee,27.2439,-80.8298
Oldsmar,28.0342,-82.6651
Olympia Heights,25.7268,-80.3553
Opa-locka,25.9023,-80.2503
Orange City,28.9489,-81.2987
Orange Park,30.1661,-81.7065
