<SIZE>235
<LANG>EN
<STATE>Georgia,GA
Abbeville,31.9921,-83.3068
Acworth,34.0659,-84.6769
Adel,31.1371,-83.4235
Alamo,32.1471,-82.7779
Alapaha,31.3852,-83.2229
Albany,31.5785,-84.1557
Alma,31.5394,-82.4624
Alpharetta,34.0754,-84.2941
Americus,32.0724,-84.2327
Arlington,31.4399,-84.7249
Ashburn,31.706,-83.6532
Athens,33.9609,-83.3779
Atlanta,33.749,-84.388
Auburn,34.0137,-83.8277
Augusta,33.471,-81.9748
Austell,33.8126,-84.6344
Bainbridge,30.9038,-84.5755
Baldwin,34.4918,-83.5374
Barnesville,33.0546,-84.1557
Baxley,31.7783,-82.3485
Belvedere Park,33.7548,-84.2674
Blairsville,34.8762,-83.9582
Blakely,31.3777,-84.9341
Blue Ridge,34.864,-84.3241
Bremen,33.7212,-85.1455
Brunswick,31.15,-81.4915
Buena Vista,32.319,-84.5171
Buford,34.1207,-84.0043
Butler,32.5571,-84.2383
Cadwell,32.3396,-83.0421
Cairo,30.8774,-84.2013
Calhoun,34.5026,-84.9511
Camilla,31.2313,-84.2105
Canton,34.2368,-84.4908
Carrollton,33.5801,-85.0766
Cartersville,34.1651,-84.7999
Cedartown,34.0537,-85.255
Centerville,32.6301,-83.6896
Chamblee,33.892,-84.2988
Clarkston,33.8095,-84.2396
Claxton,32.1616,-81.904
Clayton,34.8781,-83.401
Cleveland,34.597,-83.7632
Cochran,32.3868,-83.3546
Cohutta,34.9595,-84.9527
College Park,33.6534,-84.4494
Colquitt,31.1713,-84.7333
Columbus,32.461,-84.9877
Comer,34.0637,-83.1254
Commerce,34.204,-83.4571
Conley,33.6448,-84.3258
Conyers,33.6676,-84.0177
Cordele,31.9635,-83.7824
Country Club Estates,33.9893,-83.4096
Covington,33.5968,-83.8602
Crawford,33.8829,-83.1546
Crawfordville,33.554,-82.896
Cumming,34.2073,-84.1402
Cusseta,32.3054,-84.7727
Cuthbert,31.7713,-84.7894
Dahlonega,34.5326,-83.9849
Dallas,33.9237,-84.8408
Dalton,34.7698,-84.9702
Darien,31.3702,-81.434
Dawson,31.7735,-84.4466
DeSoto,31.9554,-84.0621
Decatur,33.7748,-84.2963
Dock Junction,31.2025,-81.5168
Donalsonville,31.0405,-84.8791
Doraville,33.8982,-84.2833
Douglas,31.5088,-82.8499
Douglasville,33.7515,-84.7477
Druid Hills,33.7804,-84.336
Dublin,32.5404,-82.9038
Duluth,34.0029,-84.1446
Dunwoody,33.9462,-84.3346
East Point,33.6796,-84.4394
Eastman,32.1977,-83.1777
Eatonton,33.3268,-83.3885
Elberton,34.1112,-82.8671
Ellijay,34.6948,-84.4821
Ephesus,33.4071,-85.2544
Evans,33.5337,-82.1307
Fair Oaks,33.9165,-84.5447
Fairburn,33.5671,-84.581
Fairmount,34.4362,-84.6999
Fairview,34.9456,-85.2844
Fargo,30.6819,-82.5665
Fayetteville,33.4487,-84.4549
Fitzgerald,31.7149,-83.2527
Folkston,30.8305,-82.0098
Forest Park,33.6221,-84.3691
Forsyth,33.0343,-83.9382
Fort Gaines,31.6091,-85.0471
