<SIZE>59
<LANG>EN
<STATE>Hawaii,HI
Hawaiian Ocean View,19.0686,-155.765
Hawaiian Paradise Park,19.5933,-154.973
Hilo,19.7297,-155.09
Honoka‘a,20.0828,-155.473
Honolulu,21.3069,-157.858
Hālawa,21.3794,-157.922
Hālawa Heights,21.3817,-157.918
Hāna,20.7581,-155.99
Hōlualoa,19.6228,-155.952
Kahuku,21.6803,-157.951
Kahului,20.8947,-156.47
Kailua,21.4022,-157.739
Kalaoa,19.7286,-155.982
Kapaa,22.0783,-159.322
Kapaau,20.2339,-155.802
Kaunakakai,21.0933,-157.024
Kekaha,21.9708,-159.715
Kāne‘ohe,21.4181,-157.804
Kīhei,20.785,-156.466
Lahaina,20.8783,-156.682
Laupāhoehoe,19.9869,-155.235
Lihue,21.9811,-159.371
Lāna‘i City,20.8306,-156.922
Makakilo City,21.3469,-158.086
Makawao,20.8569,-156.313
Maunaloa,21.1358,-157.216
Mililani Town,21.45,-158.001
Mākaha,21.4694,-158.217
Mā‘ili,21.4219,-158.18
Nānākuli,21.3906,-158.155
Pearl City,21.3972,-157.973
Princeville,22.2236,-159.485
Pukalani,20.8367,-156.337
Pāhala,19.2053,-155.48
Village Park,21.3981,-158.03
Volcano,19.4308,-155.238
Wahiawā,21.5028,-158.024
Waialua,21.1003,-156.761
Waikoloa Village,19.9325,-155.828
Wailua,22.1,-159.3
Wailuku,20.8911,-156.505
Waimalu,21.4047,-157.943
Waimea,20.0231,-155.672
Waipahu,21.3867,-158.009
Waipi‘o,21.4183,-158.001
Waipi‘o Acres,21.4675,-158.016
Wai‘anae,21.4447,-158.19
Aiea,21.3822,-157.934
Ewa Beach,21.3156,-158.007
Ewa Gentry,21.3442,-158.031
Ewa Villages,21.3456,-158.041
Āhuimanu,21.4447,-157.838
Paia,20.911,-156.376
Haiku,20.918,-156.326
Kapolei,21.335,-158.081
Poipu,21.884,-159.464
Hanalei,22.207,-159.501
Kona,19.650,-155.994
Captain Cook,19.498,-155.904





