<SIZE>219
<LANG>EN
<STATE>Iowa,IA
Albert City,42.7819,-94.9486
Albia,41.0267,-92.8057
Algona,43.07,-94.233
Altoona,41.6442,-93.4647
Ames,42.0347,-93.6199
Anamosa,42.1083,-91.2852
Anita,41.4453,-94.7647
Ankeny,41.7297,-93.6058
Armstrong,43.3961,-94.4783
Atlantic,41.4036,-95.0139
Auburn,42.2514,-94.8778
Audubon,41.718,-94.9325
Bancroft,43.2927,-94.218
Bedford,40.6669,-94.7214
Belle Plaine,41.8969,-92.2782
Bellevue,42.2586,-90.4229
Belmond,42.8461,-93.6141
Bettendorf,41.5245,-90.5157
Blanchard,40.5792,-95.2216
Blockton,40.6155,-94.4772
Bloomfield,40.7517,-92.4149
Boone,42.0597,-93.8802
Britt,43.0977,-93.8019
Buffalo Center,43.3858,-93.9466
Burlington,40.8075,-91.1129
Bussey,41.2044,-92.8827
Carroll,42.0658,-94.8669
Cascade,42.2986,-91.0149
Cedar Falls,42.5278,-92.4455
Cedar Rapids,42.0083,-91.6441
Centerville,42.0928,-93.9355
Chariton,41.0139,-93.3066
Charles City,43.0664,-92.6724
Cherokee,42.7494,-95.5517
Chester,43.4911,-92.3605
Clarinda,40.7419,-95.0383
Clear Lake,43.138,-93.3794
Clearfield,40.8008,-94.4758
Clinton,41.8445,-90.1887
Clive,41.603,-93.7241
Coggon,42.2808,-91.5304
Conesville,41.382,-91.3499
Coon Rapids,41.8708,-94.6775
Coralville,41.6764,-91.5804
Corning,40.99,-94.7408
Correctionville,42.475,-95.7856
Corydon,40.757,-93.3188
Council Bluffs,41.2619,-95.8611
Cresco,43.3814,-92.1141
Creston,41.0586,-94.3614
Davenport,41.5236,-90.5776
De Witt,41.8234,-90.5382
Decorah,43.3033,-91.7857
Denison,42.0178,-95.3553
Des Moines,41.6005,-93.6091
Donnellson,40.6428,-91.5646
Dows,42.6566,-93.501
Dubuque,42.5006,-90.6646
Durant,41.5998,-90.9107
Dyersville,42.4844,-91.1229
Eagle Grove,42.6641,-93.9044
Eldora,42.3608,-93.0996
Eldridge,41.6581,-90.5846
Elkader,42.8539,-91.4054
Emmetsburg,43.1127,-94.683
Estherville,43.4016,-94.8328
Fairfield,41.0086,-91.9627
Fonda,42.5814,-94.8461
Forest City,43.2625,-93.6372
Fort Atkinson,43.1433,-91.9327
Fort Dodge,42.4975,-94.168
Fort Madison,40.6298,-91.3151
Glenwood,41.0469,-95.7425
Gowrie,42.2805,-94.2908
Grand River,40.8194,-93.9624
Greene,42.8958,-92.8024
Greenfield,41.3053,-94.4614
Grimes,41.6883,-93.7911
Grinnell,41.743,-92.7224
Griswold,41.235,-95.1375
Grundy Center,42.3616,-92.7685
Guthrie Center,41.6772,-94.5033
Guttenberg,42.7858,-91.0996
Hamburg,40.6044,-95.6578
Hampton,42.7419,-93.2024
Harlan,41.653,-95.3256
Harris,43.4452,-95.4342
Hartley,43.18,-95.477
Hastings,41.0228,-95.4992
Hawarden,42.9958,-96.4853
Hiawatha,42.0358,-91.6821
Humboldt,42.7208,-94.2152
Ida Grove,42.345,-95.4717
Independence,42.4686,-91.8893
Indianola,41.358,-93.5574
Inwood,43.3072,-96.432
Iowa City,41.6611,-91.5302
Iowa Falls,42.5225,-93.2513
Jefferson,42.0153,-94.3775
Jewell,42.3069,-93.6402
Johnston,41.673,-93.6977
Kalona,41.4831,-91.706
Keokuk,40.3973,-91.3849
Keosauqua,40.7303,-91.9624
Keota,41.3639,-91.9538
Knoxville,41.3208,-93.1094
La Porte City,42.315,-92.1921
Lacona,41.1897,-93.383
Lamoni,40.6228,-93.9341
Lansing,43.3622,-91.2165
Le Mars,42.7942,-96.1656
Le Roy,40.8778,-93.5927
Leon,40.7397,-93.7477
Lineville,40.5814,-93.5238
Lisbon,41.9211,-91.3854
Lorimor,41.1283,-94.0533
Lu Verne,42.9083,-94.0738
Madrid,41.8767,-93.8233
Manchester,42.4842,-91.4554
Manning,41.9092,-95.065
Mapleton,42.1658,-95.7931
Maquoketa,42.0689,-90.6657
Marcus,42.8258,-95.8075
Marion,42.0342,-91.5977
Marshalltown,42.0494,-92.908
Mason City,43.1536,-93.201
Massena,41.2542,-94.7683
McGregor,43.0183,-91.1826
Melrose,40.9761,-93.0505
Mingo,41.7675,-93.2835
Missouri Valley,41.5564,-95.8878
Mondamin,41.7105,-96.0217
Monroe,41.5222,-93.1019
Montezuma,41.5858,-92.5274
Moorhead,41.9225,-95.8514
Moulton,40.6859,-92.6774
Mount Ayr,40.7147,-94.2352
Mount Pleasant,40.9636,-91.5579
Moville,42.4889,-96.0725
Muscatine,41.4245,-91.0432
Mystic,40.7775,-92.9438
Neola,41.4489,-95.6156
Nevada,42.0228,-93.4524
New Hampton,43.0591,-92.3177
Newton,41.6997,-93.048
North Liberty,41.7492,-91.5979
Northwood,43.4441,-93.221
Norwalk,41.4755,-93.6788
Norway,41.9028,-91.9216
Oakland,41.3092,-95.3967
Oelwein,42.6733,-91.9135
Onawa,42.0267,-96.0972
Orange City,43.0072,-96.0583
Osage,43.2841,-92.811
Osceola,41.0339,-93.7655
Oskaloosa,41.2964,-92.6444
Ottumwa,41.02,-92.4113
Parkersburg,42.5775,-92.7869
Pella,41.4081,-92.9163
Perry,41.8386,-94.1072
Pleasant Hill,41.5839,-93.5199
Pocahontas,42.7355,-94.6691
Postville,43.0847,-91.5682
Preston,42.0503,-90.414
Red Oak,41.0097,-95.2255
Riceville,43.3639,-92.5541
Rickardsville,42.5833,-90.884
Rock Rapids,43.4272,-96.1759
Rockford,43.0522,-92.9485
Rockwell City,42.3953,-94.6339
Sac City,42.4222,-94.9897
Scarville,43.4705,-93.6177
Sheldon,43.1811,-95.8561
Shenandoah,40.7656,-95.3722
Sibley,43.3991,-95.752
Sigourney,41.3333,-92.2046
Sioux Center,43.0797,-96.1756
Sioux City,42.5,-96.4003
Sioux Rapids,42.8933,-95.1511
Sloan,42.2328,-96.2281
Spencer,43.1414,-95.1444
Spirit Lake,43.4222,-95.1022
State Center,42.0167,-93.1635
Storm Lake,42.6411,-95.2097
Strawberry Point,42.6836,-91.534
Stuart,41.5033,-94.3186
Sumner,42.8475,-92.0916
Sutherland,42.9741,-95.4975
Tama,41.9667,-92.5769
Thornton,42.9447,-93.3847
Thurman,40.82,-95.7478
Tipton,41.7697,-91.1279
Traer,42.1936,-92.4655
Treynor,41.2325,-95.6131
Urbandale,41.6267,-93.7122
Villisca,40.9297,-94.9761
Vinton,42.1686,-92.0235
Walker,42.2867,-91.7807
Wankon,43.3,-91.5
Wapello,41.1814,-91.1854
Washington,41.2992,-91.6929
Waterloo,42.4928,-92.343
Waukee,41.6117,-93.8852
Waukon,43.2694,-91.4757
Waverly,42.7258,-92.4755
Webster City,42.4694,-93.8161
West Bend,42.9569,-94.4411
West Cedar Rapids,41.9583,-91.6688
West Des Moines,41.5772,-93.7113
West Liberty,41.57,-91.2638
West Union,42.9628,-91.8082
Westfield,42.7556,-96.6059
Wheatland,41.8317,-90.8382
Williamsburg,41.6611,-92.0091
Winfield,41.1231,-91.4413
Winterset,41.3308,-94.0138
Woodbine,41.7383,-95.7028
Wyoming,42.0592,-91.0074
Zwingle,42.2978,-90.6876
