<SIZE>105
<LANG>EN
<STATE>Idaho,ID
Albion,42.4127,-113.578
American Falls,42.786,-112.854
Ammon,43.4696,-111.967
Arco,43.6366,-113.3
Ashton,44.0716,-111.448
Athol,47.948,-116.708
Atomic City,43.4449,-112.813
Bancroft,42.7202,-111.886
Blackfoot,43.1905,-112.345
Boise,43.6135,-116.203
Bonners Ferry,48.6913,-116.316
Buhl,42.5991,-114.759
Burley,42.5357,-113.793
Caldwell,43.6629,-116.687
Cambridge,44.5727,-116.676
Carey,43.3077,-113.945
Cascade,44.5163,-116.042
Challis,44.5046,-114.232
Chubbuck,42.9207,-112.466
Clark Fork,48.1452,-116.176
Clayton,44.2594,-114.402
Coeur d'Alene,47.8,-116.8
Cottonwood,46.0485,-116.35
Council,44.7299,-116.438
Craigmont,46.2413,-116.467
Crouch,44.1152,-115.971
Culdesac,46.3746,-116.673
Deary,46.7993,-116.556
Downey,42.4285,-112.124
Dubois,44.1763,-112.231
Eagle,43.6954,-116.354
Elk River,46.7835,-116.18
Emmett,43.8735,-116.499
Fairfield,43.3466,-114.792
Garden City,43.6221,-116.238
Glenns Ferry,42.9549,-115.301
Gooding,42.9388,-114.713
Grand View,42.9896,-116.093
Grangeville,45.9266,-116.122
Grouse,43.6882,-113.613
Hagerman,42.8121,-114.899
Hailey,43.5196,-114.315
Hamer,43.9271,-112.206
Hayden,47.766,-116.787
Hazelton,42.5963,-114.136
Hollister,42.3532,-114.575
Homedale,43.6177,-116.934
Horseshoe Bend,43.9146,-116.198
Idaho City,43.8285,-115.835
Idaho Falls,43.4666,-112.034
Island Park,44.4244,-111.371
Jerome,42.7241,-114.519
Juliaetta,46.5788,-116.706
Kamiah,46.2271,-116.029
Kellogg,47.5383,-116.119
Kuna,43.4918,-116.42
Leadore,44.6802,-113.358
Lewiston,46.4165,-117.018
Lewiston Orchards,46.3804,-116.975
Mackay,43.9146,-113.613
Malad City,42.1916,-112.251
Malta,42.3063,-113.369
McCall,44.911,-116.099
McCammon,42.6505,-112.193
Meridian,43.6121,-116.392
Minidoka,42.7538,-113.49
Montpelier,42.3222,-111.298
Moscow,46.7324,-117
Mountain Home,43.1329,-115.691
Mud Lake,43.8413,-112.476
Mullan,47.4702,-115.802
Nampa,43.5407,-116.563
Oakley,42.2432,-113.882
Orofino,46.4793,-116.255
Oxford,42.2588,-112.021
Payette,44.0782,-116.934
Pierce,46.491,-115.799
Plummer,47.3352,-116.889
Pocatello,42.8713,-112.446
Post Falls,47.718,-116.952
Potlatch,46.9216,-116.898
Preston,42.0963,-111.877
Priest River,48.1807,-116.909
Rathdrum,47.8124,-116.897
Rexburg,43.826,-111.79
Richfield,43.0485,-114.156
Riggins,45.4221,-116.315
Ririe,43.6319,-111.774
Roberts,43.7202,-112.126
Rockland,42.5732,-112.877
Rupert,42.6191,-113.677
Saint Charles,42.1138,-111.389
Saint Maries,47.3144,-116.563
Salmon,45.1758,-113.896
Sandpoint,48.2766,-116.553
Shoshone,42.936,-114.406
Soda Springs,42.6544,-111.605
Spencer,44.3605,-112.187
Stanley,44.2113,-114.946
Swan Valley,43.456,-111.342
Tetonia,43.8191,-111.163
Twin Falls,42.563,-114.461
Victor,43.6027,-111.111
Weiser,44.251,-116.969
White Bird,45.7616,-116.301
