<SIZE>439
<LANG>EN
<STATE>Illinois,IL
Addison,41.9317,-87.989
Albany,41.7895,-90.2193
Albion,38.3775,-88.0561
Aledo,41.1998,-90.7493
Algonquin,42.1656,-88.2943
Alsip,41.6689,-87.7387
Alton,38.8906,-90.1843
Anna,37.4603,-89.247
Antioch,42.4772,-88.0956
Arlington Heights,42.0884,-87.9806
Astoria,40.2275,-90.3596
Augusta,40.23,-90.9501
Aurora,41.7606,-88.3201
Avon,40.6642,-90.4349
Barrington,42.1539,-88.1362
Barry,39.6942,-91.039
Bartlett,41.995,-88.1856
Bartonville,40.6503,-89.652
Batavia,41.85,-88.3126
Beach Park,42.4222,-87.8573
Beardstown,40.0175,-90.4243
Belleville,38.5201,-89.984
Bellwood,41.8814,-87.8831
Belvidere,42.2639,-88.8443
Bensenville,41.955,-87.9401
Benton,37.9967,-88.9201
Berkeley,41.8889,-87.9034
Berwyn,41.8506,-87.7937
Bethalto,38.9092,-90.0407
Bloomingdale,41.9575,-88.0809
Bloomington,40.4842,-88.9937
Blue Island,41.6573,-87.68
Bolingbrook,41.6986,-88.0684
Boulder Hill,41.7125,-88.3362
Bourbonnais,41.1417,-87.875
Bradford,41.1773,-89.6576
Bradley,41.142,-87.8612
Braidwood,41.265,-88.2123
Bridgeview,41.75,-87.8042
Broadview,41.8639,-87.8534
Brookfield,41.8239,-87.8517
Brussels,38.9495,-90.5887
Buffalo Grove,42.1514,-87.9598
Burbank,41.7339,-87.7795
Burr Ridge,41.7489,-87.9184
Cahokia,38.5709,-90.1901
Cairo,37.0053,-89.1765
Calumet City,41.6156,-87.5295
Calumet Park,41.6628,-87.6606
Camp Point,40.0392,-91.0693
Campbell Hill,37.93,-89.549
Canton,40.5581,-90.0351
Carbondale,37.7273,-89.2168
Carlinville,39.2798,-89.8818
Carlyle,38.6103,-89.3726
Carmi,38.0909,-88.1586
Carol Stream,41.9125,-88.1348
Carpentersville,42.1211,-88.2579
Cary,42.212,-88.2381
Casey,39.2992,-87.9925
Centralia,38.525,-89.1334
Centreville,38.5834,-90.1251
Cerro Gordo,39.8906,-88.7281
Champaign,40.1164,-88.2434
Chandlerville,40.0481,-90.1551
Channahon,41.4295,-88.2287
Charleston,39.4961,-88.1762
Chatham,39.6762,-89.7045
Chatsworth,40.7536,-88.292
Chester,37.9137,-89.8221
Chicago,41.85,-87.6501
Chicago Heights,41.5061,-87.6356
Chicago Ridge,41.7014,-87.7792
Chillicothe,40.9223,-89.4862
Chrisman,39.8036,-87.6736
Cicero,41.8456,-87.7539
Cissna Park,40.5648,-87.8931
Clarendon Hills,41.7975,-87.9548
Clinton,40.1536,-88.9645
Coffeen,39.0892,-89.3906
Collinsville,38.6703,-89.9846
Colona,41.4839,-90.3532
Columbia,38.4437,-90.2012
Country Club Hills,41.5681,-87.7203
Countryside,41.7828,-87.8781
Crest Hill,41.5548,-88.0987
Crestwood,41.6611,-87.7525
Crete,41.4445,-87.6314
Creve Coeur,40.6473,-89.5912
Crystal Lake,42.2411,-88.3162
Danville,40.1245,-87.63
Darien,41.752,-87.9739
DeKalb,41.9295,-88.7504
Decatur,39.8403,-88.9548
Deerfield,42.1711,-87.8445
Delavan,40.3725,-89.5473
Des Plaines,42.0334,-87.8834
Dixon,41.8389,-89.4795
Dolton,41.6389,-87.6073
Downers Grove,41.8089,-88.0112
Du Quoin,38.0114,-89.2362
Dwight,41.0945,-88.4251
East Alton,38.8803,-90.1112
East Cape Girardeau,37.2959,-89.4962
East Moline,41.5009,-90.4443
East Peoria,40.6661,-89.5801
East Saint Louis,38.6245,-90.1509
Edwardsville,38.8114,-89.9532
Effingham,39.12,-88.5434
El Paso,40.7392,-89.0165
Elgin,42.0373,-88.2812
Elk Grove Village,42.0039,-87.9703
Elmhurst,41.8995,-87.9403
Elmwood,40.7778,-89.9665
Elmwood Park,41.9211,-87.8092
Evanston,42.0411,-87.6901
Evansville,38.0903,-89.9384
Evergreen Park,41.7206,-87.7017
Fairfield,42.2192,-88.0615
Fairview Heights,38.5889,-89.9904
Farina,38.8342,-88.7723
Flora,38.6689,-88.4856
Flossmoor,41.5428,-87.6848
Forest City,40.37,-89.8276
Forest Park,41.8795,-87.8137
Fox Lake,42.3967,-88.1837
Fox River Grove,42.2009,-88.2145
Frankfort,41.4959,-87.8487
Frankfort Square,41.5189,-87.8031
Franklin,39.6203,-90.044
Franklin Park,41.9353,-87.8656
Freeport,42.2967,-89.6212
Gages Lake,42.3517,-87.9826
Galena,42.4167,-90.429
Galesburg,40.9478,-90.3712
Geneseo,41.4481,-90.1543
Geneva,41.8875,-88.3054
Georgetown,42.1397,-89.8287
Gibson City,40.4653,-88.3759
Gilman,40.7667,-87.9923
Glen Carbon,38.7484,-89.9832
Glen Ellyn,41.8775,-88.067
Glencoe,42.135,-87.7581
Glendale Heights,41.9103,-88.0717
Glenview,42.0698,-87.7878
Glenwood,41.5425,-87.6023
Godfrey,38.9556,-90.1868
Goodings Grove,41.6292,-87.9309
Grand Chain,37.2517,-89.0234
Grand Tower,37.6264,-89.4979
Grandwood Park,42.3931,-87.9867
Granite City,38.7014,-90.1487
Grayslake,42.3445,-88.0417
Greenville,38.8923,-89.4131
Gurnee,42.3703,-87.902
Hamilton,40.3964,-91.339
Hamletsburg,37.1387,-88.4317
Hanover,42.2564,-90.2796
Hanover Park,41.9995,-88.1451
Hardin,39.1567,-90.6179
Harrisburg,37.7384,-88.5406
Harvard,42.4222,-88.6137
Harvel,39.3562,-89.5323
Harvey,41.61,-87.6467
Harwood Heights,41.9673,-87.8076
Havana,40.3,-90.061
Hawthorn Woods,42.217,-88.0495
Hazel Crest,41.5717,-87.6945
Henry,41.1114,-89.3565
Herrin,37.8031,-89.0276
Herscher,41.0492,-88.0978
Hickory Hills,41.7256,-87.8251
Highland,38.7395,-89.6712
Highland Park,42.1817,-87.8003
Highwood,42.1997,-87.8092
Hillside,41.8778,-87.9028
Hinsdale,41.8009,-87.937
Hoffman Estates,42.0428,-88.0798
Homer,40.0348,-87.9581
Homewood,41.5573,-87.6656
Hoopeston,40.4673,-87.6684
Hooppole,41.5223,-89.9098
Hopkins Park,41.0634,-87.625
Huntley,42.1681,-88.4281
Illiopolis,39.8537,-89.242
Inverness,42.1181,-88.0962
Island Lake,42.2761,-88.192
Itasca,41.975,-88.0073
Jacksonville,39.7339,-90.229
Jerseyville,39.12,-90.3284
Johnsburg,42.38,-88.242
Joliet,41.525,-88.0817
Justice,41.7445,-87.8378
Kankakee,41.12,-87.8612
Kewanee,41.2456,-89.9248
La Grange,41.805,-87.8692
La Grange Park,41.8348,-87.8617
La Harpe,40.5834,-90.9693
La Salle,41.3334,-89.0918
Lake Barrington,42.2125,-88.1526
Lake Bluff,42.2789,-87.8342
Lake Forest,42.2586,-87.8406
Lake Summerset,42.4545,-89.3896
Lake Villa,42.417,-88.074
Lake Zurich,42.197,-88.0934
Lake in the Hills,42.1817,-88.3304
Lansing,41.5648,-87.5389
Lawrenceville,38.7292,-87.6817
Le Roy,40.352,-88.7642
Lemont,41.6736,-88.0017
Lenzburg,38.2873,-89.8173
Lexington,40.6414,-88.7834
Libertyville,42.2831,-87.9531
Lima,40.1775,-91.3785
Lincoln,40.1484,-89.3648
Lincolnshire,42.19,-87.9084
Lincolnwood,42.0045,-87.7301
Lindenhurst,42.4106,-88.0262
Lisle,41.8011,-88.0748
Litchfield,39.1753,-89.6543
Littleton,40.2339,-90.6224
Lockport,41.5895,-88.0578
Lombard,41.88,-88.0078
Long Grove,42.1784,-87.9978
Loves Park,42.32,-89.0582
Lynwood,41.6836,-88.3937
Lyons,41.8134,-87.8181
Machesney Park,42.3472,-89.039
Macomb,40.4592,-90.6718
Mahomet,40.1953,-88.4042
Manteno,41.2506,-87.8314
Marengo,42.2486,-88.6084
Marion,37.7306,-88.9331
Markham,41.5936,-87.6948
Marshall,39.3914,-87.6936
Maryville,38.7237,-89.9559
Mascoutah,38.4903,-89.7932
Mason City,40.2023,-89.6982
Matteson,41.5039,-87.7131
Mattoon,39.4831,-88.3728
Maywood,41.8792,-87.8431
McHenry,42.3334,-88.2668
McLeansboro,38.0934,-88.5356
Melrose Park,41.9006,-87.8567
Mendota,41.5473,-89.1176
Meredosia,39.8312,-90.5596
Metropolis,37.1512,-88.732
Midlothian,41.6253,-87.7176
Milan,41.4531,-90.5721
Mill Shoals,38.2487,-88.3467
Milledgeville,41.9634,-89.7746
Minier,40.4337,-89.3131
Minooka,41.4553,-88.2617
Mokena,41.5261,-87.8892
Moline,41.5067,-90.5151
Monmouth,40.9114,-90.6474
Montgomery,41.7306,-88.3459
Monticello,40.0278,-88.5734
Morris,41.3573,-88.4212
Morrison,41.8097,-89.9651
Morton,40.6128,-89.4593
Morton Grove,42.0406,-87.7826
Mount Carmel,38.4109,-87.7614
Mount Erie,38.515,-88.2312
Mount Prospect,42.0664,-87.9373
Mount Sterling,39.9873,-90.7635
Mount Vernon,38.3173,-88.9031
Moweaqua,39.6248,-89.019
Mundelein,42.2631,-88.004
Murphysboro,37.7645,-89.3351
Naperville,41.7859,-88.1473
Nashville,38.3437,-89.3806
New Boston,41.1703,-90.9968
New Haven,37.9087,-88.1292
New Lenox,41.512,-87.9656
Newton,38.9909,-88.1625
Niles,42.0189,-87.8028
Nokomis,39.3012,-89.2851
Normal,40.5142,-88.9906
Norridge,41.9634,-87.8273
North Aurora,41.8061,-88.3273
North Chicago,42.3256,-87.8412
North Peoria,40.7175,-89.5843
North Riverside,41.8428,-87.8231
Northbrook,42.1275,-87.829
Northfield,42.0998,-87.7809
Northlake,41.9173,-87.8956
O'Fallon,38.5923,-89.9112
Oak Brook,41.8328,-87.9289
Oak Forest,41.6028,-87.7439
Oak Lawn,41.7109,-87.7581
Oak Park,41.885,-87.7845
Oakland,39.6539,-88.0261
Olney,38.7309,-88.0853
Oquawka,40.932,-90.9471
Oregon,42.0148,-89.3323
Orland Hills,41.5853,-87.8431
Orland Park,41.6303,-87.8539
Oswego,41.6828,-88.3515
Ottawa,41.3456,-88.8426
Palatine,42.1103,-88.0342
Palos Heights,41.6681,-87.7964
Palos Hills,41.6967,-87.817
Pana,39.3889,-89.0801
Paris,39.6111,-87.6961
Park City,42.3484,-87.8842
Park Forest,41.4914,-87.6745
Park Ridge,42.0111,-87.8406
Pekin,40.5675,-89.6407
Peoria,40.6936,-89.589
Peoria Heights,40.7473,-89.574
Peru,41.3275,-89.129
Petersburg,40.0117,-89.8482
Pinckneyville,38.0803,-89.382
Pittsfield,39.6078,-90.8051
Plainfield,41.627,-88.204
Plano,41.6628,-88.537
Pontiac,40.8809,-88.6298
Pontoon Beach,38.7317,-90.0804
Pontoosuc,40.6289,-91.2054
Potomac,40.305,-87.8006
Princeton,41.3681,-89.4648
Princeville,40.9298,-89.7576
Prospect Heights,42.0953,-87.9376
Quincy,39.9356,-91.4099
Ramsey,39.1445,-89.1087
Rantoul,40.3084,-88.1559
Richton Park,41.4845,-87.7034
River Forest,41.8978,-87.8139
River Grove,41.9259,-87.8359
Riverdale,41.6334,-87.6331
Riverside,41.835,-87.8228
Robbins,41.6439,-87.7037
Robinson,39.0053,-87.7392
Rochelle,41.9239,-89.0687
Rock Falls,41.7798,-89.689
Rock Island,41.5095,-90.5788
Rockford,42.2711,-89.094
Rockton,42.4525,-89.0723
Rolling Meadows,42.0842,-88.0131
Romeoville,41.6475,-88.0895
Roscoe,42.4133,-89.0093
Roselle,41.9847,-88.0798
Rosiclare,37.4237,-88.3461
Round Lake,42.3534,-88.0934
Round Lake Beach,42.3717,-88.0901
Round Lake Park,42.357,-88.0767
Saint Charles,41.9142,-88.3087
Saint Elmo,39.0273,-88.8481
Salem,38.627,-88.9456
Sandwich,41.6459,-88.6217
Sauk Village,41.4884,-87.5675
Savanna,42.0945,-90.1568
Savoy,40.0548,-88.2517
Schaumburg,42.0334,-88.0834
Schiller Park,41.9559,-87.8709
Shabbona,41.7681,-88.877
Shawneetown,37.7131,-88.1867
Sheffield,41.3584,-89.7373
Shelbyville,39.4064,-88.7901
Shiloh,38.5614,-89.8973
Shipman,39.1175,-90.0443
Shorewood,41.52,-88.2017
Silvis,41.5123,-90.4151
Skokie,42.0334,-87.7334
Smithfield,40.4734,-90.2918
South Beloit,42.4931,-89.0368
South Elgin,41.9942,-88.2923
South Holland,41.6009,-87.607
Sparta,38.1231,-89.7018
Spring Grove,42.4436,-88.2365
Spring Valley,41.3275,-89.1998
Springfield,39.8017,-89.6437
Staunton,39.0123,-89.7912
Steger,41.47,-87.6364
Sterling,41.7886,-89.6962
Stickney,41.8214,-87.7828
Stockton,42.3497,-90.0068
Stone Park,41.9056,-87.8837
Stonefort,37.6142,-88.7081
Streamwood,42.0256,-88.1784
Streator,41.1209,-88.8354
Sugar Grove,41.7614,-88.4437
Sullivan,39.5995,-88.6078
Summit,41.7881,-87.8103
Swansea,38.5339,-89.989
Sycamore,41.9889,-88.6868
Tamms,37.2351,-89.2701
Taylorville,39.5489,-89.2945
Tinley Park,41.5734,-87.7845
Toledo,39.2736,-88.2437
Toluca,41.0023,-89.1334
Troy,38.7292,-89.8832
Tuscola,39.7992,-88.2831
University Park,41.5923,-87.6853
Upper Alton,38.9114,-90.1507
Urbana,40.1106,-88.2073
Vandalia,38.9606,-89.0937
Vernon Hills,42.2195,-87.9795
Victoria,41.0336,-90.0984
Vienna,37.4153,-88.8978
Villa Park,41.8898,-87.989
Virden,39.5009,-89.7679
Walnut,41.5567,-89.5934
Warrenville,41.8178,-88.1734
Washington,40.7036,-89.4073
Washington Park,38.6351,-90.0929
Waterloo,38.3359,-90.1498
Watseka,40.7761,-87.7364
Wauconda,42.2589,-88.1392
Waukegan,42.3636,-87.8448
Wayne City,38.3453,-88.5878
West Chicago,41.8848,-88.204
West Dundee,42.0981,-88.2829
West Frankfort,37.8978,-88.9315
Westchester,41.8506,-87.882
Western Springs,41.8098,-87.9006
Westmont,41.7959,-87.9756
Wheaton,41.8661,-88.107
Wheeling,42.1392,-87.929
White Hall,39.437,-90.4032
Willow Springs,41.7409,-87.8603
Willowbrook,41.4578,-87.5364
Wilmette,42.0723,-87.7228
Wilmington,41.3078,-88.1467
Winchester,39.6298,-90.4562
Winfield,41.8617,-88.1609
Winnetka,42.1081,-87.7359
Winslow,42.4925,-89.7923
Winthrop Harbor,42.4789,-87.8237
Wonder Lake,42.3853,-88.3473
Wood Dale,41.9634,-87.979
Wood River,38.8612,-90.0976
Woodhull,41.1789,-90.316
Woodridge,41.747,-88.0503
Woodstock,42.3147,-88.4487
Worth,41.6898,-87.7973
