<SIZE>171
<LANG>EN
<STATE>Indiana,IN
Alexandria,40.2628,-85.6758
Alton,38.1226,-86.4178
Ambia,40.49,-87.517
Anderson,40.1053,-85.6803
Angola,41.6348,-84.9994
Attica,40.2942,-87.2489
Auburn,41.367,-85.0589
Aurora,39.1,-84.9
Avon,39.7628,-86.3997
Batesville,39.3001,-85.2222
Bedford,38.8612,-86.4872
Beech Grove,39.722,-86.09
Birdseye,38.3167,-86.6958
Bloomington,39.1653,-86.5264
Bluffton,40.7387,-85.1716
Boonville,38.0492,-87.2742
Brazil,39.5237,-87.125
Bright,39.2184,-84.8561
Brookville,39.4231,-85.0127
Brownsburg,39.8434,-86.3978
Carmel,39.9784,-86.118
Cedar Lake,41.3648,-87.4411
Charlestown,38.4531,-85.6702
Chesterton,41.6106,-87.0642
Clarksville,38.2967,-85.76
Clinton,39.657,-87.3981
Columbia City,41.1573,-85.4883
Columbus,39.2014,-85.9214
Connersville,39.6412,-85.1411
Corydon,38.212,-86.1219
Covington,40.1417,-87.3947
Crane,38.8912,-86.9039
Crawfordsville,40.0412,-86.8745
Crown Point,41.417,-87.3653
Cumberland,39.7762,-85.9572
Danville,39.7606,-86.5264
Decatur,40.8306,-84.9291
Dunlap,41.6378,-85.9217
Dyer,41.4942,-87.5217
East Chicago,41.6392,-87.4548
Economy,39.9781,-85.088
Elkhart,41.682,-85.9767
Ellettsville,39.2339,-86.625
Elwood,40.277,-85.8419
Evansville,37.9748,-87.5558
Fishers,39.9556,-86.0139
Flora,40.5473,-86.5244
Fort Wayne,41.1306,-85.1289
Fowler,40.6167,-87.3209
Francesville,40.9853,-86.8795
Frankfort,40.2795,-86.5108
Franklin,39.4806,-86.055
Garrett,41.3495,-85.1355
Gary,41.5934,-87.3464
Gas City,40.4873,-85.613
Goshen,41.5823,-85.8344
Granger,41.7534,-86.1108
Greencastle,39.6445,-86.8647
Greenfield,39.785,-85.7694
Greensburg,39.3373,-85.4836
Greenwood,39.6137,-86.1067
Griffith,41.5284,-87.4237
Hammond,41.5834,-87.5
Hartford City,40.4512,-85.37
Hidden Valley,39.1623,-84.843
Highland,41.5536,-87.452
Hobart,41.5323,-87.255
Holton,39.0751,-85.3872
Huntingburg,38.2989,-86.955
Huntington,40.8831,-85.4975
Indianapolis,39.7684,-86.158
Jasper,38.3914,-86.9311
Jeffersonville,38.2776,-85.7372
Kendallville,41.4414,-85.265
Kentland,40.7703,-87.4453
Knox,41.2959,-86.625
Kokomo,40.4864,-86.1336
La Porte,41.6106,-86.7225
Lafayette,40.4167,-86.8753
Lagrange,41.6417,-85.4166
Lake Station,41.575,-87.2389
Lakes of the Four Seasons,41.4103,-87.2131
Lawrence,39.8386,-86.0253
Lebanon,40.0484,-86.4692
Ligonier,41.4659,-85.5875
Linton,39.0348,-87.1658
Logansport,40.7545,-86.3567
Loogootee,38.677,-86.9142
Lowell,39.2531,-85.9464
Madison,38.7359,-85.38
Marengo,38.3692,-86.3436
Marion,40.5584,-85.6591
Martinsville,39.4278,-86.4283
Mauckport,38.0248,-86.2019
Medora,38.8251,-86.17
Merrillville,41.4828,-87.3328
Michigan City,41.7075,-86.895
Middlebury,39.2642,-87.1189
Milan,39.1212,-85.1313
Mishawaka,41.662,-86.1586
Monticello,40.7453,-86.7647
Mooresville,39.6128,-86.3742
Mount Vernon,40.6695,-85.8242
Muncie,40.1934,-85.3864
Munster,41.5645,-87.5125
Nappanee,41.4428,-86.0014
Nashville,39.2073,-86.2511
