<SIZE>242
<LANG>EN
<STATE>Kansas,KS
Abilene,38.9172,-97.2139
Allen,38.6561,-96.1697
Alma,39.0167,-96.2892
Alta Vista,38.8639,-96.4892
Alton,39.4708,-98.9481
Andover,37.7139,-97.1364
Anthony,37.1534,-98.0312
Arcadia,37.642,-94.6238
Arkansas City,37.062,-97.0384
Arlington,37.8967,-98.1787
Ashland,37.1886,-99.7657
Atchison,39.5631,-95.1216
Atwood,39.8067,-101.042
Augusta,37.6867,-96.9767
Baxter Springs,37.0237,-94.7355
Belleville,39.8245,-97.6325
Beloit,39.4561,-98.1062
Belpre,37.95,-99.1004
Benedict,37.6253,-95.7505
Bird City,39.7508,-101.533
Blue Mound,38.09,-95.0064
Bonner Springs,39.0597,-94.8836
Brewster,39.3667,-101.377
Brookville,38.775,-97.8684
Bucklin,37.5472,-99.6343
Burden,37.3128,-96.7542
Burdett,38.192,-99.5268
Burlington,38.1945,-95.7428
Burns,38.0903,-96.8864
Caldwell,37.0322,-97.607
Caney,37.0115,-95.9353
Carbondale,38.8186,-95.6891
Cassoday,38.0389,-96.6392
Cawker City,39.5125,-98.4337
Cedar Vale,37.1042,-96.5
Chanute,37.6792,-95.4572
Cimarron,37.8067,-100.348
Claflin,38.525,-98.5337
Clay Center,37.5195,-96.7711
Clyde,39.5911,-97.3989
Coffeyville,37.0373,-95.6164
Colby,39.3958,-101.052
Coldwater,37.2689,-99.3268
Concordia,39.5708,-97.6625
Conway Springs,37.3903,-97.6423
Coolidge,38.0417,-102.009
Cottonwood Falls,38.3722,-96.5428
Council Grove,38.6611,-96.492
Courtland,39.7814,-97.8928
Cunningham,37.6439,-98.4312
De Soto,38.9792,-94.9686
Derby,37.5456,-97.2689
Dighton,38.482,-100.467
Dodge City,37.7528,-100.017
Edna,37.0598,-95.3594
El Dorado,37.8172,-96.8623
Elkhart,37.0081,-101.89
Ellis,38.9381,-99.5607
Ellsworth,38.7306,-98.2281
Emporia,38.4039,-96.1817
Englewood,37.0384,-99.9835
Erie,37.5681,-95.2433
Eskridge,38.8589,-96.1092
Eudora,38.9433,-95.0986
Eureka,37.8239,-96.2892
Fall River,37.6078,-96.028
Fort Scott,37.8398,-94.7083
Frankfort,39.7056,-96.417
Garden City,37.9717,-100.873
Gardner,38.8108,-94.9272
Garnett,38.2806,-95.2419
Glasco,39.3567,-97.8411
Goddard,37.6597,-97.5753
Goff,39.6639,-95.9322
Goodland,39.3508,-101.71
Grainfield,39.1136,-100.465
Great Bend,38.3645,-98.7648
Greensburg,37.6028,-99.2926
Grenola,37.3486,-96.4506
Gypsum,38.7056,-97.4281
Haddam,39.8569,-97.3017
Haven,37.8989,-97.7828
Hays,38.8792,-99.3268
Haysville,37.5645,-97.3523
Hepler,37.6612,-94.9683
Herington,38.6711,-96.9425
Herndon,39.9097,-100.785
Hiawatha,39.8525,-95.5358
Highland,39.8597,-95.2697
Hill City,39.3647,-99.8421
Hillsboro,38.352,-97.2045
Holton,39.4653,-95.7364
Horton,39.6606,-95.5264
Howard,37.4703,-96.2636
Hoxie,39.3575,-100.442
Hoyt,39.2478,-95.7064
Hugoton,37.1753,-101.35
Hunter,39.2342,-98.3973
Hutchinson,38.0608,-97.9298
Independence,37.2242,-95.7083
Iola,37.9245,-95.4
Isabel,37.4667,-98.5504
Jetmore,38.0845,-99.8935
Johnson,37.5706,-101.751
Junction City,39.0286,-96.8314
Kanorado,39.3331,-102.038
Kansas City,39.1142,-94.6275
Kensington,39.767,-99.0318
Kingman,37.6458,-98.1137
Kinsley,37.9231,-99.4098
Kiowa,37.0173,-98.4854
La Crosse,38.5314,-99.3087
Lakin,37.9406,-101.255
Lansing,39.2486,-94.9002
Larned,38.1806,-99.0987
Lawrence,38.9717,-95.2353
