<SIZE>166
<LANG>EN
<STATE>Kentucky,KY
Adairville,36.6675,-86.8519
Albany,36.6909,-85.1347
Alexandria,38.9595,-84.388
Ashland,38.4784,-82.6379
Augusta,38.7717,-84.0058
Barbourville,36.8665,-83.8888
Bardstown,37.8092,-85.4669
Bardwell,36.8706,-89.0098
Beattyville,37.5718,-83.7069
Bellevue,39.1064,-84.4788
Benton,36.8573,-88.3503
Berea,37.5687,-84.2963
Blaine,38.0276,-82.8432
Bowling Green,36.9903,-86.4436
Brandenburg,37.999,-86.1694
Brownsville,37.1925,-86.2678
Buckhorn,37.3487,-83.4763
Buechel,38.1951,-85.6519
Burkesville,36.7903,-85.3705
Burlington,39.0276,-84.7241
Cadiz,36.8651,-87.8353
Campbellsville,37.3434,-85.3419
Campton,37.7343,-83.5474
Carlisle,38.312,-84.0274
Carrollton,38.6809,-85.1794
Carrsville,37.3976,-88.3748
Central City,37.2939,-87.1233
Clinton,36.6673,-88.9934
Cold Spring,39.0217,-84.4399
Columbia,37.1028,-85.3064
Corbin,36.9487,-84.0969
Covington,39.0837,-84.5086
Crofton,37.0478,-87.485
Cumberland,36.9781,-82.9885
Cynthiana,38.3904,-84.2941
Danville,37.6456,-84.7722
Dayton,39.1128,-84.4727
Douglass Hills,38.2379,-85.5527
Edgewood,39.0187,-84.5819
Edmonton,36.9801,-85.6122
Elizabethtown,37.694,-85.8591
Elkhorn City,37.304,-82.351
Elkton,36.81,-87.1542
Elsmere,39.0126,-84.6047
Erlanger,39.0167,-84.6008
Eubank,37.2784,-84.6586
Fairdale,38.1051,-85.7589
Falmouth,38.6767,-84.3302
Fern Creek,38.1598,-85.5877
Flatwoods,38.5226,-82.7171
Flemingsburg,38.4223,-83.7338
Florence,38.999,-84.6266
Fort Mitchell,39.0595,-84.5474
Fort Thomas,39.0751,-84.4472
Fort Wright,39.0517,-84.5341
Fountain Run,36.7153,-85.9658
Frankfort,38.2009,-84.8733
Franklin,36.7223,-86.5772
Frenchburg,37.9509,-83.6257
Fulton,36.5042,-88.8742
Georgetown,38.2098,-84.5588
Glasgow,36.9959,-85.9119
Grayson,38.3326,-82.9485
Hardinsburg,37.7801,-86.4605
Harlan,36.8431,-83.3218
Harrodsburg,37.7623,-84.8433
Hazard,37.2495,-83.1932
Henderson,37.8362,-87.59
Hickman,36.5712,-89.1862
Highland Heights,39.0331,-84.4519
Highview,38.1428,-85.6241
Hillview,38.0698,-85.6855
Hindman,37.3359,-82.9804
Hopkinsville,36.8656,-87.4886
Horse Cave,37.1795,-85.9069
Independence,38.9431,-84.5441
Inez,37.8665,-82.5388
Jackson,37.5531,-83.3835
Jamestown,36.9848,-85.063
Jeffersontown,38.1942,-85.5644
Jenkins,37.1734,-82.631
Kuttawa,37.0589,-88.1325
La Center,37.0767,-88.9737
La Grange,38.4076,-85.3788
LaFayette,36.6812,-87.6203
Lakeview Heights,38.1515,-83.5044
Lawrenceburg,38.0373,-84.8966
Lebanon,37.5698,-85.2527
Leitchfield,37.4801,-86.2939
Lewisport,37.937,-86.9022
Lexington,37.9887,-84.4777
Lexington-Fayette,38.0498,-84.4585
Liberty,37.3184,-84.9394
Livermore,37.4931,-87.1319
London,37.129,-84.0833
Louisa,38.1143,-82.6032
Louisville,38.2542,-85.7594
Lyndon,38.2567,-85.6016
Madisonville,37.3281,-87.4989
Manchester,37.1537,-83.7619
Marion,37.3328,-88.0811
Martin,37.5729,-82.7527
Mayfield,36.7417,-88.6367
Maysville,38.6412,-83.7444
McKee,37.4304,-83.998
Middlesboro,36.6084,-83.7166
Middletown,38.2453,-85.5388
Monticello,37.9923,-84.5502
Morehead,37.2712,-87.1764
Morganfield,37.6834,-87.9167
Mount Olivet,38.5315,-84.0369
Mount Sterling,38.0565,-83.9433
Mount Vernon,37.3529,-84.3405
Mount Washington,38.0501,-85.5458
Murray,36.6103,-88.3148
Newburg,38.1601,-85.6597
Newport,39.0914,-84.4958
Nicholasville,37.8806,-84.573
Oak Grove,37.3442,-86.7547
Oakbrook,38.9998,-84.6852
Okolona,38.1412,-85.6877
Olive Hill,38.3001,-83.1741
Owensboro,37.7742,-87.1133
Owenton,38.5365,-84.8419
