<SIZE>177
<LANG>EN
<STATE>Louisiana,LA
Abbeville,29.9746,-92.1343
Alexandria,31.3113,-92.4451
Amite,30.7266,-90.509
Arabi,29.9544,-90.0053
Arcadia,32.549,-92.9202
Avondale,29.913,-90.2037
Baker,30.5882,-91.1682
Bastrop,32.7562,-91.8724
Baton Rouge,30.4507,-91.1545
Bayou Cane,29.6241,-90.7512
Belle Chasse,29.8549,-89.9906
Bernice,32.8221,-92.6579
Bogalusa,30.791,-89.8487
Bonita,32.9193,-91.6771
Bossier City,32.516,-93.7321
Breaux Bridge,30.2735,-91.8993
Bridge City,29.9333,-90.1701
Broussard,30.1471,-91.9612
Brownfields,30.5466,-91.1207
Bunkie,30.9532,-92.1826
Cameron,29.7977,-93.3252
Carencro,30.3171,-92.049
Chalmette,29.9427,-89.9634
Chatham,32.3063,-92.4504
Chauvin,29.4386,-90.5954
Claiborne,32.516,-92.1918
Clayton,31.7227,-91.5432
Colfax,31.5191,-92.7068
Cotton Valley,32.8193,-93.4177
Coushatta,32.0149,-93.3421
Covington,30.4755,-90.1009
Crowley,30.2141,-92.3746
Cut Off,29.5427,-90.3381
DeQuincy,30.4505,-93.4332
DeRidder,30.8463,-93.2891
Delta,32.3257,-90.927
Denham Springs,30.4869,-90.9562
Destrehan,29.943,-90.3517
Deville,31.3574,-92.1654
Donaldsonville,30.101,-90.9929
Eden Isle,30.2285,-89.7987
Estelle,29.8458,-90.1067
Eunice,30.4944,-92.4176
Farmerville,32.7735,-92.4057
Franklin,29.796,-91.5015
Franklinton,30.8471,-90.1531
Galliano,29.4422,-90.2992
Gardere,30.3457,-91.1401
Georgetown,31.761,-92.3846
Goldonna,32.0168,-92.9093
Gonzales,30.2385,-90.9201
Grand Isle,29.2366,-89.9873
Gray,29.6977,-90.7865
Grayson,32.0499,-92.1093
Greenwood,32.4429,-93.973
Gretna,29.9146,-90.054
Gueydan,30.026,-92.5085
Hackberry,29.996,-93.3421
Hammond,30.5044,-90.4612
Harahan,29.9405,-90.2031
Harvey,29.9035,-90.0773
Haynesville,32.9621,-93.1402
Homer,32.7918,-93.0557
Hornbeck,31.3257,-93.3985
Houma,29.5958,-90.7195
Inniswold,30.4049,-91.0834
Jackson,30.8374,-91.2176
Jeanerette,29.911,-91.6634
Jefferson,29.966,-90.1531
Jena,31.6832,-92.1337
Jennings,30.2224,-92.6571
Jonesboro,32.2413,-92.716
Jonesville,31.6266,-91.8182
Junction City,33.0138,-92.7252
Kaplan,29.998,-92.2849
Kenner,29.9941,-90.2417
Kentwood,30.9382,-90.509
Kinder,30.4855,-92.8507
Lacombe,30.3135,-89.9431
Lafayette,30.2241,-92.0198
Lake Charles,30.2266,-93.2174
Lake Providence,32.8043,-91.1701
Laplace,30.0666,-90.4801
Larose,29.5724,-90.3818
Lecompte,31.0946,-92.4004
Leesville,31.1435,-93.261
Livingston,30.5021,-90.7479
Logansport,31.9754,-93.998
Lucky,32.2552,-92.9968
Luling,29.9321,-90.3665
Mandeville,30.3582,-90.0656
Mansfield,32.0377,-93.7002
Many,31.5688,-93.4841
Maringouin,30.4913,-91.5196
Marion,32.9015,-92.2421
Marksville,31.128,-92.0662
Marrero,29.8994,-90.1003
Melville,30.693,-91.744
Meraux,29.933,-89.9498
Merrydale,30.5013,-91.1084
Merryville,30.7544,-93.5405
Metairie,29.9841,-90.1529
Metairie Terrace,29.9785,-90.164
Minden,32.6154,-93.2868
Monroe,32.5093,-92.1193
Montgomery,31.6674,-92.8907
Monticello,32.5965,-91.394
Mooringsport,32.6876,-93.961
Morgan City,29.6994,-91.2068
Moss Bluff,30.3027,-93.1907
Natchitoches,31.7607,-93.0863
New Iberia,30.0035,-91.8187
New Orleans,29.9546,-90.0751
New Roads,30.7016,-91.4362
Newellton,32.0727,-91.2409
Noble,31.6896,-93.6841
Oak Grove,32.861,-91.3885
Oak Hills Place,30.3599,-91.0876
Oakdale,30.8055,-92.6215
Old Jefferson,30.3827,-91.017
Olla,31.9029,-92.2432
Opelousas,30.5335,-92.0815
Patterson,29.6933,-91.302
Pierre Part,29.9652,-91.2032
Pineville,31.3224,-92.4343
Plain Dealing,32.9051,-93.6968
Plaquemine,30.2891,-91.2343
Pleasant Hill,31.8199,-93.5143
Pollock,31.5257,-92.4071
Ponchatoula,30.4388,-90.4415
Port Allen,30.4521,-91.2101
Port Sulphur,29.4805,-89.694
Prien,30.1819,-93.2738
Raceland,29.7274,-90.599
Rayne,30.2349,-92.2685
Rayville,32.4774,-91.7548
Red Chute,32.556,-93.6132
Reserve,30.0538,-90.5518
Ringgold,32.3285,-93.2799
River Ridge,29.9602,-90.2156
Robeline,31.6904,-93.3046
Ruston,32.5232,-92.6379
Saint Gabriel,30.2577,-91.0993
Saint Martinville,30.1252,-91.8335
Saint Rose,29.9469,-90.3231
Schriever,29.7422,-90.8104
Scott,30.2358,-92.0946
Shenandoah,30.4013,-91.0009
Shreveport,32.5252,-93.7502
Sikes,32.081,-92.4868
Simmesport,30.9835,-91.8001
Simpson,31.2457,-93.0154
Slidell,30.2752,-89.7812
Springhill,33.006,-93.4668
Sterlington,32.6962,-92.086
Stonewall,32.2818,-93.8241
Sulphur,30.2366,-93.3774
Tallulah,32.4085,-91.1868
Terrytown,29.9102,-90.0326
Thibodaux,29.7958,-90.8229
Timberlane,29.8774,-90.032
Turkey Creek,30.8771,-92.4132
Vidalia,31.5654,-91.4259
Village Saint George,30.3621,-91.0673
Ville Platte,30.688,-92.2715
Vinton,30.1908,-93.5813
Violet,29.8958,-89.8978
Vivian,32.8715,-93.9874
Waggaman,29.9185,-90.2109
West Monroe,32.5185,-92.1476
Westwego,29.906,-90.1423
Winnfield,31.9254,-92.6396
Winnsboro,32.1632,-91.7207
Wisner,31.981,-91.6557
Woodmere,29.858,-90.0804
Youngsville,30.0996,-91.9901
Zachary,30.6485,-91.1565
