<SIZE>243
<LANG>EN
<STATE>Massachusetts,MA
Abington,42.1048,-70.9453
Acton,42.4851,-71.4328
Acushnet,41.6807,-70.9078
Adams,42.6242,-73.1176
Agawam,42.0695,-72.6148
Amesbury,42.8584,-70.9301
Amherst Center,42.3754,-72.5193
Andover,42.6584,-71.137
Arlington,42.4154,-71.1564
Ashburnham,42.6362,-71.9079
Ashland,42.2612,-71.4634
Athol,42.5959,-72.2268
Attleboro,41.9445,-71.2856
Auburn,42.1945,-71.8356
Barnstable,41.7001,-70.2995
Bedford,42.4907,-71.2762
Belchertown,42.277,-72.4009
Bellingham,42.0868,-71.4745
Belmont,42.3959,-71.1787
Berkley,41.8459,-71.0828
Beverly,42.5584,-70.8801
Beverly Cove,42.5534,-70.8537
Billerica,42.5584,-71.2689
Blackstone,42.0179,-71.5412
Bliss Corner,41.6118,-70.9384
Boston,42.3584,-71.0598
Bourne,41.7412,-70.5989
Braintree,42.2223,-70.9995
Brewster,41.7601,-70.0828
Bridgewater,41.9904,-70.975
Brockton,42.0834,-71.0184
Brookline,42.3318,-71.1212
Burlington,42.5048,-71.1956
Cambridge,42.3751,-71.1056
Canton,42.1584,-71.1448
Carver,41.8834,-70.7625
Centerville,41.6487,-70.3481
Charlemont,42.6279,-72.8698
Charlton,42.1357,-71.9701
Chelmsford,42.5998,-71.3673
Chelsea,42.3918,-71.0328
Chicopee,42.1487,-72.6079
Chilmark,41.3432,-70.7448
Clinton,42.4168,-71.6828
Cochituate,42.3209,-71.3642
Cohasset,42.2418,-70.8037
Concord,42.4604,-71.3489
Dalton,42.4737,-73.1662
Danvers,42.5751,-70.9301
Dedham,42.2418,-71.1662
Dennis,41.7354,-70.1939
Dighton,41.814,-71.1203
Douglas,42.0543,-71.7395
Dracut,42.6704,-71.302
Dudley,42.0451,-71.9301
Duxbury,42.0418,-70.6723
East Bridgewater,42.0334,-70.9592
East Falmouth,41.5784,-70.5586
East Harwich,41.7001,-70.0272
East Longmeadow,42.0645,-72.5126
Eastham,41.8301,-69.9739
Easthampton,42.2668,-72.669
Easton,42.0245,-71.1287
Everett,42.4084,-71.0537
Fairhaven,41.6376,-70.9036
Fall River,41.7015,-71.155
Falmouth,41.5515,-70.6148
