<SIZE>177
<LANG>EN
<STATE>Maryland,MD
Aberdeen,39.5096,-76.1641
Accokeek,38.6676,-77.0283
Adelphi,39.0032,-76.9719
Annapolis,38.9784,-76.4922
Arbutus,39.2546,-76.7
Arnold,39.0321,-76.5027
Aspen Hill,39.0796,-77.073
Ballenger Creek,39.3726,-77.4353
Baltimore,39.2904,-76.6122
Bel Air,39.5359,-76.3483
Beltsville,39.0348,-76.9075
Bennsville,38.6093,-77.0122
Bethesda,38.9807,-77.1003
Bladensburg,38.9393,-76.9339
Bowie,39.0068,-76.7791
Bowleys Quarters,39.3354,-76.3902
Brooklyn Park,39.2284,-76.6164
Brunswick,39.3143,-77.6278
Bryans Road,38.6271,-77.073
Burtonsville,39.1112,-76.9325
California,38.3004,-76.5075
Calverton,39.0576,-76.9358
Cambridge,38.5632,-76.0788
Camp Springs,38.804,-76.9066
Cape Saint Claire,39.0432,-76.445
Carney,39.3943,-76.5236
Catonsville,39.2721,-76.7319
Cecilton,39.404,-75.8674
Chestertown,39.209,-76.0666
Cheverly,38.9282,-76.9158
Chillum,38.9637,-76.9908
Clinton,38.7651,-76.8983
Cloverly,39.1082,-76.9978
Cockeysville,39.4812,-76.6439
Colesville,39.0757,-77.0019
College Park,38.9807,-76.9369
Columbia,39.2404,-76.8394
Coral Hills,38.8704,-76.9211
Crisfield,37.9835,-75.8538
Crofton,39.0018,-76.6875
Cumberland,39.6529,-78.7625
Damascus,39.2884,-77.2039
Darnestown,39.1034,-77.2908
Deale,38.7765,-76.5552
Denton,38.8846,-75.8272
District Heights,38.8576,-76.8894
Dundalk,39.2507,-76.5205
East Riverdale,38.9621,-76.9219
Easton,38.7743,-76.0763
Edgemere,39.2421,-76.448
Edgewood,39.4187,-76.2944
Eldersburg,39.4037,-76.9503
Elkridge,39.2126,-76.7136
Elkton,39.6068,-75.8333
Ellicott City,39.2673,-76.7983
Essex,39.3093,-76.475
Fairland,39.0762,-76.9578
Fallston,39.5146,-76.4111
Federalsburg,38.6943,-75.7722
Ferndale,39.1832,-76.6402
Forest Glen,39.0146,-77.0547
Forestville,38.8451,-76.875
Fort George G Mead Junction,39.1259,-76.7891
Fort Washington,38.7073,-77.023
Frederick,39.4143,-77.4105
Friendly,38.7518,-76.9786
Friendsville,39.6637,-79.4053
Frostburg,39.6581,-78.9284
Gaithersburg,39.1434,-77.2014
Garrison,39.4059,-76.7605
Germantown,39.1732,-77.2717
Glen Burnie,39.1626,-76.6247
Glenarden,38.9293,-76.8616
Glenn Dale,38.9876,-76.8205
Goddard,38.9896,-76.8533
Golden Beach,38.4898,-76.6822
Green Haven,39.1396,-76.5477
Green Valley,39.3093,-77.2972
Greenbelt,39.0046,-76.8755
Hagerstown,39.6418,-77.72
Halfway,39.6207,-77.7589
Hampstead,39.6048,-76.85
Hampton,39.4229,-76.5847
Hancock,39.699,-78.1797
Havre de Grace,39.5493,-76.0916
Hillcrest Heights,38.8329,-76.9594
Hyattsville,38.9559,-76.9455
Jessup,39.1493,-76.7752
Joppatowne,39.4579,-76.3552
Kemp Mill,39.039,-77.0191
Kettering,38.8846,-76.8147
La Plata,38.5293,-76.9753
Lake Arbor,38.9079,-76.8297
Lake Shore,39.1071,-76.485
Langley Park,38.9887,-76.9814
Largo,38.8976,-76.8302
Laurel,39.0993,-76.8483
Leonardtown,38.3,-76.6
Lexington Park,38.2668,-76.4538
Linthicum,39.2051,-76.6527
Loch Lynn Heights,39.3932,-79.3731
Lochearn,39.3407,-76.7222
Londontowne,38.9334,-76.5494
Marlow Heights,38.8334,-76.9516
Marlton,38.7737,-76.79
Marydel,39.1129,-75.7458
Maryland City,39.0921,-76.8177
Mays Chapel,39.4332,-76.6494
Middle River,39.3343,-76.4394
Milford Mill,39.3479,-76.77
Mitchellville,38.9251,-76.7427
Montgomery Village,39.1768,-77.1953
Mount Airy,39.3762,-77.1547
Mount Rainier,38.9415,-76.965
Mount Vernon,38.2454,-75.8216
Mountain Lake Park,39.3984,-79.3817
New Carrollton,38.9698,-76.88
North Bethesda,39.0446,-77.1189
North Kensington,39.0304,-77.0725
North Laurel,39.139,-76.8705
North Potomac,39.0829,-77.265
Ocean City,38.3365,-75.0849
Ocean Pines,38.3954,-75.1557
Odenton,39.084,-76.7002
Olney,39.1532,-77.0669
Overlea,39.3634,-76.5205
Owings Mills,39.4195,-76.7803
Parkville,39.3773,-76.5397
Parole,38.9796,-76.5305
Pasadena,39.1073,-76.5711
Perry Hall,39.4126,-76.4636
Pikesville,39.3743,-76.7225
Pocomoke City,38.0757,-75.568
Poolesville,39.1459,-77.4169
Potomac,39.0182,-77.2086
Pumphrey,39.2173,-76.6372
Randallstown,39.3673,-76.7952
Redland,39.1454,-77.1441
Reisterstown,39.4695,-76.8294
Riverdale Park,38.9634,-76.9316
Riverside,39.1734,-76.8853
Riviera Beach,39.1668,-76.508
Robinwood,38.9543,-76.5147
Rockville,39.084,-77.1528
Rosaryville,38.7568,-76.8097
Rosedale,39.3201,-76.5155
Rossmoor,39.1037,-77.0711
Rossville,39.3384,-76.4797
Saint Charles,38.6032,-76.9386
Salisbury,38.3607,-75.5994
Seat Pleasant,38.8962,-76.9066
Severn,39.1371,-76.6983
Severna Park,39.0704,-76.5452
Shady Side,38.8418,-76.5122
Silver Spring,38.9907,-77.0261
South Gate,39.129,-76.6258
South Kensington,39.019,-77.08
South Laurel,39.0698,-76.8503
Stevensville,38.9807,-76.3144
Takoma Park,38.9779,-77.0075
Taneytown,39.6579,-77.1744
Temple Hills,38.814,-76.9455
Thurmont,39.6237,-77.4108
Tilghman Island,38.7037,-76.3386
Towson,39.4015,-76.6019
Travilah,39.069,-77.263
Vienna,38.4848,-75.8247
Waldorf,38.6246,-76.9391
Walker Mill,38.8754,-76.8883
Walkersville,39.4862,-77.3519
West Elkridge,39.2071,-76.7269
Westernport,39.4854,-79.0448
Westminster,39.5754,-76.9958
White Marsh,39.3837,-76.4322
White Oak,39.0398,-76.993
Woodlawn,38.9496,-76.8914
Woodmore,38.9212,-76.803
