<SIZE>127
<LANG>EN
<STATE>Maine,ME
Amherst,44.8334,-68.3642
Ashland,46.6312,-68.4062
Auburn,44.0979,-70.2312
Augusta,44.3106,-69.7795
Bangor,44.8012,-68.7778
Bangor Dow AFB,44.8,-68.8
Bar Harbor,44.3876,-68.2039
Bath,43.9106,-69.8206
Belfast,44.4259,-69.0064
Berwick,43.2659,-70.8645
Bethel,44.4042,-70.7906
Biddeford,43.4926,-70.4534
Bingham,45.0587,-69.8823
Bradford,45.0667,-68.9378
Brewer,44.7967,-68.7614
Bridgton,44.0548,-70.7128
Brunswick,43.9145,-69.9653
Bucksport,44.5737,-68.7956
Buxton,43.6379,-70.5189
Calais,45.189,-67.2786
Camden,44.2098,-69.0648
Canton,44.4406,-70.3153
Caratunk,45.2339,-69.9901
Caribou,46.8606,-68.012
Centerville,44.7056,-67.6789
Cooper,44.9595,-67.4397
Dallas,44.997,-70.5559
Danforth,45.6603,-67.8683
Deblois,44.7415,-68.0147
Deer Isle,44.224,-68.6775
Dixmont,44.6803,-69.1628
Dover-Foxcroft,45.1834,-69.227
Eagle Lake,47.04,-68.5895
East Machias,44.7392,-67.39
Eastport,44.9,-67
Eliot,43.1531,-70.8001
Ellsworth,44.5434,-68.4195
Eustis,45.2173,-70.4784
Fairfield,44.5884,-69.5987
Falmouth,43.7295,-70.242
Farmington,44.6706,-70.1512
Fort Kent,47.2587,-68.5895
Freeport,43.857,-70.1031
Frenchboro,44.1181,-68.3625
Fryeburg,44.0165,-70.9806
Gardiner,44.2301,-69.7753
Gorham,43.6795,-70.4442
Gray,43.8856,-70.3317
Greenville,45.4595,-69.5906
Hampden,44.7445,-68.837
Harmony,44.9739,-69.5462
Harpswell Center,43.8018,-69.9842
Houlton,46.1262,-67.8403
Jackman,45.6239,-70.2545
Jonesport,44.5329,-67.5983
Kennebunk,43.384,-70.5448
Kingfield,44.9592,-70.154
Kittery,43.0881,-70.7362
Lebanon,43.3945,-70.8509
Lewiston,44.1003,-70.2148
Liberty,44.3892,-69.3028
Lincoln,45.3623,-68.505
Lisbon,44.0315,-70.1045
Lubec,44.8606,-66.9841
Madawaska,47.3561,-68.3288
Madison,44.7976,-69.8798
Mars Hill,46.5159,-67.8664
Mattawamkeag,45.5137,-68.3545
Milbridge,44.5354,-67.8808
Millinocket,45.6573,-68.7098
Milo,45.2537,-68.9859
Monhegan,43.7623,-69.3203
Monson,45.287,-69.5012
Monticello,46.3084,-67.8425
Mount Vernon,44.5012,-69.9876
New Gloucester,43.9629,-70.2826
North Bath,43.9348,-69.8159
North Berwick,43.3037,-70.7334
North Windham,43.8342,-70.4384
Norway,44.214,-70.5448
Oakfield,46.0989,-68.15
Oakland,44.5403,-69.722
Old Orchard Beach,43.5173,-70.3775
Old Town,44.9342,-68.6453
Orono,44.8831,-68.672
Oxbow,46.4187,-68.49
Paris,44.2598,-70.5006
Parsonsfield,43.727,-70.9287
Passadumkeag,45.1853,-68.6167
Patten,45.9964,-68.4461
Phillips,44.8231,-70.3395
Pittsfield,44.7826,-69.3834
Poland,44.0606,-70.3937
Portland,43.6615,-70.2553
Presque Isle,46.6812,-68.0159
Princeton,45.2234,-67.5722
Reed,45.7237,-68.1422
Rockland,44.1037,-69.1089
Rumford,44.5537,-70.5509
Saco,43.5009,-70.4428
Saint Francis,47.1711,-68.8898
Sanford,43.4392,-70.7742
Skowhegan,44.7651,-69.7192
South Berwick,43.2345,-70.8095
South Bristol,43.864,-69.5612
South Portland,43.6415,-70.2409
South Portland Gardens,43.639,-70.3153
Springfield,45.3962,-68.1356
Standish,43.7359,-70.552
Stetson,44.8917,-69.1428
Stockholm,47.0423,-68.1395
Topsfield,45.419,-67.7356
Topsham,43.9276,-69.9759
Turner,44.2565,-70.2562
Upton,44.6942,-71.0106
Van Buren,47.1573,-67.9353
Vanceboro,45.5634,-67.4297
Vinalhaven,44.0481,-68.8317
Waldoboro,44.0954,-69.3756
Waterboro,43.5356,-70.7151
Waterville,44.552,-69.6317
Wells Beach Station,43.324,-70.5914
West Scarborough,43.5704,-70.3878
Westbrook,43.677,-70.3712
Winslow,44.547,-69.6212
Winthrop,44.3051,-69.977
Yarmouth,43.8006,-70.1867
