<SIZE>282
<LANG>EN
<STATE>Michigan,MI
Adrian,41.8975,-84.0372
Albion,42.2431,-84.753
Allegan,42.5292,-85.8553
Allen Park,42.2575,-83.211
Allendale,42.9722,-85.9537
Alma,43.3789,-84.6597
Almont,42.9206,-83.0449
Alpena,45.0617,-83.4328
Ann Arbor,42.2776,-83.7409
Ashley,43.1867,-84.4744
Athens,42.0887,-85.2347
Au Gres,44.0486,-83.6958
Auburn Hills,42.6875,-83.2341
Bad Axe,43.802,-83.0008
Baldwin,43.9011,-85.8517
Battle Creek,42.3212,-85.1797
Bay City,43.5945,-83.8889
Beecher,43.09,-83.6944
Belding,43.0978,-85.2289
Benton Harbor,42.1167,-86.4542
Benton Heights,42.1311,-86.4072
Berkley,42.5031,-83.1835
Beverly Hills,42.5239,-83.2233
Big Bay,46.8158,-87.7285
Big Rapids,43.6981,-85.4837
Birmingham,42.5467,-83.2113
Bridgeport,43.3595,-83.8816
Brighton,42.5295,-83.7802
Brooklyn,42.1059,-84.2483
Buena Vista,43.4203,-83.8986
Burton,42.9995,-83.6163
Cadillac,44.252,-85.4012
Camden,41.7523,-84.7577
Canada Creek Ranch,45.172,-84.2081
Canton,42.3086,-83.4822
Caro,43.4911,-83.3969
Carrollton,43.4586,-83.9303
Carson City,43.177,-84.8464
Caseville,43.9411,-83.2713
Cass City,43.6009,-83.1747
Cedar Springs,43.2234,-85.5514
Center Line,42.485,-83.0277
Charlevoix,45.3181,-85.2584
Charlotte,42.5636,-84.8358
Chatham,46.3477,-86.929
Cheboygan,45.647,-84.4745
Chelsea,42.3181,-84.0205
Clare,43.8195,-84.7686
Clarksville,42.8423,-85.2425
Clawson,42.5334,-83.1463
Clinton,42.587,-82.9199
Coldwater,41.9403,-85.0005
Comstock Park,43.0386,-85.67
Copper City,47.2835,-88.3871
Croswell,43.2756,-82.621
Crystal Falls,46.098,-88.334
Cutlerville,42.8409,-85.6636
Davison,43.0347,-83.518
De Tour Village,45.9945,-83.9028
Dearborn,42.3223,-83.1763
Dearborn Heights,42.337,-83.2733
Detroit,42.3314,-83.0458
Dowagiac,41.9842,-86.1086
East Grand Rapids,42.9411,-85.61
East Jordan,45.1581,-85.1242
East Lansing,42.737,-84.4839
East Tawas,44.2795,-83.4902
Eastpointe,42.4684,-82.9555
Eastwood,42.3031,-85.5503
Eaton Rapids,42.5092,-84.6558
Ecorse,42.2445,-83.1458
Edmore,43.4081,-85.0386
Elk Rapids,44.8956,-85.4165
Empire,44.8111,-86.0601
Escanaba,45.7452,-87.0646
Evart,43.9006,-85.2581
Fair Plain,42.087,-86.4559
Farmington,42.4645,-83.3763
Farmington Hills,42.4853,-83.3772
Fennville,42.5939,-86.1017
Fenton,42.7978,-83.7049
Ferndale,42.4606,-83.1347
Flat Rock,42.0964,-83.2919
Flint,43.0125,-83.6875
Flushing,43.0631,-83.8511
Forest Hills,42.9595,-85.4897
Fountain,44.0467,-86.1787
Frankfort,44.6336,-86.2345
Fraser,42.5392,-82.9494
Freeland,43.525,-84.1228
Fremont,43.4675,-85.942
Galien,41.7981,-86.4992
Garden,45.7747,-86.5507
Garden City,42.3256,-83.331
Gaylord,45.0275,-84.6748
Gladstone,45.8527,-87.0218
Gladwin,43.9809,-84.4864
Grand Blanc,42.9275,-83.63
Grand Haven,43.0631,-86.2284
Grand Ledge,42.7534,-84.7464
Grand Rapids,42.9634,-85.6681
Grandville,42.9097,-85.7631
Grayling,44.6614,-84.7148
Greenville,43.1775,-85.2528
Grosse Ile,42.1292,-83.1444
Grosse Pointe,42.3862,-82.9119
Grosse Pointe Farms,42.4092,-82.8919
Grosse Pointe Park,42.3759,-82.9374
Grosse Pointe Woods,42.4436,-82.9069
Gwinn,46.2811,-87.441
Hamtramck,42.3928,-83.0496
Hanover,42.1012,-84.5519
Harbor Beach,43.8447,-82.6513
Harper Woods,42.4331,-82.9241
Harrison,44.0192,-84.7995
Harrisville,44.6564,-83.2947
Hart,43.6983,-86.364
Hartford,42.2067,-86.1667
Haslett,42.747,-84.4011
Hastings,42.6459,-85.2908
Hazel Park,42.4625,-83.1041
Highland Park,42.4056,-83.0969
Hillman,45.0592,-83.9011
Hillsdale,41.92,-84.6305
Holland,42.7875,-86.1089
Holly,42.792,-83.6277
Holt,42.6406,-84.5153
Houghton,47.1219,-88.569
Houghton Lake,44.3147,-84.7647
Howard City,43.3956,-85.4678
Howell,42.6073,-83.9294
Hubbard Lake,44.7597,-83.5444
Hudson,41.855,-84.3538
Hudsonville,42.8709,-85.865
Huntington Woods,42.4806,-83.1669
Indian River,45.4125,-84.6125
Inkster,42.2942,-83.3099
Ionia,42.9873,-85.0711
Iron Mountain,45.8202,-88.066
Iron River,46.0927,-88.6424
Ironwood,46.4547,-90.171
Ishpeming,46.4885,-87.6676
Jackson,42.2459,-84.4013
Jenison,42.9072,-85.792
Kalamazoo,42.2917,-85.5872
Kaleva,44.3733,-86.0104
Kalkaska,44.7342,-85.1759
Kentwood,42.8695,-85.6448
Kingsford,45.795,-88.0721
Kingsley,44.5847,-85.5359
L'Anse,46.7566,-88.4529
Lake Fenton,42.8461,-83.7077
Lambertville,41.7659,-83.628
Lansing,42.7325,-84.5555
Lapeer,43.0514,-83.3188
Lewiston,44.8839,-84.3056
Lincoln Park,42.2506,-83.1785
Livonia,42.3684,-83.3527
Ludington,43.9553,-86.4526
Luther,44.0403,-85.6826
Madison Heights,42.4859,-83.1052
Mancelona,44.9022,-85.0609
Manistee,44.2444,-86.3242
Manistique,45.9578,-86.2463
Marion,44.1025,-85.147
Marlette,43.327,-83.0802
Marquette,46.5435,-87.3954
Marshall,42.2723,-84.9633
Marysville,42.9125,-82.4869
Mason,42.5792,-84.4436
Mecosta,43.6203,-85.2264
Melvindale,42.2825,-83.1752
Menominee,45.1078,-87.6143
Merrill,43.4097,-84.3289
Mesick,44.4053,-85.7134
Midland,43.6156,-84.2472
Milan,42.0853,-83.6824
Milford,42.5936,-83.5994
Minden City,43.6714,-82.7783
Mio,44.6522,-84.1297
Monroe,41.9164,-83.3977
Mount Clemens,42.5973,-82.878
Mount Pleasant,43.5978,-84.7675
Munising,46.4111,-86.6479
Muskegon,43.2342,-86.2484
Muskegon Heights,43.2011,-86.2389
New Baltimore,42.6811,-82.7369
New Buffalo,41.7939,-86.7439
New Haven,43.0936,-84.1533
Newberry,46.355,-85.5096
Niles,41.8298,-86.2542
Northport,45.1314,-85.6168
Northview,43.0456,-85.6006
Northville,42.4311,-83.4833
Norton Shores,43.1689,-86.2639
Novi,42.4806,-83.4755
Oak Park,42.4595,-83.1827
Okemos,42.7223,-84.4275
Onaway,45.3575,-84.2239
Ontonagon,46.8711,-89.314
Oscoda,44.4203,-83.3308
Otter Lake,43.2134,-83.4544
Owosso,42.9978,-84.1766
Paw Paw,42.2178,-85.8911
Pellston,45.5528,-84.7839
Petoskey,45.3733,-84.9553
Plymouth,42.3714,-83.4702
Pontiac,42.6389,-83.291
Port Austin,44.0461,-82.9941
Port Huron,42.9709,-82.4249
Portage,42.2012,-85.58
Posen,45.262,-83.6989
Powers,45.69,-87.526
Ravenna,43.1895,-85.937
Redford,42.3834,-83.2966
Republic,46.4066,-87.9757
Richmond,42.8092,-82.7558
River Rouge,42.2734,-83.1344
Riverview,42.1742,-83.1794
Rochester,42.6806,-83.1338
Rochester Hills,42.6584,-83.1499
Rogers City,45.4214,-83.8183
Romulus,42.2223,-83.3966
Roscommon,44.4984,-84.592
Rose City,44.4214,-84.1167
Roseville,42.4973,-82.9371
Royal Oak,42.4895,-83.1446
Saginaw,43.4195,-83.9508
Saint Clair,42.8209,-82.486
Saint Clair Shores,42.497,-82.8888
Saint Helen,44.3636,-84.4103
Saint Ignace,45.8686,-84.7278
Saint Johns,43.0011,-84.5592
Saint Joseph,42.1098,-86.48
Saint Louis,43.4084,-84.6067
Saline,42.1667,-83.7816
Sandusky,43.4203,-82.8297
Sault Ste. Marie,46.4953,-84.3453
Sebewaing,43.7322,-83.4511
Shelby,42.6709,-83.033
Shields,43.4153,-84.0564
