<SIZE>312
<LANG>EN
<STATE>Minnesota,MN
Ada,47.2997,-96.5153
Adrian,43.635,-95.9328
Albany,45.63,-94.57
Albert Lea,43.648,-93.3683
Albertville,45.2377,-93.6544
Alexandria,45.8852,-95.3775
Andover,45.2333,-93.2913
Annandale,45.2627,-94.1244
Anoka,45.1977,-93.3872
Apple Valley,44.7319,-93.2177
Appleton,45.1969,-96.0198
Arden Hills,45.0502,-93.1566
Austin,43.6666,-92.9746
Babbitt,47.7085,-91.9446
Bagley,47.5216,-95.3983
Balaton,44.2333,-95.8722
Barnesville,46.6522,-96.4198
Battle Lake,46.2805,-95.7137
Baudette,48.7125,-94.5999
Baxter,46.3433,-94.2867
Bellechester,44.3683,-92.5113
Bemidji,47.4736,-94.8803
Bena,47.3408,-94.2072
Benson,45.315,-95.6
Big Falls,48.1911,-93.8066
Big Lake,45.3325,-93.7461
Bigfork,47.7444,-93.6541
Blackduck,47.733,-94.5486
Blaine,45.1608,-93.2349
Blooming Prairie,43.8666,-93.051
Bloomington,44.8408,-93.2983
Blue Earth,43.6375,-94.1022
Boy River,47.168,-94.1222
Brainerd,46.358,-94.2008
Breckenridge,46.2636,-96.5881
Brooklyn Center,45.0761,-93.3327
Brooklyn Park,45.0941,-93.3563
Brooten,45.5011,-95.1245
Browns Valley,45.5952,-96.8334
Bruno,46.2791,-92.6644
Buffalo,45.1719,-93.8747
Burnsville,44.7677,-93.2777
Caledonia,43.6347,-91.4968
Calumet,47.3219,-93.2769
Cambridge,45.5727,-93.2244
Campbell,46.0977,-96.4048
Canby,44.7089,-96.2764
Cannon Falls,44.5069,-92.9055
Cass Lake,47.3794,-94.6041
Champlin,45.1889,-93.3975
Chanhassen,44.8622,-93.5308
Chaska,44.7894,-93.6022
Chokio,45.5716,-96.1734
Clara City,44.955,-95.3664
Climax,47.6077,-96.817
Cloquet,46.7216,-92.4594
Cokato,45.0758,-94.19
Columbia Heights,45.0408,-93.263
Comstock,46.6594,-96.7484
Cook,47.8524,-92.6896
Coon Rapids,45.12,-93.2877
Corcoran,45.0952,-93.5475
Cosmos,44.9361,-94.6967
Cottage Grove,44.8277,-92.9438
Cottonwood,44.6088,-95.6742
Cromwell,46.6808,-92.8841
Crookston,47.7741,-96.6081
Crosby,46.4822,-93.9578
Cross Lake,46.6594,-94.1139
Crystal,45.0327,-93.3602
Deer River,47.333,-93.7927
Detroit Lakes,46.8172,-95.8453
Dexter,43.7189,-92.7046
Duluth,46.7833,-92.1066
Eagan,44.8041,-93.1669
Eagle Bend,46.165,-95.0392
East Bethel,45.3194,-93.2024
East Grand Forks,47.93,-97.0245
Eden Prairie,44.8547,-93.4708
Edgerton,43.8725,-96.1286
Edina,44.8897,-93.35
Elbow Lake,45.9941,-95.9767
Elk River,45.3039,-93.5672
Ely,47.9032,-91.8671
Erskine,47.6675,-96.01
Evansville,46.0041,-95.6828
Fairfax,44.5291,-94.7208
Fairmont,43.6522,-94.4611
Falcon Heights,44.9916,-93.1663
Fargo,46.9,-96.8
Faribault,44.295,-93.2688
Farmington,44.6402,-93.1435
Fergus Falls,46.283,-96.0776
Fertile,47.5361,-96.2803
Floodwood,46.9291,-92.9196
Foley,45.6647,-93.9097
Forest Lake,45.2789,-92.9852
Fort Ripley,46.1661,-94.3603
Fosston,47.5763,-95.7514
Fridley,45.0861,-93.2633
Garrison,46.2944,-93.8269
Gaylord,44.553,-94.2205
Georgetown,47.08,-96.7942
Glencoe,44.7691,-94.1516
Glenwood,45.6502,-95.3898
Golden Valley,45.0097,-93.3491
Gonvick,47.7375,-95.5136
Goodridge,48.1433,-95.8095
Graceville,45.5691,-96.4345
Grand Forks,47.9,-97
Grand Marais,47.7504,-90.3343
Grand Rapids,47.2372,-93.5302
Granite Falls,44.81,-95.5456
Greenbush,48.7005,-96.1817
Grygla,48.3008,-95.6183
Hallock,48.7744,-96.9464
Halstad,47.3516,-96.8287
Ham Lake,45.2502,-93.25
Hastings,44.7433,-92.8524
Hawley,46.8808,-96.3167
Hector,44.7439,-94.7155
Henderson,44.5283,-93.9077
Hendricks,44.5072,-96.4242
Henning,46.3216,-95.4453
Herman,45.8086,-96.1434
Hermantown,46.8069,-92.2382
Hibbing,47.4272,-92.9377
Hill City,46.9933,-93.5986
Hoffman,45.8294,-95.792
Hopkins,44.925,-93.4627
Hoyt Lakes,47.5196,-92.1385
Hugo,45.16,-92.9933
Hutchinson,44.8877,-94.3697
International Falls,48.601,-93.411
Inver Grove Heights,44.848,-93.0427
Isanti,45.4902,-93.2477
Jackson,43.6208,-94.9886
Jordan,44.6669,-93.6269
Karlstad,48.5775,-96.5206
Kasson,44.03,-92.7507
Kelliher,47.9416,-94.4483
Kent,46.4363,-96.6848
Kenyon,44.2722,-92.9855
Kerkhoven,45.193,-95.3206
Kiester,43.5363,-93.7122
Kilkenny,44.3133,-93.5741
La Crescent,43.828,-91.304
Lake Bronson,48.7355,-96.6628
Lake City,44.4494,-92.2668
Lake Elmo,44.9958,-92.8794
Lakeville,44.6497,-93.2427
Lamberton,44.2311,-95.2642
Le Roy,43.5097,-92.5038
Lino Lakes,45.1602,-93.0888
Litchfield,45.1272,-94.528
Little Canada,45.0269,-93.0877
Little Falls,45.9764,-94.3625
Littlefork,48.3988,-93.5557
Long Prairie,45.9747,-94.8656
Longville,46.9863,-94.2114
Luverne,43.6541,-96.2128
Mabel,43.5205,-91.7696
Madison,45.0097,-96.1959
