<SIZE>292
<LANG>EN
<STATE>Missouri,MO
Advance,37.1045,-89.9107
Affton,38.5506,-90.3332
Albany,40.2486,-94.3311
Alexandria,40.3595,-91.4554
Altenburg,37.6309,-89.5854
Alton,36.6942,-91.3993
Anderson,36.6506,-94.4436
Annapolis,37.3603,-90.6976
Appleton City,38.1906,-94.0294
Arnold,38.4328,-90.3776
Ash Grove,37.3153,-93.5852
Ashburn,39.5448,-91.1688
Ashland,38.7745,-92.2571
Aurora,36.9709,-93.718
Ava,36.952,-92.6604
Bakersfield,36.5226,-92.1421
Ballwin,38.5951,-90.5462
Barnhart,38.3442,-90.3935
Belle,38.2859,-91.7204
Bellefontaine Neighbors,38.7403,-90.2265
Belton,38.812,-94.5319
Berkeley,38.7545,-90.3312
Bethany,40.2683,-94.0283
Bethel,39.8767,-92.0241
Black Jack,38.7934,-90.2673
Blue Eye,36.4987,-93.3969
Blue Springs,39.017,-94.2816
Bolckow,40.113,-94.8222
Bolivar,37.6145,-93.4105
Bonne Terre,37.9231,-90.5554
Boonville,38.9736,-92.7432
Bowling Green,39.342,-91.1951
Branson,36.6437,-93.2185
Braymer,39.587,-93.796
Brentwood,38.6176,-90.3493
Bridgeton,38.767,-90.4115
Brookfield,39.7845,-93.0735
Brunswick,39.4234,-93.1305
Buffalo,37.6439,-93.0924
Bunceton,38.7881,-92.7994
Bunker,37.4556,-91.2096
Butler,38.2586,-94.3305
California,38.6275,-92.5666
Cameron,39.7403,-94.2411
Canton,40.125,-91.6252
Cape Girardeau,37.3059,-89.5182
Cardwell,36.047,-90.2929
Carl Junction,37.1767,-94.5655
Carrollton,39.3584,-93.4958
Carthage,37.1764,-94.3102
Caruthersville,36.1931,-89.6556
Cassville,36.677,-93.8688
Centerville,37.435,-90.9585
Centralia,39.2103,-92.138
Chamois,38.6753,-91.7696
Charleston,36.9209,-89.3506
Chesterfield,38.6631,-90.5771
Chillicothe,39.7953,-93.5524
Clarksville,39.3706,-90.9051
Clayton,38.6426,-90.3237
Clinton,38.3686,-93.7783
Cole Camp,38.46,-93.2027
Columbia,38.9517,-92.3341
Concord,38.5245,-90.3573
Cooter,36.0467,-89.8101
Corning,40.2483,-95.4541
Crestwood,38.557,-90.3818
Creve Coeur,38.6609,-90.4226
Cuba,38.0628,-91.4035
Dardenne Prairie,38.7695,-90.729
De Soto,38.1395,-90.5551
Dellwood,38.7495,-90.2857
Des Peres,38.6009,-90.4329
Dexter,36.7959,-89.9579
Dixon,37.9917,-92.0938
Doniphan,36.6209,-90.8235
Drexel,38.4795,-94.6086
Eagleville,40.4692,-93.9872
East Independence,39.0956,-94.3552
Edgar Springs,37.7045,-91.8665
Edina,40.1675,-92.1727
El Dorado Springs,37.877,-94.0213
Eldon,38.3484,-92.5816
Ellington,37.2417,-90.9687
Ellisville,38.5926,-90.5871
Ellsinore,36.9342,-90.7468
Elmo,40.5183,-95.1155
Elsberry,39.1667,-90.781
Eureka,38.5026,-90.6279
Excelsior Springs,39.3392,-94.2261
Fair Grove,37.3839,-93.1513
Farmington,37.7809,-90.4218
Ferguson,38.7442,-90.3054
Festus,38.2206,-90.396
Flat River,37.8501,-90.5168
Florissant,38.7892,-90.3226
Fredericktown,37.5598,-90.294
Fulton,38.8467,-91.948
Gainesville,36.6031,-92.4282
Galena,36.8053,-93.4666
Galt,40.1286,-93.3869
Gladstone,39.2039,-94.5547
Glasgow,39.2273,-92.8466
Glasgow Village,38.7537,-90.1984
Glendale,38.5959,-90.3771
Grain Valley,39.015,-94.1986
Grandview,38.8858,-94.533
Grant City,40.4875,-94.4111
Green Castle,40.2625,-92.878
Greenfield,37.4153,-93.841
Greenville,37.1273,-90.4501
Hale,39.6036,-93.3424
Hamilton,39.7436,-93.9983
Hannibal,39.7084,-91.3585
Harrisburg,39.1417,-92.4627
Harrisonville,38.6533,-94.3488
Hartville,37.2509,-92.5104
Hazelwood,38.7714,-90.3709
Hermann,38.7042,-91.4374
Hermitage,37.9414,-93.3163
Higginsville,39.0725,-93.7172
Holden,38.7142,-93.9913
Hopkins,40.5508,-94.8194
Houston,37.3262,-91.956
Humansville,37.7945,-93.578
Hume,38.09,-94.5838
Iberia,38.0903,-92.2927
Independence,39.0911,-94.4155
Ironton,37.5973,-90.6273
Jackson,37.3823,-89.6662
Jacksonville,37.5584,-92.4227
Jefferson City,38.5767,-92.1735
Jennings,38.7192,-90.2604
Jerico Springs,37.6223,-94.0086
Joplin,37.0842,-94.5133
Kahoka,40.4203,-91.7196
Kansas City,39.0997,-94.5786
Kearney,39.3678,-94.3622
Kennett,36.2362,-90.0556
King City,40.0514,-94.5241
Kirksville,40.1948,-92.5833
Kirkwood,38.5834,-90.4068
La Belle,40.117,-91.9127
La Plata,40.0234,-92.4916
Ladue,38.6498,-90.3807
Lake Saint Louis,38.7976,-90.7857
Lamar,37.495,-94.2766
Lancaster,40.5209,-92.528
Lebanon,37.6806,-92.6638
Lees Summit,38.9108,-94.3822
Lemay,38.5334,-90.2793
Liberal,37.5581,-94.52
Liberty,39.2461,-94.4191
Licking,37.4995,-91.8571
Linn,38.4859,-91.8504
Lock Springs,39.8489,-93.7774
Lon,37.1837,-93.0593
Macks Creek,37.9664,-92.9694
Macon,39.7423,-92.4727
Malden,36.557,-89.9665
Manchester,38.597,-90.5093
Maplewood,38.6126,-90.3246
Marble Hill,37.3059,-89.9704
Marshall,39.1231,-93.1969
Marshfield,37.3387,-92.9071
Maryland Heights,38.7131,-90.4298
Maryville,40.3461,-94.8725
Mehlville,38.5084,-90.3229
Memphis,40.4578,-92.1713
Mexico,39.1698,-91.8829
Milan,40.2022,-93.1252
Miller,37.2148,-93.8399
Moberly,39.4184,-92.4382
Monett,36.929,-93.9277
Monroe City,39.6537,-91.7346
Montgomery City,38.9775,-91.5049
Mound City,40.1311,-95.2316
Mountain Grove,37.1306,-92.2635
Mountain View,36.9953,-91.7038
Murphy,38.4903,-90.4871
Naylor,36.5753,-90.604
Nelson,38.9947,-93.0327
Neosho,36.869,-94.368
Nevada,37.8392,-94.3547
New Cambria,39.7753,-92.7505
New Madrid,36.5864,-89.5279
Newtown,40.3764,-93.3349
Nixa,37.0434,-93.2943
Normandy,38.7209,-90.2973
North Kansas City,39.13,-94.5622
O'Fallon,38.8106,-90.6998
Oak Grove,39.005,-94.1294
Oakville,38.4701,-90.3046
Olivette,38.6653,-90.376
Oran,37.085,-89.6554
Osage Beach,38.1503,-92.618
Osceola,38.0467,-93.7044
Overland,38.7012,-90.3623
Owensville,38.3456,-91.5015
Ozark,37.0209,-93.206
Pacific,38.482,-90.7415
Paris,39.4809,-92.0013
Park Hills,37.8542,-90.5182
Parkville,39.195,-94.6822
Pattonsburg,40.0467,-94.1358
Perry,39.4312,-91.6752
Perryville,37.7242,-89.8612
Piedmont,37.1545,-90.6957
Pinhook,36.7389,-89.3101
Platte City,39.3703,-94.7825
Plattsburg,39.5656,-94.448
Pleasant Hill,38.7875,-94.2694
Polo,39.5522,-94.0408
Poplar Bluff,36.757,-90.3929
Portageville,36.4253,-89.6995
Potosi,37.9364,-90.7879
Princeton,40.4008,-93.5805
Purdin,39.952,-93.1658
Puxico,36.9498,-90.1584
Qulin,36.5959,-90.2473
Raymore,38.802,-94.4527
Raytown,39.0086,-94.4636
Republic,37.1201,-93.4802
Richmond,39.2786,-93.9769
Richmond Heights,38.6287,-90.3196
Riverview,38.2759,-93.0696
Rolla,37.9514,-91.7713
Rushville,39.5867,-95.0261
Saint Ann,38.7273,-90.3832
Saint Charles,38.7839,-90.4812
Saint John,37.8892,-92.3796
Saint Johns,38.7134,-90.3432
Saint Joseph,39.7686,-94.8466
Saint Peters,38.8003,-90.6265
Saint Thomas,38.3684,-92.2168
Sainte Genevieve,37.9814,-90.0418
Salem,37.6456,-91.536
Salisbury,39.4239,-92.8016
Sappington,38.537,-90.3798
Sarcoxie,37.0692,-94.1166
Sedalia,38.7045,-93.2283
Sedgewickville,37.5162,-89.9071
Seneca,36.8415,-94.6111
Seymour,37.1464,-92.7688
Shelbina,39.6939,-92.043
Shell Knob,36.6323,-93.6344
Shrewsbury,38.5903,-90.3368
Sikeston,36.8767,-89.5879
Smithville,39.3869,-94.5811
South Lineville,40.5789,-93.5238
South West City,36.5126,-94.6113
Spanish Lake,38.7878,-90.2159
Springfield,37.2153,-93.2982
St. Louis,38.6273,-90.1979
Stewartsville,39.7508,-94.4966
Stockton,37.6989,-93.796
Sullivan,38.2081,-91.1604
Summersville,37.1792,-91.6568
Sunset Hills,38.5389,-90.4073
Sweet Springs,38.9636,-93.4149
Tarkio,40.4403,-95.3778
Thayer,36.5245,-91.5382
Theodosia,36.5828,-92.676
Town and Country,38.6123,-90.4635
Trenton,40.0789,-93.6166
Troy,38.9795,-90.9807
Truxton,39.002,-91.2399
Union,38.4501,-91.0085
Unionville,40.477,-93.0033
University City,38.6559,-90.3093
Urich,38.4597,-94.0008
Valley Park,38.5492,-90.4926
Van Buren,36.9956,-91.0146
Vandalia,39.3109,-91.4885
Versailles,38.4314,-92.841
Viburnum,37.7153,-91.1351
Vienna,38.1867,-91.9471
Warrensburg,38.7628,-93.7361
Warrenton,38.8114,-91.1415
