<SIZE>155
<LANG>EN
<STATE>Mississippi,MS
Aberdeen,33.8251,-88.5437
Ackerman,33.3101,-89.1728
Amory,33.9843,-88.4881
Ashland,34.8329,-89.1759
Batesville,34.3115,-89.9443
Bay Saint Louis,30.3088,-89.33
Bay Springs,31.979,-89.2873
Beaumont,31.1693,-88.92
Belmont,34.5098,-88.2092
Belzoni,33.1843,-90.4893
Benoit,33.6515,-91.0096
Biloxi,30.396,-88.8853
Booneville,34.6581,-88.5667
Brandon,32.2732,-89.9859
Brookhaven,31.5791,-90.4407
Bruce,33.9921,-89.349
Bude,31.4629,-90.8501
Byram,32.1793,-90.2454
Caledonia,33.6829,-88.3245
Canton,32.6126,-90.0368
Carthage,32.7326,-89.5362
Centreville,31.0896,-91.0684
Charleston,34.0068,-90.0568
Chunky,32.3257,-88.9281
Clarksdale,34.2001,-90.5709
Cleveland,33.744,-90.7248
Clinton,32.3415,-90.3218
Collins,31.6454,-89.5553
Collinsville,32.4979,-88.8459
Columbia,31.2518,-89.8376
Columbus,33.4957,-88.4273
Corinth,34.9343,-88.5223
Crawford,33.3015,-88.6148
Crenshaw,34.5026,-90.1987
Crosby,31.2838,-91.0632
Crystal Springs,31.9874,-90.357
D'Iberville,30.4263,-88.8909
D'Lo,31.9857,-89.9012
De Kalb,32.7676,-88.6509
Diamondhead,30.3946,-89.3639
Durant,33.0751,-89.8545
Eupora,33.5407,-89.267
Fayette,31.7116,-91.0607
Flora,32.5432,-90.3093
Flowood,32.3096,-90.139
Forest,32.3646,-89.4742
French Camp,33.2932,-89.3995
Fulton,34.274,-88.4092
Gattman,33.8854,-88.2353
Gautier,30.3858,-88.6117
Georgetown,31.8715,-90.1645
Glendora,33.8293,-90.2931
Greenville,33.4101,-91.0618
Greenwood,33.5162,-90.1795
Grenada,33.769,-89.8084
Gulf Hills,30.4305,-88.8423
Gulf Park Estates,30.3919,-88.7611
Gulfport,30.3674,-89.0928
Guntown,34.4432,-88.6598
Hattiesburg,31.3271,-89.2903
Heidelberg,31.8868,-88.9839
Hernando,34.824,-89.9937
Hickory Flat,34.6159,-89.1884
Hollandale,33.169,-90.854
Holly Springs,31.3157,-89.9779
Horn Lake,34.9554,-90.0348
Houston,33.8984,-88.9992
Hurley,30.661,-88.4942
Indianola,33.451,-90.6551
Iuka,34.8118,-88.19
Jackson,32.2988,-90.1848
Kosciusko,33.0576,-89.5876
Laurel,31.6941,-89.1306
Leakesville,31.1557,-88.5578
Leland,33.4054,-90.8976
Liberty,31.1582,-90.8123
Long Beach,30.3505,-89.1528
Louise,32.9823,-90.5887
Louisville,33.1237,-89.0551
Lucedale,30.9252,-88.59
Lula,34.4532,-90.4787
Lynchburg,32.4401,-90.549
Macon,33.1054,-88.5609
Madison,32.4618,-90.1154
Magee,31.8738,-89.7337
Marks,34.2565,-90.272
McComb,31.2438,-90.4532
Meridian,32.3643,-88.7037
Monticello,31.5538,-90.1073
Morgan City,33.3807,-90.3504
Moss Point,30.4116,-88.5345
Natchez,31.5604,-91.4032
New Albany,34.4943,-89.0078
Newton,32.3213,-89.1634
North Tunica,34.7009,-90.3782
Ocean Springs,30.4113,-88.8278
Okolona,34.0018,-88.7553
Olive Branch,34.9618,-89.8295
Osyka,31.0068,-90.4723
Oxford,34.3665,-89.5192
Pascagoula,30.3658,-88.5561
Pass Christian,30.3158,-89.2475
Pearl,32.2746,-90.132
Pearlington,30.2466,-89.6112
Petal,31.3466,-89.2601
Philadelphia,32.7715,-89.1167
Picayune,30.5255,-89.6795
Pickens,32.8837,-89.9715
Polkville,32.1938,-89.6926
Pontotoc,34.2479,-88.9987
Poplarville,30.8402,-89.5342
Port Gibson,31.961,-90.984
Prentiss,31.5985,-89.867
Quitman,32.0401,-88.7281
Raleigh,32.0335,-89.5223
Richland,32.239,-90.1584
Richton,31.3493,-88.94
Ridgeland,32.4285,-90.1323
Ripley,34.7298,-88.9506
Rolling Fork,32.9065,-90.8782
Rosedale,33.8534,-91.0279
Roxie,31.5046,-91.069
Saint Martin,30.438,-88.8681
Satartia,32.671,-90.5443
Saucier,30.6357,-89.135
Schlater,33.6407,-90.3481
Sebastopol,32.5729,-89.3351
Senatobia,34.6176,-89.9687
Shelby,33.9509,-90.7679
Shubuta,31.8602,-88.6995
Slate Spring,33.7407,-89.3712
Southaven,34.989,-90.0126
Starkville,33.4504,-88.8184
State Line,31.4363,-88.4745
Taylorsville,31.8296,-89.4281
Tchula,33.1829,-90.2229
Toccopola,34.2565,-89.2356
Tupelo,34.2576,-88.7034
Tutwiler,34.0148,-90.4318
Tylertown,31.116,-90.142
Union,32.5715,-89.1214
Utica,32.1096,-90.6234
Vancleave,30.5405,-88.6875
Vicksburg,32.3526,-90.8779
Walnut,34.9462,-88.8998
Water Valley,34.1515,-89.6315
Waveland,30.2869,-89.3762
Waynesboro,31.6749,-88.6461
West Gulfport,30.4041,-89.0942
West Hattiesburg,31.3191,-89.3751
West Point,33.6076,-88.6503
Wiggins,30.8582,-89.1353
Winona,33.4821,-89.7281
Woodville,31.1046,-91.2996
Yazoo City,32.8551,-90.4056
