<SIZE>152
<LANG>EN
<STATE>Montana,MT
Anaconda,46.1285,-112.942
Ashland,45.5944,-106.271
Augusta,47.4927,-112.392
Bainville,48.14,-104.223
Baker,46.367,-104.285
Belgrade,45.776,-111.177
Belt,47.3861,-110.926
Big Sky,45.2846,-111.368
Big Timber,45.8349,-109.955
Billings,45.7833,-108.501
Birney,45.3217,-106.515
Boulder,46.2366,-112.121
Box Elder,48.3172,-110.013
Bozeman,45.6797,-111.039
Bridger,45.2958,-108.914
Broadus,45.4439,-105.407
Broadview,46.0977,-108.877
Brockton,48.1514,-104.917
Busby,45.5372,-106.956
Butte,46.0038,-112.535
Carter,47.7811,-110.956
Cascade,47.2711,-111.701
Chester,48.5105,-110.967
Chinook,48.59,-109.231
Choteau,47.8125,-112.184
Circle,47.4167,-105.592
Clinton,46.7691,-113.713
Clyde Park,45.8869,-110.604
Colstrip,45.8842,-106.624
Columbus,45.6366,-109.252
Conrad,48.1702,-111.946
Culbertson,48.1445,-104.517
Custer,46.1292,-107.555
Cut Bank,48.633,-112.326
Darby,46.0227,-114.178
De Borgia,47.3758,-115.346
Deer Lodge,46.3958,-112.73
Denton,47.3197,-109.947
Dillon,45.2163,-112.638
Dodson,48.3956,-108.244
Drummond,46.6674,-113.147
Dutton,47.8427,-111.712
East Glacier Park Village,48.4469,-113.223
Ekalaka,45.8889,-104.553
Elliston,46.5622,-112.431
Elmo,47.8305,-114.35
Ennis,45.3488,-111.73
Eureka,48.88,-115.053
Evergreen,48.2258,-114.276
Fairfield,47.6147,-111.98
Forsyth,46.2664,-106.678
Fort Belknap Agency,48.4825,-108.765
Fort Benton,47.8183,-110.667
Fort Smith,45.3127,-107.937
Fox Lake,47.6831,-104.622
Frazer,48.0592,-106.042
Frenchtown,47.0149,-114.23
Gardiner,45.0319,-110.706
Geraldine,47.6036,-110.266
Glasgow,48.197,-106.637
Glendive,47.1053,-104.712
Grass Range,47.0261,-108.805
Great Falls,47.5002,-111.301
Hamilton,46.2469,-114.16
Hardin,45.7325,-107.612
Harlowton,46.4355,-109.834
Harrison,45.7008,-111.786
Havre,48.55,-109.684
Hays,47.9892,-108.694
Heart Butte,48.2833,-112.837
Helena,46.5927,-112.036
Highwood,47.5836,-110.79
Hobson,47.0005,-109.875
Hot Springs,47.6091,-114.669
Hungry Horse,48.3858,-114.061
Hysham,46.2928,-107.234
Ismay,46.4972,-104.794
Joliet,45.4852,-108.97
Jordan,47.3208,-106.91
Judith Gap,46.6772,-109.752
Kalispell,48.1958,-114.313
Knife River,47.4528,-104.343
Kremlin,48.5697,-110.087
Lakeside,48.0194,-114.225
Lame Deer,45.623,-106.667
Laurel,45.6691,-108.772
Lavina,46.2947,-108.938
Lewistown,47.0625,-109.428
Libby,48.3883,-115.556
Lima,44.6369,-112.592
Lincoln,46.9549,-112.682
Livingston,45.6624,-110.561
Lodge Grass,45.3144,-107.363
Malta,48.3597,-107.874
Medicine Lake,48.5014,-104.505
Melstone,46.5986,-107.872
Miles City,46.4083,-105.841
Missoula,46.8721,-113.994
Nashua,48.1322,-106.356
Neihart,46.9333,-110.736
North Browning,48.5703,-113.01
Noxon,47.996,-115.782
Opheim,48.8567,-106.407
Outlook,48.8875,-104.778
Ovando,47.0202,-113.133
Parker School,48.25,-109.737
Philipsburg,46.3321,-113.294
Plains,47.4602,-114.883
Plentywood,48.7747,-104.562
Polson,47.6936,-114.163
Poplar,48.1131,-105.198
Pryor,45.4297,-108.533
Red Lodge,45.1858,-109.247
Reed Point,45.7094,-109.542
Richey,47.6439,-105.075
Roundup,46.4452,-108.542
Rudyard,48.56,-110.554
Ryegate,46.2972,-109.259
Saco,48.4572,-107.343
Saint Ignatius,47.3199,-114.094
Saint Marie,48.4022,-106.533
Saint Xavier,45.4611,-107.722
Scobey,48.7925,-105.421
Seeley Lake,47.1794,-113.485
Shelby,48.5053,-111.857
Sheridan,45.4555,-112.197
Sidney,47.7167,-104.156
Stanford,47.1536,-110.218
Stevensville,46.5099,-114.093
Sun River,47.5333,-111.721
Sunburst,48.8828,-111.911
Superior,47.1916,-114.892
Terry,46.7931,-105.312
Thompson Falls,47.5972,-115.344
Three Forks,45.8924,-111.552
Townsend,46.3191,-111.521
Trout Creek,47.8369,-115.598
Troy,48.4633,-115.89
Valier,48.3078,-112.25
West Yellowstone,44.6621,-111.104
Westby,48.8703,-104.052
White Sulphur Springs,46.5483,-110.902
Whitefish,48.4111,-114.338
Whitehall,45.8708,-112.097
Wibaux,46.985,-104.188
Winifred,47.5578,-109.375
Winnett,47.0028,-108.352
Winston,46.4766,-111.659
Wisdom,45.618,-113.451
Wolf Point,48.0906,-105.641
Worden,45.96,-108.161
Wyola,45.1294,-107.393
