<SIZE>206
<LANG>EN
<STATE>North Carolina,NC
Ahoskie,36.2868,-76.9847
Albemarle,35.3501,-80.2001
Andrews,35.2018,-83.8241
Apex,35.7327,-78.8503
Archdale,35.9146,-79.972
Asheboro,35.7079,-79.8136
Asheville,35.6009,-82.554
Aurora,35.3054,-76.7885
Autryville,34.9979,-78.6425
Belhaven,35.5402,-76.623
Belmont,35.2429,-81.0373
Bessemer City,35.2849,-81.284
Beulaville,34.9238,-77.7739
Black Mountain,35.6179,-82.3212
Boone,36.2168,-81.6746
Brevard,35.2334,-82.7343
Bryson City,35.4309,-83.4474
Burgaw,34.5521,-77.9261
Burlington,36.0957,-79.4378
Burnsville,35.1124,-80.2445
Butner,36.1321,-78.7567
Carolina Beach,34.0352,-77.8936
Carrboro,35.9101,-79.0753
Cary,35.7915,-78.7811
Casar,35.5124,-81.6173
Centerville,36.1863,-78.1055
Chapel Hill,35.9132,-79.0558
Charlotte,35.2271,-80.8431
Cherryville,35.3787,-81.379
Clayton,35.6507,-78.4564
Clemmons,36.0215,-80.382
Clinton,34.9979,-78.3233
Colerain,36.2013,-76.7686
Columbia,35.9177,-76.2522
Concord,35.4088,-80.5795
Conover,35.7065,-81.2187
Cornelius,35.4868,-80.8601
Cove City,35.1874,-77.3208
Cullowhee,35.3137,-83.1765
Davidson,35.4993,-80.8487
Denton,35.6335,-80.1159
Dunn,35.3063,-78.6089
Durham,35.994,-78.8986
Eden,36.4885,-79.7667
Edenton,36.0579,-76.6077
Elizabeth City,36.2946,-76.251
Elizabethtown,34.6293,-78.6053
Elkin,36.2443,-80.8484
Elon,36.1029,-79.5067
Emerald Isle,34.6779,-76.9508
Enfield,36.181,-77.6666
Eureka,35.5427,-77.8764
Fair Bluff,34.3135,-79.0373
Fayetteville,35.0527,-78.8784
Fayetteville Pope AFB,35.2,-79
Forest City,35.334,-81.8651
Fountain,35.674,-77.64
Franklin,35.1823,-83.3815
Fuquay-Varina,35.5843,-78.8
Garland,34.7863,-78.3942
Garner,35.7113,-78.6142
Gastonia,35.2621,-81.1873
Gatesville,36.4035,-76.753
Goldsboro,35.3849,-77.9928
Graham,36.069,-79.4006
Greensboro,36.0726,-79.792
Greenville,35.6127,-77.3664
Half Moon,34.826,-77.4594
Hamlet,34.8849,-79.6942
Harmony,35.9557,-80.7717
Harrisburg,35.3238,-80.6559
Havelock,34.879,-76.9013
Henderson,36.3296,-78.3992
Hendersonville,35.3187,-82.461
Hickory,35.7332,-81.3412
High Point,35.9557,-80.0053
Highlands,35.0526,-83.1968
Hillsborough,36.0754,-79.0997
Holly Springs,35.6513,-78.8336
Hope Mills,34.9704,-78.9453
Hot Springs,35.8923,-82.829
Huntersville,35.4107,-80.8428
Indian Trail,35.0768,-80.6692
Jacksonville,34.7541,-77.4302
James City,35.0888,-77.035
Jefferson,36.4204,-81.4734
Kannapolis,35.4874,-80.6217
Kelly,34.4663,-78.3244
Kernersville,36.1199,-80.0737
Kill Devil Hills,36.0307,-75.676
King,36.2807,-80.3592
Kings Grant,34.2629,-77.8636
Kings Mountain,35.2451,-81.3412
Kinston,35.2627,-77.5816
Knightdale,35.7877,-78.4806
Lake Lure,35.4279,-82.2048
Lake Norman of Catawba,35.5868,-80.9595
Laurinburg,34.774,-79.4628
Lenoir,35.914,-81.539
Lewisville,36.0971,-80.4192
Lexington,35.824,-80.2534
Lillington,35.3993,-78.8158
Lincolnton,35.4737,-81.2545
Littleton,36.4346,-77.9119
Locust,35.2599,-80.4253
Long Beach,33.9104,-78.1178
Louisburg,36.099,-78.3011
Lumberton,34.6182,-79.0086
Madison,36.3854,-79.9595
Marion,35.684,-82.0093
Mars Hill,35.8265,-82.5493
Masonboro,34.1793,-77.8475
Matthews,35.1168,-80.7237
Maysville,34.9049,-77.2313
Mebane,36.096,-79.267
Mint Hill,35.1796,-80.6473
Mocksville,35.894,-80.5614
Monroe,34.9854,-80.5495
Mooresville,35.5849,-80.8101
Morehead City,34.7229,-76.726
Morganton,35.7454,-81.6848
Morrisville,35.8235,-78.8256
Mount Airy,36.4993,-80.6073
Mount Holly,35.2982,-81.0159
Mount Olive,35.1966,-78.0664
Murfreesboro,36.4424,-77.0986
Murphy,35.0876,-84.0346
Murraysville,34.2957,-77.8475
Myrtle Grove,34.1346,-77.8817
New Bern,35.1085,-77.0441
Newland,36.0873,-81.9273
Newton,35.6699,-81.2215
Newton Grove,35.2452,-78.3542
Norlina,36.4457,-78.1983
Norman,35.1704,-79.7228
North Wilkesboro,36.1585,-81.1476
Northwest,34.3129,-78.1611
Oak City,35.9638,-77.308
Oak Island,33.9166,-78.1611
Ocracoke,35.1146,-75.981
Ogden,34.2724,-77.8186
Oriental,35.031,-76.693
Oxford,36.3107,-78.5908
Pinehurst,35.1954,-79.4695
Piney Green,34.716,-77.3202
Pittsboro,35.7201,-79.1772
Plymouth,35.8668,-76.7486
Prospect,34.7332,-79.2298
Raeford,34.981,-79.2242
Raleigh,35.7721,-78.6386
Reidsville,36.3549,-79.6645
Rich Square,36.274,-77.2844
