<SIZE>180
<LANG>EN
<STATE>North Dakota,ND
Abercrombie,46.4477,-96.7304
Adams,48.4214,-98.079
Alamo,48.5817,-103.47
Alexander,47.8431,-103.643
Amidon,46.4822,-103.322
Antler,48.9709,-101.282
Arthur,47.1041,-97.2181
Ashley,46.0341,-99.3715
Balta,48.1667,-100.037
Beach,46.9181,-104.004
Belcourt,48.8392,-99.7449
Belfield,46.8853,-103.2
Berthold,48.3131,-101.737
Beulah,47.2633,-101.778
Binford,47.5619,-98.3451
Bismarck,46.8083,-100.784
Bottineau,48.8272,-100.446
Bowdon,47.4697,-99.7079
Bowman,46.1831,-103.395
Butte,47.8381,-100.665
Buxton,47.6019,-97.0973
Calvin,48.8525,-98.9354
Cando,48.4867,-99.2099
Cannon Ball,46.3894,-100.594
Carrington,47.4497,-99.1262
Carson,46.4178,-101.565
Casselton,46.9005,-97.2112
Cavalier,48.7939,-97.6223
Center,47.1164,-101.3
Cooperstown,47.4444,-98.124
Crosby,48.9142,-103.295
Devils Lake,48.1128,-98.8651
Dickey,46.5369,-98.4679
Dickinson,46.8792,-102.79
Donnybrook,48.5095,-101.885
Drake,47.9242,-100.372
Drayton,48.5711,-97.1778
Dunseith,48.8131,-100.061
Edgeley,46.3591,-98.7157
Edmore,48.4133,-98.4543
Elgin,46.4039,-101.846
Ellendale,46.0028,-98.527
Enderlin,46.623,-97.6015
Epping,48.2792,-103.357
Fairmount,46.055,-96.6023
Fargo,46.8772,-96.7898
Fessenden,47.6492,-99.6293
Fingal,46.7605,-97.7904
Finley,47.5142,-97.8359
Flasher,46.4561,-101.233
Forbes,45.9436,-98.7821
Fordville,48.2175,-97.7906
Fort Ransom,46.5208,-97.9262
Fort Yates,46.0869,-100.63
Fortuna,48.91,-103.779
Fredonia,46.3289,-99.0957
Gackle,46.6258,-99.1421
Garrison,47.6522,-101.416
Gilby,48.0853,-97.4706
Glen Ullin,46.815,-101.83
Glenburn,48.5131,-101.221
Glenfield,47.4533,-98.5673
Golden Valley,47.2908,-102.065
Golva,46.7342,-103.986
Goodrich,47.475,-100.126
Grace City,47.5514,-98.8054
Grafton,48.4122,-97.4106
Grand Forks,47.9253,-97.0329
Granville,48.2678,-100.843
Grenora,48.6184,-103.938
Gwinner,46.2258,-97.6626
Halliday,47.3545,-102.336
Hankinson,46.0697,-96.9017
Hansboro,48.95,-99.3829
Harvey,47.7697,-99.9354
Hazelton,46.4847,-100.28
Hettinger,46.0014,-102.637
Hillsboro,47.4039,-97.062
Hope,47.3222,-97.7223
Hove Mobile Park,48.5825,-98.2307
Jamestown,46.9105,-98.7084
Jud,46.5261,-98.8957
Karlsruhe,48.09,-100.62
Kenmare,48.6747,-102.083
Kensal,47.3008,-98.7334
Killdeer,47.372,-102.754
Kindred,46.6486,-97.017
LaMoure,46.3572,-98.2945
Lakota,48.0428,-98.3362
Langdon,48.76,-98.3682
Larimore,47.9067,-97.6268
Leeds,48.2889,-99.4376
Lignite,48.8775,-102.563
Linton,46.2667,-100.233
Lisbon,46.4416,-97.6812
Litchville,46.6536,-98.1943
Maddock,47.9625,-99.5301
Makoti,47.9611,-101.805
Mandan,46.8267,-100.89
Mandaree,47.7292,-102.676
Manvel,48.0778,-97.1765
Marmarth,46.295,-103.921
Max,47.8211,-101.299
Maxbass,48.7217,-101.142
Mayville,47.498,-97.3245
McClusky,47.4858,-100.443
McVille,47.7639,-98.1773
Medina,46.8939,-99.2998
Medora,46.9139,-103.524
Mercer,47.4906,-100.711
Minnewaukan,48.0714,-99.2524
Minot,48.2325,-101.296
Mohall,48.7634,-101.513
Montpelier,46.7003,-98.5901
Mott,46.3725,-102.327
Mountain,48.6878,-97.8651
Munich,48.6692,-98.8326
Napoleon,46.5083,-99.7712
Neche,48.9861,-97.5548
New England,46.5392,-102.868
New Rockford,47.68,-99.1379
New Salem,46.845,-101.411
New Town,47.9808,-102.49
Noonan,48.8889,-103.009
Oakes,46.1386,-98.0904
Page,47.1597,-97.5712
Park River,48.3986,-97.7412
Parshall,47.9533,-102.135
Pembina,48.9664,-97.2437
Petersburg,48.0111,-98.0015
Pettibone,47.1192,-99.5196
Pingree,47.1633,-98.9071
Powers Lake,48.5628,-102.648
Reeder,46.1058,-102.945
Rhame,46.2325,-103.655
Richardton,46.8839,-102.316
Rock Lake,48.7903,-99.2462
Rogers,47.0728,-98.1995
Rolette,48.6608,-99.8415
Rugby,48.3689,-99.9962
Ruso,47.8383,-100.933
Rutland,46.053,-97.509
Saint Thomas,48.6192,-97.4465
Selfridge,46.0414,-100.925
Sherwood,48.96,-101.633
Sibley,47.2172,-97.9645
Stanley,48.3172,-102.39
