<SIZE>189
<LANG>EN
<STATE>Nebraska,NE
Adams,40.4594,-96.51
Ainsworth,42.55,-99.8626
Albion,41.6908,-98.0037
Alliance,42.1016,-102.872
Alma,40.0975,-99.362
Anselmo,41.6186,-99.8651
Ansley,41.2878,-99.3818
Arapahoe,40.3042,-99.9004
Arcadia,41.4233,-99.1262
Arnold,41.4225,-100.193
Arthur,41.5717,-101.692
Atkinson,42.5314,-98.9781
Auburn,40.3928,-95.8389
Aurora,40.8672,-98.0042
Bartlett,41.8853,-98.5523
Bassett,42.5858,-99.5379
Bayard,41.755,-103.324
Beatrice,40.2681,-96.747
Bellevue,41.1367,-95.8908
Benkelman,40.0492,-101.533
Bertrand,40.5267,-99.6337
Big Springs,41.0614,-102.074
Blair,41.5444,-96.125
Bloomfield,42.5989,-97.6456
Blue Hill,40.3325,-98.4487
Brady,41.0222,-100.368
Brewster,41.9389,-99.8648
Bridgeport,41.6652,-103.099
Broadwater,41.5961,-102.853
Broken Bow,41.402,-99.6393
Burwell,41.7817,-99.1332
Byron,40.0039,-97.7689
Cairo,41.0011,-98.6076
Callaway,41.292,-99.9226
Cambridge,40.282,-100.166
Campbell,40.2983,-98.732
Central City,41.1158,-98.0017
Chadron,42.8294,-103
Chalco,41.1839,-96.1503
Chambers,42.205,-98.749
Chappell,41.0928,-102.471
Clarkson,41.7267,-97.1223
Cody,42.9358,-101.245
Columbus,41.4297,-97.3684
Cotesfield,41.3572,-98.6326
Cozad,40.8597,-99.9873
Crawford,42.683,-103.413
Crete,40.6278,-96.9614
Curtis,40.63,-100.516
Dalton,41.4072,-102.974
Danbury,40.0395,-100.404
David City,41.2528,-97.13
De Witt,40.3936,-96.9228
Dunning,41.8286,-100.105
Eagle,40.8167,-96.4303
Edgar,40.3722,-97.9714
Elkhorn,41.2864,-96.2345
Elm Creek,40.7195,-99.372
Elwood,40.5903,-99.861
Ewing,42.2578,-98.3465
Fairbury,40.1372,-97.1806
Falls City,40.0608,-95.6019
Farnam,40.7058,-100.215
Franklin,40.0961,-98.9526
Fremont,41.4333,-96.4981
Friend,40.6536,-97.2862
Fullerton,41.3633,-97.9692
Geneva,40.527,-97.5959
Genoa,41.4486,-97.7306
Gering,41.8258,-103.66
Gibbon,40.7483,-98.8448
Gordon,42.8047,-102.203
Grand Island,40.925,-98.342
Grant,40.8419,-101.725
Greeley,41.5486,-98.5312
Gretna,41.1408,-96.2397
Haigler,40.0139,-101.939
Harrisburg,41.5564,-103.739
Harrison,42.6872,-103.883
Hartington,42.6225,-97.2645
Harvard,40.6189,-98.0973
Hastings,40.5861,-98.3884
Hebron,40.1664,-97.5859
Hemingford,42.3216,-103.073
Hendley,40.1303,-99.9698
Hickman,40.62,-96.6292
Holdrege,40.4403,-99.3698
Hooper,41.6106,-96.5481
Hyannis,42.0005,-101.762
Imperial,40.5169,-101.643
Kearney,40.6995,-99.0815
Kenesaw,40.6211,-98.6576
Kilgore,42.9383,-100.956
Kimball,41.2358,-103.663
La Vista,41.1839,-96.0311
Lamar,40.5719,-101.979
Laurel,42.4294,-97.0898
Lexington,40.7808,-99.7415
Liberty,40.0847,-96.4828
Lincoln,40.8,-96.667
Litchfield,41.1575,-99.1556
Loup City,41.2756,-98.9668
Macy,42.113,-96.3564
Madison,41.8283,-97.455
Marsland,42.4439,-103.299
Maskell,42.69,-96.9825
McCook,40.2019,-100.626
Meadow Grove,42.0289,-97.7339
Merriman,42.9197,-101.701
Minden,40.4986,-98.9479
Morrill,41.9633,-103.926
Mullen,42.0428,-101.043
Naper,42.9636,-99.0968
