<SIZE>89
<LANG>EN
<STATE>New Hampshire,NH
Allenstown,43.1579,-71.4056
Alton,43.4523,-71.2176
Amherst,42.8615,-71.6254
Atkinson,42.8384,-71.147
Auburn,43.0045,-71.3484
Barrington,43.2229,-71.047
Bedford,42.9465,-71.5159
Belmont,43.4454,-71.4779
Berlin,44.4687,-71.1851
Bow Bog,43.1206,-71.5115
Bradford,43.2701,-71.9601
Canaan,43.7,-72.1
Charlestown,43.2387,-72.4245
Chatham,44.1645,-71.0112
Chester,42.9568,-71.2573
Claremont,43.3767,-72.3468
Colebrook,44.8945,-71.4959
Concord,43.2081,-71.5376
Conway,43.9792,-71.1203
Derry,42.8806,-71.3273
Derry Village,42.8918,-71.312
Dover,43.1979,-70.8737
Durham,43.134,-70.9264
East Concord,43.242,-71.5381
Effingham,43.7612,-70.9965
Epping,43.0334,-71.0742
Errol,44.7814,-71.1379
Exeter,42.9815,-70.9478
Farmington,43.3898,-71.0651
Franklin,43.4442,-71.6473
Gilford,43.5476,-71.4067
Goffstown,43.0204,-71.6003
Hampstead,42.8745,-71.1812
Hampton,42.9376,-70.8389
Hanover,43.7023,-72.2895
Haverhill,44.0345,-72.064
Hollis,42.7431,-71.5917
Hooksett,43.0967,-71.4651
Hopkinton,43.1915,-71.6754
Hudson,42.7648,-71.4398
Jaffrey,42.814,-72.0231
Keene,42.9337,-72.2781
Kingston,42.9365,-71.0534
Laconia,43.5279,-71.4704
Lancaster,44.4889,-71.5693
Lebanon,43.6423,-72.2518
Lincoln,44.0456,-71.6701
Litchfield,42.8443,-71.4798
Littleton,44.3062,-71.7701
Livermore,44.0745,-71.3773
Londonderry,42.8651,-71.374
Loudon,43.2856,-71.4673
Manchester,42.9956,-71.4548
Meredith,43.6576,-71.5004
Merrimack,42.8651,-71.4934
Milford,42.8354,-71.649
Monroe,44.2603,-72.0548
Moultonborough,43.7548,-71.3967
Nashua,42.7654,-71.4676
New Ipswich,42.7481,-71.8542
Newmarket,43.0829,-70.9351
Newport,43.3654,-72.1734
Northfield,43.4331,-71.5923
Orange,43.6545,-71.9715
Pelham,42.7345,-71.3245
Pembroke,43.1467,-71.4576
Peterborough,42.8706,-71.9517
Pinardville,42.9943,-71.5073
Plaistow,42.8365,-71.0948
Plymouth,43.757,-71.6881
Portsmouth,43.0718,-70.7626
Raymond,43.0362,-71.1834
Rindge,42.7512,-72.0098
Rochester,43.3045,-70.9756
Rye,43.0134,-70.7709
Salem,42.7884,-71.2009
Sandown,42.9287,-71.187
Seabrook,42.8948,-70.8712
Somersworth,43.2617,-70.8653
South Hooksett,43.0265,-71.4353
Stoddard,43.0787,-72.1145
Stratham Station,43.0529,-70.8953
Suncook,43.1306,-71.4531
Swanzey,42.8698,-72.2818
Weare,43.0948,-71.7306
Wentworth,43.8717,-71.9143
Wilmot,43.4517,-71.9137
Windham,42.8006,-71.3042
Wolfeboro,43.584,-71.2073
