<SIZE>293
<LANG>EN
<STATE>New Jersey,NJ
Absecon,39.4285,-74.4957
Allendale,41.0415,-74.129
Asbury Park,40.2204,-74.0121
Ashland,39.8632,-75.006
Atlantic City,39.3643,-74.4229
Audubon,39.8909,-75.073
Avenel,40.5804,-74.2851
Barrington,39.8648,-75.0552
Bayonne,40.6687,-74.1143
Beachwood,39.939,-74.1929
Beckett,39.754,-75.3574
Belleville,40.7937,-74.1501
Bellmawr,39.8676,-75.0946
Belmar,40.1784,-74.0218
Bergenfield,40.9276,-73.9974
Berkeley Heights,40.6834,-74.4426
Berlin,39.7912,-74.9291
Bernardsville,40.7187,-74.5693
Bloomfield,40.8068,-74.1854
Bloomingdale,40.4976,-74.6474
Bogota,40.8762,-74.0299
Boonton,40.9026,-74.4071
Bound Brook,40.5684,-74.5385
Bridgeton,39.4273,-75.2341
Brielle,40.1079,-74.0565
Brigantine,39.4101,-74.3646
Browns Mills,39.9726,-74.5829
Budd Lake,40.8712,-74.7341
Burlington,40.0712,-74.8649
Butler,41.0037,-74.3415
Caldwell,40.8398,-74.2765
Camden,39.9259,-75.1196
Carlstadt,40.8404,-74.0907
Carneys Point,39.7112,-75.4702
Carteret,40.5773,-74.2282
Cedar Grove,40.8518,-74.229
Chatham,40.7409,-74.3838
Cherry Hill,39.9348,-75.0307
Cherry Hill Mall,39.9359,-75.0091
Cinnaminson,39.9968,-74.9927
Clark,40.6409,-74.3107
Clayton,39.6601,-75.0921
Cliffside Park,40.8215,-73.9876
Clifton,40.8584,-74.1638
Closter,40.9732,-73.9615
Collingswood,39.9182,-75.0713
Colonia,40.5745,-74.3021
Cranford,40.6584,-74.2996
Cresskill,40.9415,-73.9593
Crestwood Village,39.9482,-74.3607
Dayton,40.3726,-74.5102
Dover,40.884,-74.5621
Dumont,40.9407,-73.9968
Dunellen,40.5893,-74.4718
East Brunswick,40.4279,-74.416
East Freehold,40.2809,-74.2513
East Hanover,40.8201,-74.3649
East Orange,40.7673,-74.2049
East Rutherford,40.834,-74.0971
Eatontown,40.2962,-74.051
Echelon,39.8484,-74.9957
Edgewater,40.827,-73.9757
Edgewater Park,40.0682,-74.9007
Edison,40.5187,-74.4121
Elizabeth,40.664,-74.2107
Elmwood Park,40.904,-74.1185
Emerson,40.9762,-74.0263
Englewood,40.8929,-73.9726
