<SIZE>120
<LANG>EN
<STATE>New Mexico,NM
Acomita Lake,35.0703,-107.614
Alamo,34.4209,-107.511
Alamogordo,32.8995,-105.96
Albuquerque,35.0845,-106.651
Angel Fire,36.3931,-105.285
Anthony,32.004,-106.606
Artesia,32.8423,-104.403
Aztec,36.8222,-107.993
Beclabito,36.8414,-109.02
Belen,34.6628,-106.776
Bernalillo,35.3,-106.551
Bloomfield,36.7111,-107.985
Capitan,33.5454,-105.572
Carlsbad,32.4207,-104.229
Carrizozo,33.6417,-105.877
Causey,33.8793,-103.127
Chama,36.9031,-106.579
Cimarron,36.5109,-104.916
Clayton,36.4517,-103.184
Cloudcroft,32.9573,-105.742
Clovis,34.4048,-103.205
Columbus,31.8276,-107.64
Corona,34.2509,-105.597
Corrales,35.2378,-106.607
Crownpoint,35.6781,-108.151
Cuba,36.0222,-106.958
Deming,32.2687,-107.759
Des Moines,36.7611,-103.834
Dexter,33.1973,-104.373
Dora,33.9387,-103.337
Dulce,36.9336,-106.999
Eagle Nest,35.4384,-107.324
Edgewood,35.0614,-106.191
Eldorado at Santa Fe,35.5264,-105.935
Elida,33.9468,-103.657
Encino,34.6512,-105.462
Espanola,35.9911,-106.081
Estancia,34.7584,-106.056
Eunice,32.4373,-103.159
Farmington,36.7281,-108.219
Floyd,34.2142,-103.581
Fort Sumner,34.4717,-104.246
Gallup,35.5281,-108.743
Grady,34.8215,-103.317
Grants,35.1473,-107.851
Grenville,36.5928,-103.616
Hatch,32.6654,-107.153
Hobbs,32.7026,-103.136
Hope,32.8104,-104.733
House,34.6467,-103.904
Huerfano,36.527,-108.031
Jal,32.1132,-103.194
Jemez Pueblo,35.6139,-106.726
Kirtland,36.7342,-108.36
Lake Sumner,34.6228,-104.377
Las Cruces,32.3123,-106.778
Las Vegas,35.5939,-105.224
Logan,35.3653,-103.411
Lordsburg,32.3504,-108.709
Los Alamos,35.8881,-106.307
Los Chaves,34.727,-106.738
Los Lunas,34.8062,-106.733
Los Ranchos de Albuquerque,35.162,-106.643
Lovington,32.944,-103.349
Madrid,35.4067,-106.153
Magdalena,34.1167,-107.244
Maxwell,36.54,-104.543
Meadow Lake,34.8014,-106.544
Melrose,34.4304,-103.632
Mescalero,33.1576,-105.774
Mesita,35.0184,-107.313
Mosquero,35.777,-103.957
Mountainair,34.5203,-106.241
Nageezi,36.2667,-107.742
Naschitti,36.065,-108.682
Navajo,35.9,-109.034
Newcomb,36.2847,-108.706
North Valley,35.1734,-106.623
Pecos,35.5742,-105.675
Peñasco,36.1695,-105.686
Portales,34.1862,-103.334
Pueblo Pintado,35.9772,-107.673
Questa,36.7039,-105.595
Radium Springs,32.5012,-106.928
Ramah,35.1331,-108.492
Raton,36.9034,-104.439
Reserve,33.7131,-108.758
Rio Rancho,35.2334,-106.664
Roswell,33.3943,-104.523
Roy,35.9439,-104.196
Ruidoso,33.3317,-105.673
San Jon,35.1076,-103.329
Sanostee,36.4247,-108.874
Santa Fe,35.687,-105.938
Santa Rosa,34.9387,-104.682
Santa Teresa,36.1534,-106.679
Santo Domingo Pueblo,35.5148,-106.366
Shiprock,36.7856,-108.687
Silver City,32.7701,-108.28
Socorro,34.0584,-106.891
South Valley,35.01,-106.678
Springer,36.3611,-104.595
Sunland Park,31.7965,-106.58
Tajique,34.7517,-106.288
Taos,36.4072,-105.573
Tatum,33.2571,-103.318
Thoreau,35.4025,-108.223
Timberon,32.6209,-105.694
Tohatchi,35.8589,-108.761
Torreon,35.7972,-107.214
Truth or Consequences,33.1284,-107.253
Tse Bonito,35.6567,-109.041
Tucumcari,35.1717,-103.725
Tularosa,33.074,-106.019
Vaughn,34.6017,-105.208
Virden,32.687,-109.002
Wagon Mound,36.0089,-104.707
White Rock,35.8275,-106.204
White Sands,32.3809,-106.479
Zuni Pueblo,35.0725,-108.851
