<SIZE>416
<LANG>EN
<STATE>New York,NY
Adams,43.8092,-76.0241
Airmont,41.1009,-74.1163
Albany,42.6526,-73.7562
Albertson,40.7734,-73.6432
Albion,43.2464,-78.1936
Amityville,40.679,-73.4171
Amsterdam,42.9387,-74.1882
Arcade,42.534,-78.4231
Ardsley,41.0107,-73.8437
Arlington,41.6959,-73.8968
Auburn,42.9317,-76.5661
Babylon,40.6957,-73.3257
Baldwin,40.6565,-73.6093
Baldwin Harbor,40.6395,-73.6085
Baldwinsville,43.1587,-76.3327
Ballston Spa,43.0009,-73.849
Batavia,42.9981,-78.1875
Bath,42.337,-77.3178
Bay Shore,40.7251,-73.2454
Bay Wood,40.7501,-73.2912
Bayport,40.7384,-73.0507
Bayville,40.9107,-73.5621
Beacon,41.5048,-73.9696
Bellmore,40.6687,-73.5271
Bethpage,40.7443,-73.4821
Binghamton,42.0987,-75.918
Blauvelt,41.0634,-73.9576
Bohemia,40.7693,-73.1151
Boonville,43.4837,-75.3366
Brentwood,40.7812,-73.2462
Briarcliff Manor,41.1457,-73.8237
Bridgewater,42.8792,-75.251
Brighton,43.1476,-77.5506
Brockport,43.2137,-77.9392
Bronxville,40.9382,-73.8321
Buffalo,42.8864,-78.8784
Caledonia,42.9731,-77.8528
Calverton,40.9065,-72.7434
Camden,43.3345,-75.748
Canandaigua,42.8742,-77.288
Candor,42.2329,-76.3424
Canton,44.5956,-75.1691
Cape Vincent,44.1278,-76.333
Carle Place,40.7526,-73.6104
Carthage,43.9781,-75.6094
Cazenovia,42.9301,-75.8527
Cedarhurst,40.6229,-73.7243
Center Moriches,40.8004,-72.7898
Centereach,40.8584,-73.0996
Centerport,43.0409,-76.5927
Central Islip,40.7907,-73.2018
Chappaqua,41.1595,-73.7649
Cheektowaga,42.9034,-78.7548
Chestnut Ridge,41.0843,-74.0557
Clayton,44.2395,-76.0858
Cobleskill,42.6779,-74.4854
Cohoes,42.7742,-73.7001
Cold Spring Harbor,40.8715,-73.4568
Colonie,42.7179,-73.8335
Commack,40.8429,-73.2929
Congers,41.1507,-73.9454
Cooperstown,42.7006,-74.9243
Copiague,40.6815,-73.3998
Coram,40.8687,-73.0015
Corning,42.1429,-77.0547
Cortland,42.6012,-76.1805
Croton-on-Hudson,41.2084,-73.8913
Cuba,42.2176,-78.2753
Dannemora,44.7214,-73.7238
Dansville,42.5609,-77.6961
Deer Park,40.7618,-73.3293
Delhi,42.2781,-74.916
Delmar,42.622,-73.8326
Depew,42.9039,-78.6923
Deposit,42.0601,-75.4277
Dix Hills,40.8048,-73.3362
Dobbs Ferry,41.0145,-73.8726
Dover Plains,41.7412,-73.5765
Dunkirk,42.4795,-79.3339
East Aurora,42.7678,-78.6134
East Farmingdale,40.7293,-73.4168
East Glenville,42.8945,-73.9279
East Hills,40.7937,-73.6271
East Islip,40.732,-73.1857
East Massapequa,40.6734,-73.4365
East Meadow,40.714,-73.559
East Northport,40.8768,-73.3246
East Patchogue,40.767,-72.9962
East Rochester,43.1087,-77.4875
East Rockaway,40.642,-73.6696
East Setauket,40.9415,-73.1059
East Shoreham,40.9448,-72.8795
Eastchester,40.8876,-73.8329
Ellenville,41.717,-74.3957
Elmira,42.0898,-76.8077
Elmont,40.7009,-73.7129
Elwood,40.8454,-73.3351
Endicott,42.0984,-76.0494
Endwell,42.1129,-76.021
Esperance,42.7612,-74.2565
Fairmount,43.0473,-76.2385
Fairport,43.0987,-77.4419
Fairview,41.7237,-73.9199
Farmingdale,40.7326,-73.4454
Farmingville,40.8312,-73.0295
Firthcliffe,41.4393,-74.0451
Fishers Island,41.257,-72.024
Floral Park,40.7237,-73.7049
Fort Plain,42.9315,-74.6226
Fort Salonga,40.9126,-73.3009
Franklin Square,40.7073,-73.676
Franklinville,42.337,-78.4581
Fredonia,42.4401,-79.3317
Freeport,40.6576,-73.5832
Fulton,43.3228,-76.4172
Garden City,40.7268,-73.6343
Garden City Park,40.7409,-73.6626
Geneseo,42.7959,-77.8169
Geneva,42.869,-76.9777
Glen Cove,40.8623,-73.6337
Glens Falls,43.3095,-73.644
Gloversville,43.0528,-74.3438
Goshen,41.402,-74.3243
Gouverneur,44.3367,-75.463
Gowanda,42.4631,-78.9359
Granville,43.4078,-73.2596
Great Neck,40.8007,-73.7285
Great Neck Plaza,40.7868,-73.7265
Greece,43.2098,-77.6931
Greenlawn,40.869,-73.3651
Greenville,40.9932,-73.8199
Greenwich,43.0906,-73.4987
Hamburg,42.7159,-78.8295
Hamilton,42.827,-75.5446
Hammond,44.4489,-75.6941
Hampton Bays,40.869,-72.5176
Harrison,40.969,-73.7126
Harrisville,44.152,-75.321
Hartsdale,41.019,-73.7982
Hastings-on-Hudson,40.9945,-73.8787
Hauppauge,40.8257,-73.2026
Haverstraw,41.1976,-73.9646
Hawthorne,41.1073,-73.796
Hempstead,40.7062,-73.6187
Herkimer,43.0256,-74.986
Hewlett,40.6432,-73.6957
Hicksville,40.7684,-73.5251
Highland,41.7209,-73.9601
Hillcrest,41.1279,-74.041
Hilton,43.2881,-77.7933
Holbrook,40.8123,-73.0784
Holtsville,40.8154,-73.0451
Hoosick Falls,42.9012,-73.3515
Hornell,42.3278,-77.6611
Horseheads,42.167,-76.8205
Houghton,42.4234,-78.1572
Hudson,42.2529,-73.791
Hudson Falls,43.3006,-73.5859
Huntington,40.8682,-73.4257
Huntington Station,40.8534,-73.4115
Ilion,43.0151,-75.0354
Interlaken,42.617,-76.725
Inwood,40.8657,-73.9268
Irondequoit,43.2134,-77.5797
Irvington,41.0389,-73.8656
Islip,40.7298,-73.2104
Islip Terrace,40.7432,-73.1926
Ithaca,42.4406,-76.4966
Jamestown,42.097,-79.2353
Jericho,40.792,-73.5398
Johnson City,42.1156,-75.9588
Johnstown,43.0067,-74.3676
Keeseville,44.505,-73.4801
Kenmore,42.9659,-78.87
Kings Park,40.8862,-73.2573
Kings Point,40.8198,-73.7351
Kingston,41.927,-73.9974
Kiryas Joel,41.342,-74.1679
Lackawanna,42.8256,-78.8234
Lake Carmel,41.4615,-73.671
Lake Erie Beach,42.6242,-79.067
Lake Grove,40.8529,-73.1151
Lake Mohegan,41.3179,-73.8462
Lake Ronkonkoma,40.8351,-73.1312
Lakeview,42.432,-75.8655
Lancaster,42.9006,-78.6703
Larchmont,40.9279,-73.7518
Lawrence,40.6157,-73.7296
Levittown,40.7259,-73.5143
Lima,42.9048,-77.6114
Lindenhurst,40.6868,-73.3735
Livingston Manor,41.9004,-74.8282
Lockport,43.1706,-78.6903
Long Beach,40.5884,-73.6579
Lowville,43.7867,-75.4919
Lynbrook,40.6548,-73.6718
Mahopac,41.3723,-73.7335
Malone,44.8487,-74.2949
Malverne,40.679,-73.674
Mamaroneck,40.9487,-73.7326
Manhasset,40.7979,-73.6996
Manorhaven,40.8432,-73.7149
Manorville,42.1423,-74.036
Margaretville,42.1487,-74.6482
Massapequa,40.6807,-73.4743
Massapequa Park,40.6804,-73.4551
Massena,44.9281,-74.8919
Mastic,40.802,-72.8409
Mastic Beach,40.7668,-72.8521
Mattydale,43.0978,-76.1452
Mechanicstown,41.4429,-74.3885
Medford,40.8176,-73.0001
Medina,43.2201,-78.387
Medusa,42.4367,-74.1301
Melville,40.7934,-73.4151
Merrick,40.6629,-73.5515
Middle Island,40.8843,-72.9373
Middletown,41.4459,-74.4229
Miller Place,40.9598,-72.9962
Mineola,40.7493,-73.6407
Monroe,41.3307,-74.1868
Monsey,41.1112,-74.0685
Monticello,41.6556,-74.6893
Moravia,42.7126,-76.4216
Mount Ivy,41.1868,-74.0349
Mount Kisco,41.2043,-73.7271
Mount Sinai,40.947,-73.0295
Mount Vernon,40.9126,-73.8371
Myers Corner,41.6062,-73.8729
Nanuet,41.0887,-74.0135
Naples,42.6153,-77.4025
Narrowsburg,41.6087,-75.0618
Nesconset,40.852,-73.154
New Cassel,40.759,-73.5696
New City,41.1476,-73.9893
New Hyde Park,40.7351,-73.6879
New Paltz,41.7476,-74.0868
New Rochelle,40.9115,-73.7824
New Square,41.1368,-74.0379
New Windsor,41.4768,-74.0238
New York,40.7143,-74.006
Newark,43.0467,-77.0953
Newburgh,41.5034,-74.0104
Niagara Falls,43.0945,-79.0567
Niverville,42.4409,-73.6609
North Amityville,40.6976,-73.4251
North Babylon,40.7165,-73.3218
North Bay Shore,40.7362,-73.2626
North Bellmore,40.6915,-73.5335
North Bellport,40.7743,-72.9429
North Gates,43.1764,-77.7014
North Lindenhurst,40.7143,-73.3815
North Massapequa,40.7009,-73.4621
North Merrick,40.6912,-73.5632
North New Hyde Park,40.7432,-73.6932
North Patchogue,40.787,-73.009
North Sea,40.9329,-72.4143
North Syracuse,43.1348,-76.1299
North Tonawanda,43.0387,-78.8642
North Valley Stream,40.6851,-73.7018
North Wantagh,40.6934,-73.5076
Northport,40.9009,-73.3432
Northville,43.2256,-74.1721
Norwich,42.5312,-75.5235
Nunda,42.5795,-77.9425
Nyack,41.0907,-73.9179
Oakdale,42.2512,-73.7801
Oceanside,40.6387,-73.6401
Ogdensburg,44.6942,-75.4863
Old Bethpage,40.7626,-73.4532
Olean,42.0776,-78.4297
Oneida,43.0926,-75.6513
Oneonta,42.4529,-75.0638
Orange Lake,41.5398,-74.0982
Ossining,41.1629,-73.8615
Oswego,43.4553,-76.5105
Oyster Bay,40.8657,-73.5321
Panama,42.0751,-79.4831
Patchogue,40.7657,-73.0151
Pearl River,41.059,-74.0218
Peekskill,41.2901,-73.9204
Pelham,40.9098,-73.8079
Pelham Manor,40.8954,-73.8071
Penn Yan,42.6609,-77.0539
Philadelphia,44.1545,-75.7088
Phoenicia,42.0848,-74.3154
Pine Plains,41.9798,-73.656
Plainedge,40.7173,-73.4837
Plainview,40.7765,-73.4673
Plattsburgh,44.6995,-73.4529
Pleasantville,41.1329,-73.7926
Port Chester,41.0018,-73.6657
Port Henry,44.0484,-73.4598
Port Jefferson,40.9465,-73.0693
Port Jefferson Station,40.9254,-73.0473
Port Jervis,41.3751,-74.6927
Port Washington,40.8257,-73.6982
Potsdam,44.6698,-74.9813
Poughkeepsie,41.7004,-73.921
Pulaski,43.567,-76.1277
Randolph,42.162,-78.9753
Remsen,43.327,-75.1868
Rensselaer,42.6426,-73.7429
Ridge,40.894,-72.8959
Riverhead,40.917,-72.662
Rochester,43.1548,-77.6156
Rockville Centre,40.6587,-73.6412
Rocky Point,40.9526,-72.9254
Rome,43.2128,-75.4557
Ronkonkoma,40.8154,-73.1123
Roosevelt,40.6787,-73.589
Roslyn Heights,40.7887,-73.6474
Rotterdam,42.787,-73.971
Rouses Point,44.9939,-73.3649
Rye,40.9807,-73.6837
Rye Brook,41.0193,-73.6835
Saint James,40.879,-73.1568
Salamanca,42.1578,-78.715
Salisbury,40.7457,-73.5601
Saranac Lake,44.3295,-74.1313
Saratoga Springs,43.0831,-73.7846
Sayville,40.7359,-73.0821
Scarsdale,41.0051,-73.7846
Schenectady,42.8142,-73.9396
Scotchtown,41.4815,-74.3602
Scotia,42.8265,-73.9643
Sea Cliff,40.849,-73.6449
Seaford,40.6659,-73.4882
Searingtown,40.7748,-73.6557
Selden,40.8665,-73.0357
Seneca Falls,42.9106,-76.7966
Shirley,40.8015,-72.8676
Sidney,42.3148,-75.3916
Sleepy Hollow,41.0857,-73.8585
Smithtown,40.8559,-73.2007
Sodus,43.2378,-77.0614
Solvay,43.0581,-76.2074
Sound Beach,40.9562,-72.9679
South Farmingdale,40.7207,-73.4401
South Hill,42.4292,-76.4949
South Huntington,40.8237,-73.3987
South Lockport,43.1501,-78.6967
South Valley Stream,40.6559,-73.7176
Southold,41.0648,-72.4262
Southport,42.0548,-76.8191
Speculator,43.4973,-74.3618
Spring Valley,41.1132,-74.0438
Springs,41.0162,-72.1592
Springville,42.5084,-78.6673
Stamford,42.4073,-74.6143
Star Lake,44.1598,-75.0316
Stony Brook,40.9257,-73.1409
Stony Point,41.2295,-73.9871
Suffern,41.1148,-74.1496
Sylvan Beach,42.4648,-77.1083
Syosset,40.8262,-73.5021
Syracuse,43.0481,-76.1474
Tappan,41.022,-73.9474
Tarrytown,41.0762,-73.8587
Terryville,40.909,-73.0651
Thornwood,41.1234,-73.779
Ticonderoga,43.8487,-73.4235
Tonawanda,43.0203,-78.8803
Troy,42.7284,-73.6918
Tuckahoe,40.9504,-73.8274
Tully,42.7981,-76.1094
Tupper Lake,44.2239,-74.4641
Uniondale,40.7004,-73.5929
Utica,43.1009,-75.2327
Valhalla,41.0748,-73.7751
Valley Cottage,41.1182,-73.9554
Valley Stream,40.6643,-73.7085
Viola,41.1365,-74.0824
Waddington,44.8645,-75.2041
Wading River,40.9504,-72.8426
Walden,41.5612,-74.1885
Walton,42.1695,-75.1293
Wantagh,40.6837,-73.5101
Wappingers Falls,41.5965,-73.911
Warrensburg,43.4967,-73.7762
Warsaw,42.7401,-78.1328
Warwick,41.2565,-74.3599
Washingtonville,41.4279,-74.166
Waterloo,42.9048,-76.8627
Watertown,43.9748,-75.9108
Watervliet,42.7301,-73.7012
Watkins Glen,42.3806,-76.8733
Waverly,42.0104,-76.5272
Webster,43.2123,-77.43
Wellsville,42.122,-77.9481
Wesley Hills,41.1593,-74.0699
West Albany,42.6831,-73.7785
West Babylon,40.7182,-73.3543
West Elmira,42.0781,-76.8452
West Glens Falls,43.3001,-73.684
West Haverstraw,41.2095,-73.9854
West Hempstead,40.7048,-73.6501
West Hills,40.8162,-73.4323
West Islip,40.7062,-73.3062
West Point,41.3915,-73.956
West Sayville,40.7279,-73.0976
West Seneca,42.8501,-78.7998
Westbury,40.7557,-73.5876
Westfield,42.3223,-79.5781
Westmere,42.6912,-73.8687
White Plains,41.034,-73.7629
Whitehall,43.5556,-73.4037
Williamsville,42.9639,-78.7378
Williston Park,40.7565,-73.6449
Wolcott,43.2206,-76.815
Woodbury,40.8257,-73.4676
Woodmere,40.632,-73.7126
Wyandanch,40.754,-73.3604
Yaphank,40.8368,-72.917
Yonkers,40.9312,-73.8988
Yorktown Heights,41.2709,-73.7776
