<SIZE>335
<LANG>EN
<STATE>Ohio,OH
Aberdeen,38.6556,-83.761
Ada,40.7695,-83.8227
Akron,41.0814,-81.519
Alliance,40.9153,-81.1059
Amherst,41.3978,-82.2224
Andover,41.6067,-80.5723
Ashland,40.8687,-82.3182
Ashtabula,41.8651,-80.7898
Athens,39.3292,-82.1013
Aurora,41.3176,-81.3454
Austintown,41.1017,-80.7645
Avon,41.4517,-82.0354
Avon Center,41.4598,-82.0196
Avon Lake,41.5053,-82.0282
Baltic,40.4401,-81.699
Barberton,41.0128,-81.6051
Barnesville,39.9881,-81.1765
Bay Village,41.4848,-81.9221
Beachwood,41.4645,-81.5087
Beavercreek,39.7092,-84.0633
Beckett Ridge,39.347,-84.4352
Bedford,41.3931,-81.5365
Bedford Heights,41.417,-81.5273
Bellbrook,39.6356,-84.0708
Bellefontaine,40.3612,-83.7597
Bellevue,41.2737,-82.8416
Belpre,39.274,-81.5729
Berea,41.3662,-81.8543
Beverly,39.5479,-81.6396
Bexley,39.969,-82.9377
Blacklick Estates,39.9051,-82.8643
Blanchester,39.2931,-83.9888
Blue Ash,39.232,-84.3783
Boardman,41.0242,-80.6628
Bowling Green,41.3748,-83.6513
Brecksville,41.3198,-81.6268
Broadview Heights,41.3139,-81.6851
Brook Park,41.3984,-81.8046
Brooklyn,41.4398,-81.7354
Brookville,39.8367,-84.4113
Brunswick,41.2381,-81.8418
Bryan,41.4748,-84.5525
Bucyrus,40.8084,-82.9755
Cadiz,40.2728,-80.9968
Caldwell,39.7479,-81.5165
Cambridge,40.0312,-81.5885
Campbell,41.0784,-80.5992
Canal Fulton,40.8898,-81.5976
Canal Winchester,39.8428,-82.8046
Canfield,41.0251,-80.7609
Canton,40.7989,-81.3784
Carlisle,39.582,-84.3202
Carrollton,40.5728,-81.0857
Celina,40.5489,-84.5702
Centerburg,40.3045,-82.6963
Centerville,39.6284,-84.1594
Chardon,41.6142,-81.149
Chesapeake,38.4279,-82.4571
Cheviot,39.157,-84.6133
Chillicothe,39.3331,-82.9824
Cincinnati,39.162,-84.4569
Circleville,39.6006,-82.946
Clarksburg,39.5053,-83.1532
Clayton,39.8631,-84.3605
Cleveland,41.4995,-81.6954
Cleveland Heights,41.5201,-81.5562
Clyde,41.3042,-82.9752
Columbiana,40.8884,-80.694
Columbus,39.9612,-82.9988
Conneaut,41.9476,-80.5542
Continental,41.1003,-84.2663
Coolville,39.2217,-81.7974
Cortland,41.3303,-80.7254
Coshocton,40.272,-81.8596
Covedale,39.1212,-84.6063
Crown City,38.5909,-82.2829
Cuyahoga Falls,41.1339,-81.4846
Dayton,39.7589,-84.1916
Deer Park,39.2053,-84.3947
Defiance,41.2845,-84.3558
Delaware,40.2987,-83.068
Delphos,40.8434,-84.3416
Dent,39.1859,-84.6513
Deshler,41.2076,-83.8991
Dover,40.5206,-81.474
Dresden,40.1215,-82.0107
Dry Run,39.1042,-84.3305
Dublin,40.0992,-83.1141
East Cleveland,41.5331,-81.579
East Liverpool,40.6187,-80.5773
Eastlake,41.6539,-81.4504
Eaton,39.7439,-84.6366
Eaton Estates,41.3089,-82.0057
Edon,41.5564,-84.7688
Elyria,41.3684,-82.1077
Englewood,39.8776,-84.3022
Euclid,41.5931,-81.5268
Fairborn,39.8209,-84.0194
Fairfield,39.3459,-84.5605
Fairlawn,41.1278,-81.6098
Fairview Park,41.4414,-81.8643
Findlay,41.0442,-83.6499
Finneytown,39.2003,-84.5205
Forest Park,39.2903,-84.5041
Forestville,39.0751,-84.3449
Fort Recovery,40.4128,-84.7764
Fostoria,41.157,-83.4169
Franklin,39.5589,-84.3041
Freeport,40.2106,-81.2662
Fremont,41.3503,-83.1219
Gahanna,40.0192,-82.8793
Galion,40.7337,-82.7899
Gallipolis,38.8098,-82.2024
Garfield Heights,41.417,-81.606
Geneva,39.662,-82.4335
Georgetown,38.8645,-83.9041
Germantown,39.6262,-84.3694
Girard,41.1539,-80.7015
Grafton,41.2726,-82.0546
Grandview Heights,39.9798,-83.0407
Granville,40.0681,-82.5196
Green,40.9459,-81.4832
Greenfield,39.352,-83.3827
Greenville,40.1028,-84.633
Groesbeck,39.2231,-84.5869
Grove City,39.8815,-83.093
Hamilton,39.3995,-84.5613
Harrison,39.262,-84.82
Heath,40.0228,-82.4446
Hicksville,41.2931,-84.7619
Highland Heights,41.552,-81.4785
Hilliard,40.0334,-83.1582
Hillsboro,39.2023,-83.6116
Howland Center,41.2512,-80.7454
Hubbard,41.1564,-80.5692
Huber Heights,39.8439,-84.1247
Hudson,41.2401,-81.4407
Huron,41.3951,-82.5552
Independence,41.3687,-81.6379
Ironton,38.5367,-82.6829
Jackson,39.052,-82.6366
Kent,41.1537,-81.3579
Kenton,40.647,-83.6096
Kenwood,39.2106,-84.3672
Kettering,39.6895,-84.1688
Kirtland,41.6289,-81.3615
Lakewood,41.482,-81.7982
Lancaster,39.7137,-82.5993
Landen,39.312,-84.283
Laurelville,39.4734,-82.7393
Lebanon,39.4353,-84.203
Lima,40.7425,-84.1052
Lincoln Village,39.9548,-83.1307
Logan,39.5401,-82.4071
London,39.8864,-83.4482
Lorain,41.4528,-82.1824
Loudonville,40.6353,-82.2332
Louisville,40.8373,-81.2596
Loveland,39.2689,-84.2638
Lyndhurst,41.5201,-81.4887
Macedonia,41.3137,-81.5085
Madeira,39.1909,-84.3635
Mansfield,40.7584,-82.5154
Maple Heights,41.4153,-81.566
Marietta,39.4154,-81.4548
Marion,40.5887,-83.1285
Martins Ferry,40.0959,-80.7245
Marysville,40.2365,-83.3671
Mason,39.3601,-84.3099
Massillon,40.7967,-81.5215
Maumee,41.5628,-83.6538
Mayfield Heights,41.5192,-81.4579
McConnelsville,39.6487,-81.8532
Medina,41.1384,-81.8637
Mentor,41.6662,-81.3396
Mentor-on-the-Lake,41.705,-81.3604
Miamisburg,39.6428,-84.2866
Middleburg Heights,41.3614,-81.8129
Middleport,39.0017,-82.0488
Middletown,39.5151,-84.3983
Milford,39.1753,-84.2944
Millersburg,40.5545,-81.9179
Monroe,39.4403,-84.3622
Montgomery,39.2281,-84.3541
Moraine,39.7062,-84.2194
Moscow,38.857,-84.2291
Mount Gilead,40.5492,-82.8274
Mount Healthy,39.2337,-84.5458
Mount Sterling,39.7195,-83.2652
Mount Vernon,40.3934,-82.4857
Mowrystown,39.0384,-83.7485
Munroe Falls,41.1445,-81.4398
Napoleon,41.3923,-84.1252
Nelsonville,39.4587,-82.2318
New Albany,40.0812,-82.8088
New Carlisle,39.9362,-84.0255
New Lexington,39.714,-82.2085
New London,41.0851,-82.3999
New Matamoras,39.5245,-81.0671
New Philadelphia,40.4898,-81.4457
Newark,40.0581,-82.4013
Newcomerstown,40.2723,-81.606
Niles,41.1828,-80.7654
North Canton,40.8759,-81.4023
North College Hill,39.2184,-84.5508
North Madison,41.802,-81.049
North Olmsted,41.4156,-81.9235
North Ridgeville,41.3895,-82.019
North Royalton,41.3137,-81.7246
Northbrook,39.2464,-84.5836
Northgate,39.2528,-84.5924
Northridge,39.8076,-84.1969
Northwood,40.4728,-83.7324
Norton,41.0292,-81.6382
Norwalk,41.2426,-82.6157
Norwood,39.1556,-84.4597
Oak Hill,40.4142,-82.241
Oakwood,39.7253,-84.1741
Oberlin,41.2939,-82.2174
Olmsted Falls,41.375,-81.9082
Ontario,40.7595,-82.5902
Oregon,41.6437,-83.4869
Orrville,40.8437,-81.764
Orwell,41.5351,-80.8681
Osgood,40.3398,-84.4952
Ottawa,41.0192,-84.0472
Otway,38.8665,-83.1874
Oxford,39.507,-84.7452
Painesville,41.7245,-81.2457
Parma,41.4048,-81.7229
Parma Heights,41.3901,-81.7596
Pataskala,39.9956,-82.6743
Paulding,41.1381,-84.5805
Peebles,38.949,-83.4057
Pepper Pike,41.4784,-81.4637
Perry Heights,40.7953,-81.4734
Perrysburg,41.557,-83.6272
Pickerington,39.8842,-82.7535
Pioneer,41.68,-84.553
Piqua,40.1448,-84.2424
Pleasant Run,39.2998,-84.5636
Port Clinton,41.512,-82.9377
Portage Lakes,41.0073,-81.5271
Portsmouth,38.7317,-82.9977
Powell,40.1578,-83.0752
Powhatan Point,39.8601,-80.8154
Ravenna,41.1576,-81.2421
Reading,39.2237,-84.4422
Reynoldsburg,39.9548,-82.8121
Richmond Heights,41.5528,-81.5101
Richwood,40.4264,-83.2969
Rittman,40.9781,-81.7821
Riverside,39.7798,-84.1241
Rocky River,41.4756,-81.8393
Rossford,41.6098,-83.5644
Saint Marys,40.5423,-84.3894
Salem,40.9009,-80.8568
Salineville,40.6226,-80.8379
Sandusky,41.4489,-82.708
Seven Hills,41.3953,-81.6762
Shaker Heights,41.4739,-81.5371
Sharonville,39.2681,-84.4133
Sheffield Lake,41.4875,-82.1015
Shelby,40.8814,-82.6618
Shiloh,39.8187,-84.2286
Sidney,40.2842,-84.1555
Solon,41.3898,-81.4412
South Euclid,41.5231,-81.5185
South Solon,39.7378,-83.6133
Springboro,39.5523,-84.2333
Springdale,39.287,-84.4852
Springfield,39.9242,-83.8088
Steubenville,40.3698,-80.634
Stout,38.664,-83.3791
Stow,41.1595,-81.4404
Streetsboro,41.2392,-81.3459
Strongsville,41.3145,-81.8357
Struthers,41.0526,-80.6078
Summerside,39.1048,-84.2883
Sylvania,41.7189,-83.713
Tallmadge,41.1014,-81.4418
Indian Hill,39.2498,-84.2958
Tiffin,41.1145,-83.178
Tipp City,39.9584,-84.1722
Toledo,41.6639,-83.5552
Toronto,40.4642,-80.6009
Trenton,39.4809,-84.4577
Trotwood,39.7973,-84.3113
Troy,40.0395,-84.2033
Twinsburg,41.3126,-81.4401
Uhrichsville,40.3931,-81.3465
Union,39.8978,-84.3063
University Heights,41.4978,-81.5373
Upper Arlington,39.9945,-83.0624
Upper Sandusky,40.8273,-83.2813
Urbana,40.1084,-83.7524
Van Wert,40.8695,-84.5841
Vandalia,39.8906,-84.1988
Vermilion,41.422,-82.3646
Vermilion-on-the-Lake,41.4284,-82.3238
Vinton,38.9765,-82.3415
Wadsworth,41.0256,-81.7299
Wapakoneta,40.5678,-84.1936
Warren,41.2376,-80.8184
Warrensville Heights,41.4351,-81.5362
Washington Court House,39.5364,-83.4391
Waterville,41.5009,-83.7183
Wauseon,41.5492,-84.1416
Waverly,39.1267,-82.9855
Wellston,39.1234,-82.5329
West Carrollton City,39.6723,-84.2522
West Salem,40.9714,-82.1099
West Union,38.7945,-83.5452
Westerville,40.1262,-82.9291
Westlake,41.4553,-81.9179
Wheelersburg,38.7304,-82.8554
White Oak,39.2131,-84.5994
Whitehall,39.9667,-82.8855
Wickliffe,41.6053,-81.4534
Willard,41.0531,-82.7263
Williamsburg,39.0542,-84.053
Willoughby,41.6398,-81.4065
Willoughby Hills,41.5984,-81.4184
Willowick,41.6331,-81.4687
Willshire,40.7487,-84.7911
Wilmington,39.4453,-83.8285
Woodsfield,39.7626,-81.1154
Woodville,41.4514,-83.3658
Wooster,40.8051,-81.9351
Worthington,40.0931,-83.018
Wyoming,39.2312,-84.4658
Xenia,39.6848,-83.9296
Youngstown,41.0998,-80.6495
Zaleski,39.2823,-82.3949
Zanesville,39.9403,-82.0132
