<SIZE>206
<LANG>EN
<STATE>Oklahoma,OK
Ada,34.7745,-96.6783
Allen,34.879,-96.4125
Altus,34.6381,-99.334
Alva,36.805,-98.6665
Anadarko,35.0726,-98.2437
Antlers,34.2312,-95.6202
Apache,34.8937,-98.3659
Ardmore,34.1743,-97.1436
Atoka,34.3859,-96.1283
Bartlesville,36.7473,-95.9808
Beaver,36.8161,-100.52
Bethany,35.5187,-97.6323
Bixby,35.942,-95.8833
Blackwell,36.8045,-97.2828
Boise City,36.7295,-102.513
Bokchito,34.0173,-96.1428
Bokoshe,35.1865,-94.7858
Boswell,34.0273,-95.8691
Boynton,35.6487,-95.6561
Bristow,35.8306,-96.3911
Broken Arrow,36.0526,-95.7908
Broken Bow,34,-94.7
Buffalo,36.8356,-99.6304
Cache,34.6295,-98.6287
Canton,36.0536,-98.5884
Carnegie,35.1037,-98.6037
Cashion,35.7981,-97.6787
Catoosa,36.189,-95.7458
Chandler,35.7017,-96.8809
Chattanooga,34.4229,-98.6565
Checotah,35.4701,-95.523
Chelsea,36.5356,-95.4325
Cherokee,36.7545,-98.3567
Cheyenne,35.6139,-99.6715
Chickasha,35.0526,-97.9364
Choctaw,35.4976,-97.2689
Claremore,36.3126,-95.6161
Clayton,34.5895,-95.3527
Clinton,35.5156,-98.9673
Cordell,35.2906,-98.9884
Coweta,35.9518,-95.6508
Cushing,35.9851,-96.767
Del City,35.442,-97.4409
Dibble,35.0334,-97.6298
Duke,34.6615,-99.5701
Duncan,34.5023,-97.9578
Durant,33.994,-96.3708
Eakly,35.3053,-98.5578
Edmond,35.6528,-97.4781
El Reno,35.5323,-97.955
Eldorado,34.472,-99.6481
Elk City,35.412,-99.4043
Elmore City,34.6229,-97.3964
Enid,36.3956,-97.8784
Erick,35.2153,-99.8665
Etowah,35.127,-97.1689
Evening Shade,35.6245,-94.9286
Fairfax,36.5737,-96.7042
Fairview,36.2689,-98.4798
Fargo,36.3761,-99.6237
Fort Supply,36.5736,-99.5723
Fort Towson,34.0187,-95.2663
Frederick,34.392,-99.0184
Freedom,36.7689,-99.1129
Garber,36.437,-97.5856
Gate,36.8534,-100.055
Glenpool,35.9554,-96.0089
Gore,35.5293,-95.1172
Gotebo,35.0703,-98.8723
Grandfield,34.2284,-98.6845
Grove,36.5937,-94.7691
Guthrie,35.8789,-97.4253
Guymon,36.6828,-101.482
Hammon,35.6328,-99.3818
Hardesty,36.6164,-101.191
Harrah,35.4895,-97.1636
Hartshorne,34.8451,-95.5575
Healdton,34.2331,-97.4878
Helena,36.5461,-98.2701
Hennessey,36.1092,-97.8987
Henryetta,35.4398,-95.9819
Hinton,35.4714,-98.3556
Hobart,35.0295,-99.0931
Holdenville,35.0804,-96.3992
Hollis,34.6884,-99.912
Hominy,36.4142,-96.3953
Hooker,36.86,-101.213
Hugo,34.0107,-95.5097
Idabel,33.8957,-94.8263
Indianola,35.1629,-95.7747
Inola,36.1512,-95.5094
Jenks,36.0229,-95.9683
Jennings,36.1812,-96.5697
Kansas,36.2051,-94.7977
Kemp,33.7695,-96.3542
Keyes,36.8097,-102.255
Kingfisher,35.8614,-97.9317
Kiowa,34.7206,-95.8992
Konawa,34.9595,-96.7528
Lamont,36.6906,-97.5564
Langley,36.464,-95.0477
Laverne,36.7098,-99.8935
Lawton,34.6087,-98.3903
