<SIZE>160
<LANG>EN
<STATE>Oregon,OR
Adams,45.7674,-118.562
Adrian,43.7407,-117.072
Albany,44.6365,-123.106
Aloha,45.4943,-122.867
Altamont,42.2068,-121.737
Antelope,44.9107,-120.723
Arlington,45.7168,-120.201
Ashland,42.1946,-122.709
Astoria,46.1879,-123.831
Baker City,44.7749,-117.834
Beaverton,45.4871,-122.804
Bend,44.0582,-121.315
Boardman,45.8399,-119.701
Bonanza,42.1988,-121.406
Brookings,42.0526,-124.284
Burns,43.5863,-119.054
Butte Falls,42.5432,-122.566
Canby,45.2629,-122.693
Cascade Locks,45.6698,-121.891
Cave Junction,42.1629,-123.648
Cedar Hills,45.5048,-122.798
Cedar Mill,45.5248,-122.811
Central Point,42.376,-122.916
Chiloquin,42.5776,-121.866
Clackamas,45.4076,-122.57
Clatskanie,46.1012,-123.207
Condon,45.2343,-120.185
Coos Bay,43.3665,-124.218
Coquille,43.1771,-124.188
Cornelius,45.5198,-123.06
Corvallis,44.5646,-123.262
Cottage Grove,43.7976,-123.06
Dallas,44.9193,-123.317
Danner,43,-117.3
Dayville,44.4682,-119.536
Deschutes River Woods,43.9915,-121.358
Detroit,44.734,-122.15
Eagle Point,42.4726,-122.803
Elgin,45.5649,-117.917
Elkton,43.6376,-123.568
Enterprise,45.4263,-117.279
Eugene,44.0521,-123.087
Fairview,45.5385,-122.434
Florence,43.9826,-124.1
Forest Grove,45.5198,-123.111
Fossil,44.9982,-120.216
Four Corners,44.9279,-122.984
Gladstone,45.3807,-122.595
Glendale,42.7362,-123.423
Gold Beach,42.4073,-124.422
Grants Pass,42.439,-123.328
Grass Valley,45.3601,-120.786
Green,43.1604,-123.368
Gresham,45.4982,-122.431
Halfway,44.8807,-117.115
Happy Valley,45.4468,-122.53
Hayesville,44.986,-122.983
Heppner,45.3532,-119.558
Hermiston,45.8404,-119.289
Hillsboro,45.5229,-122.99
Hood River,45.7054,-121.521
Huntington,44.3513,-117.267
Independence,44.8512,-123.187
Ione,45.5012,-119.825
Jennings Lodge,45.3912,-122.613
John Day,44.416,-118.953
Jordan Valley,42.974,-117.054
Junction City,44.2193,-123.206
Keizer,44.9901,-123.026
Klamath Falls,42.2249,-121.782
La Grande,45.3246,-118.088
La Pine,43.6704,-121.504
Lake Oswego,45.4207,-122.671
Lakeview,42.1888,-120.346
Lebanon,44.5365,-122.907
Lincoln City,44.9582,-124.018
Lonerock,45.089,-119.883
Long Creek,44.714,-119.104
Lowell,43.9185,-122.784
Madras,44.6335,-121.129
Manzanita,45.7184,-123.935
McMinnville,45.2101,-123.199
Medford,42.3265,-122.876
Merrill,42.0252,-121.601
Mill City,44.754,-122.478
Milton-Freewater,45.9326,-118.388
Milwaukie,45.4462,-122.639
Mitchell,44.5665,-120.153
Molalla,45.1473,-122.577
Monmouth,44.8485,-123.234
Monument,44.8193,-119.421
Mount Hood Village,45.3554,-121.981
Newberg,45.3001,-122.973
Newport,44.6368,-124.053
North Bend,43.4065,-124.224
North Powder,45.0285,-117.92
Oak Grove,45.4168,-122.64
Oak Hills,45.5412,-122.841
Oakridge,43.7465,-122.462
Ontario,44.0266,-116.963
Oregon City,45.3573,-122.607
Pacific City,45.2023,-123.963
Paisley,42.6938,-120.546
Parkdale,45.5198,-121.597
Pendleton,45.6721,-118.789
Pilot Rock,45.4832,-118.83
Pine Hollow,45.2429,-121.295
Port Orford,42.7457,-124.497
Portland,45.5235,-122.676
Powers,42.8834,-124.073
Prairie City,44.4632,-118.71
Prineville,44.2998,-120.834
Rainier,46.089,-122.936
Raleigh Hills,45.4807,-122.762
Redmond,44.2726,-121.174
Redwood,42.4221,-123.387
Reedsport,43.7023,-124.097
Rockcreek,45.5501,-122.877
Roseburg,43.2165,-123.342
Saint Helens,45.864,-122.806
Salem,44.9429,-123.035
Sandy,45.3973,-122.261
Scappoose,45.7543,-122.878
Seaside,45.9932,-123.923
Seneca,44.1346,-118.972
Sheridan,45.0993,-123.395
Sherwood,45.3565,-122.84
Silverton,45.0051,-122.783
Sisters,44.291,-121.549
Spray,44.8343,-119.794
Springfield,44.0462,-123.022
Stayton,44.8007,-122.795
Sumpter,44.7457,-118.202
Sunnyside,45.4268,-122.528
Sutherlin,43.3901,-123.313
Sweet Home,44.3976,-122.736
Talent,42.2457,-122.789
The Dalles,45.5946,-121.179
Tigard,45.4312,-122.771
Tillamook,45.4562,-123.844
Tri-City,42.9846,-123.312
Troutdale,45.5393,-122.387
Tualatin,45.384,-122.764
Ukiah,45.134,-118.932
Umatilla,45.9174,-119.343
Union,45.2085,-117.865
Unity,44.4374,-118.193
Vale,43.9821,-117.238
Veneta,44.0487,-123.351
Vernonia,45.8587,-123.193
Waldport,44.4268,-124.069
Wallowa,45.5701,-117.528
Wasco,45.5918,-120.698
West Haven,45.5176,-122.77
West Linn,45.3657,-122.612
West Slope,45.4987,-122.765
White City,42.4373,-122.859
Wilsonville,45.2998,-122.774
Woodburn,45.1437,-122.855
Yoncalla,43.5985,-123.283
