<SIZE>323
<LANG>EN
<STATE>Pennsylvania,PA
Aliquippa,40.6367,-80.2401
Allentown,40.6084,-75.4902
Altoona,40.5187,-78.3947
Ambler,40.1546,-75.2216
Ambridge,40.5892,-80.2251
Archbald,41.4948,-75.5368
Ardmore,40.0068,-75.2855
Arlington Heights,40.9901,-75.2163
Arnold,40.5801,-79.7667
Audubon,40.1279,-75.4319
Back Mountain,41.3359,-75.9963
Baldwin,40.3381,-79.9789
Bangor,40.8657,-75.2066
Beaver Falls,40.752,-80.3192
Bedford,40.0187,-78.5039
Bedminster,40.4259,-75.1791
Bellefonte,40.9134,-77.7783
Bellevue,40.494,-80.0517
Benton,41.1951,-76.3836
Berwick,41.0545,-76.2333
Bethel Park,40.3276,-80.0395
Bethlehem,40.6259,-75.3705
Birdsboro,40.2645,-75.8041
Blain,40.3384,-77.5125
Blakely,41.4809,-75.5946
Bloomsburg,41.0037,-76.4549
Blue Bell,40.1523,-75.2663
Boothwyn,39.8301,-75.4416
Bradford,41.9559,-78.6439
Brentwood,40.3706,-79.9748
Bridgeville,40.3562,-80.1101
Bristol,40.1007,-74.8518
Brookhaven,39.8693,-75.3824
Brookville,41.1612,-79.0831
Broomall,39.9815,-75.3566
Bryn Mawr,40.304,-80.0867
Burgettstown,40.382,-80.3928
Butler,40.8612,-79.8953
California,40.0656,-79.8917
Camp Hill,40.2398,-76.92
Canadohta Lake,41.8137,-79.8348
Canonsburg,40.2626,-80.1873
Canton,41.6565,-76.8533
Carbondale,41.5737,-75.5019
Carlisle,40.2015,-77.1889
Carnegie,40.4087,-80.0834
Castle Shannon,40.3648,-80.0223
Catasauqua,40.6548,-75.4746
Central City,40.1106,-78.802
Chambersburg,39.9376,-77.6611
Chester,39.8496,-75.3557
Clairton,40.2923,-79.8817
Clarence,41.0481,-77.9403
Clarion,41.2148,-79.3853
Clearfield,41.0273,-78.4392
Clifton Heights,39.9293,-75.2963
Coatesville,39.9832,-75.8238
Collingdale,39.9118,-75.2771
Colonial Park,40.3006,-76.8097
Columbia,40.0337,-76.5044
Confluence,39.8129,-79.3567
Connellsville,40.0179,-79.5895
Conshohocken,40.0793,-75.3016
Coraopolis,40.5184,-80.1667
Corry,41.9203,-79.6403
Coudersport,41.7748,-78.0206
Crafton,40.4351,-80.0662
Croydon,40.0873,-74.9035
Darby,39.9184,-75.2591
Dickson City,41.4715,-75.6077
Donegal,40.1126,-79.3825
Donora,40.1734,-79.8575
Dormont,40.3959,-80.0331
Downingtown,40.0065,-75.7033
Doylestown,40.1976,-77.7214
Drexel Hill,39.9471,-75.2921
Driftwood,41.3398,-78.1342
Du Bois,41.1192,-78.76
Dunmore,41.4198,-75.6324
Duquesne,40.3815,-79.8598
Dushore,41.5242,-76.4008
East Brady,40.9859,-79.6131
East Norriton,40.1518,-75.3366
East Stroudsburg,40.9995,-75.1813
East York,39.9737,-76.6864
Easton,40.6884,-75.2207
Economy,40.6001,-80.2248
Edinboro,41.8742,-80.1317
Elizabethtown,40.1529,-76.6027
Elkland,41.9862,-77.3108
Ellwood City,40.8617,-80.2865
Emlenton,41.1773,-79.7078
Emmaus,40.5395,-75.4968
Emporium,41.5115,-78.2353
Enola,40.2901,-76.9339
Ephrata,40.1798,-76.1788
Erie,42.1292,-80.0851
Exeter,41.3206,-75.8191
Exton,40.029,-75.6208
Fairless Hills,40.1796,-74.8552
Farrell,41.2123,-80.4967
Fernway,40.6948,-80.1309
Folcroft,39.8909,-75.2838
Folsom,39.8898,-75.3252
Forest Hills,40.4198,-79.8501
Fox Chapel,40.5134,-79.8798
Franklin,41.3978,-79.8314
Franklin Park,40.5834,-80.0878
Fullerton,40.6318,-75.4732
Galeton,41.7331,-77.6419
Gettysburg,39.8309,-77.2311
Girard,42.0003,-80.3181
Glenolden,39.9001,-75.2891
Glenside,40.1023,-75.1521
Greensburg,40.3015,-79.5389
Greenville,41.4045,-80.3912
Grove City,41.1578,-80.0887
Hanover,39.8007,-76.983
Harleysville,40.2795,-75.3871
Harrisburg,40.2737,-76.8844
Hartleton,40.9006,-77.1561
Hatboro,40.1743,-75.1068
Hazleton,40.9584,-75.9746
Hellertown,40.5795,-75.3407
Hermitage,41.2334,-80.4487
Hershey,40.2859,-76.6502
Hollidaysburg,40.4273,-78.3889
Honesdale,41.5768,-75.2588
Horsham,40.1784,-75.1285
Hughesville,41.2412,-76.7238
Huntingdon,40.4848,-78.0103
Hyndman,39.8231,-78.7181
Indiana,40.6215,-79.1525
Irvona,40.7745,-78.5534
Jeannette,40.3281,-79.6153
Jefferson,40.2912,-79.932
Johnstown,40.3267,-78.922
Kane,41.6628,-78.8111
Kennett Square,39.8468,-75.7116
King of Prussia,40.0893,-75.396
Kingston,41.2617,-75.8969
Kittanning,40.8165,-79.522
Kulpsville,40.2429,-75.3366
Kutztown,40.5173,-75.7774
Laceyville,41.6459,-76.1613
Lancaster,40.0379,-76.3055
Lansdale,40.2415,-75.2838
Lansdowne,39.9382,-75.2719
Latrobe,40.3212,-79.3795
Laurel Mountain Park,40.2112,-79.185
