<SIZE>33
<LANG>EN
<STATE>Rhode Island,RI
Barrington,41.7407,-71.3087
Bristol,41.677,-71.2662
Central Falls,41.8907,-71.3923
Charlestown,41.3832,-71.6417
Coventry,41.7001,-71.6828
Cranston,41.7798,-71.4373
Cumberland,41.9668,-71.4328
Cumberland Hill,41.9745,-71.467
East Greenwich,41.6604,-71.4559
East Providence,41.8137,-71.3701
Exeter,41.5776,-71.5376
Greenville,41.8712,-71.552
Hopkinton,41.4612,-71.7776
Jamestown,41.497,-71.3673
Kingston,41.4804,-71.5226
Middletown,41.5457,-71.2914
Narragansett Pier,41.4323,-71.4564
Newport,41.4901,-71.3128
North Kingstown,41.5501,-71.4662
North Providence,41.8501,-71.4662
North Scituate,41.8318,-71.5873
North Smithfield,41.9668,-71.5495
Pawtucket,41.8787,-71.3826
Portsmouth,41.6023,-71.2503
Providence,41.824,-71.4128
Smithfield,41.922,-71.5495
Tiverton,41.6259,-71.2134
Valley Falls,41.9068,-71.3906
Warren,41.7304,-71.2825
Warwick,41.7001,-71.4162
West Warwick,41.7062,-71.5231
Westerly,41.3776,-71.8273
Woonsocket,42.0029,-71.5148
