<SIZE>138
<LANG>EN
<STATE>South Carolina,SC
Abbeville,34.1782,-82.379
Aiken,33.5604,-81.7196
Allendale,33,-81.3
Anderson,34.5034,-82.6501
Andrews,33.4513,-79.5609
Awendaw,33.0377,-79.6131
Aynor,33.9999,-79.1995
Bamberg,33.2971,-81.0348
Batesburg-Leesville,33.9101,-81.5373
Beaufort,32.4316,-80.6698
Belvedere,33.531,-81.9448
Bennettsville,34.6174,-79.6848
Berea,34.8854,-82.456
Bethune,34.4149,-80.3487
Bishopville,34.2182,-80.2484
Boiling Springs,33.1352,-81.4312
Bowman,33.3488,-80.6829
Burton,32.4357,-80.724
Calhoun Falls,34.0923,-82.5957
Camden,34.2465,-80.607
Cayce,33.9657,-81.074
Centerville,32.9957,-80.1704
Charleston,32.7766,-79.9309
Cheraw,34.6977,-79.8834
Chesnee,35.1485,-81.8609
Chester,34.7049,-81.2143
Clarks Hill,33.671,-82.1729
Clemson,34.6834,-82.8374
Clinton,34.4726,-81.8807
Columbia,34.0007,-81.0348
Conway,33.836,-79.0478
Cross Hill,34.3048,-81.9829
Darlington,34.2999,-79.8762
Dentsville,34.064,-80.9581
Dillon,34.4165,-79.3712
Easley,34.8298,-82.6015
Eastover,33.8768,-80.6929
Edgefield,33.7896,-81.9296
Edisto Beach,32.4794,-80.3348
Ehrhardt,33.0968,-81.0143
Elloree,33.531,-80.572
Estill,32.7549,-81.2421
Fairfax,32.959,-81.2365
Five Forks,34.8048,-82.2296
Florence,34.1954,-79.7626
Forest Acres,34.0193,-80.9898
Fort Mill,35.0074,-80.9451
Fountain Inn,34.689,-82.1957
Gaffney,35.0718,-81.6498
Gantt,34.8001,-82.4243
Garden City,33.5929,-79.0086
Georgetown,33.3768,-79.2945
Goose Creek,32.981,-80.0326
Great Falls,34.5751,-80.902
Greenville,34.8526,-82.394
Greenwood,34.1954,-82.1618
Greer,34.9387,-82.2271
Hanahan,32.9185,-80.022
Hardeeville,32.2871,-81.0807
Hartsville,34.374,-80.0734
Hilton Head Island,32.2163,-80.7526
Holly Hill,33.3227,-80.4137
Hollywood,32.7343,-80.2418
Homeland Park,34.4707,-82.6707
Honea Path,34.4465,-82.3915
Irmo,34.086,-81.1832
Jackson,33.3254,-81.7879
Jamestown,33.286,-79.6926
Johnsonville,33.8179,-79.4492
Kershaw,34.5518,-80.5837
Kiawah Island,32.6082,-80.0848
Kingstree,33.6677,-79.8306
Ladson,32.9857,-80.1098
Lake City,33.871,-79.7553
Lake Secession,34.2846,-82.5946
Lake View,34.3457,-79.1656
Lancaster,34.7204,-80.7709
Landrum,35.1751,-82.1893
Laurel Bay,32.4502,-80.7848
Laurens,34.499,-82.0143
Lexington,33.9815,-81.2362
Little Mountain,34.1963,-81.4123
Little River,33.8732,-78.6142
Loris,34.0563,-78.8903
Lugoff,34.2274,-80.6892
Manning,33.6952,-80.2109
Marion,34.1782,-79.4006
Mauldin,34.7787,-82.3101
McCormick,33.9135,-82.2935
Moncks Corner,33.196,-80.0131
Mount Pleasant,32.7941,-79.8626
Murrells Inlet,33.551,-79.0414
Myrtle Beach,33.6891,-78.8867
Newberry,34.2746,-81.6187
North,33.6157,-81.102
North Augusta,33.5018,-81.9651
North Charleston,32.8546,-79.9748
North Myrtle Beach,33.816,-78.68
Oak Grove,33.7782,-80.9668
Orangeburg,33.4918,-80.8556
Pageland,34.7732,-80.3917
Pamplico,33.996,-79.5701
Parker,34.8507,-82.4535
Patrick,34.5746,-80.0459
Pinewood,33.7404,-80.4634
Powderville,34.7918,-82.4929
Red Bank,33.9321,-81.2384
Red Hill,33.8207,-79.0189
Ridgeland,32.5,-81
Rock Hill,34.9249,-81.0251
Saint Andrews,34.0488,-81.1031
Saint George,33.186,-80.5757
Saint Matthews,33.6649,-80.7779
Saint Stephen,33.4043,-79.9217
Salem,34.8898,-82.9765
Saluda,34.0015,-81.772
Sans Souci,34.8779,-82.424
Seneca,34.6857,-82.9532
Seven Oaks,34.0488,-81.1465
Simpsonville,34.7371,-82.2543
Socastee,33.6835,-78.9984
South Sumter,33.9057,-80.3462
Spartanburg,34.9496,-81.932
Summerville,33.0185,-80.1757
Taylors,34.9204,-82.2962
Turbeville,33.8907,-80.0184
Union,34.7154,-81.6237
Wade Hampton,34.9037,-82.3332
Wagener,33.6524,-81.3612
Walterboro,32.9052,-80.6668
Welcome,34.8265,-82.439
West Columbia,33.9935,-81.074
Whitmire,34.5029,-81.6115
Williston,33.4026,-81.4201
Winnsboro,34.3807,-81.0865
Woodfield,34.0593,-80.9309
Yemassee,32.6902,-80.8507
York,34.9943,-81.242
