<SIZE>155
<LANG>EN
<STATE>South Dakota,SD
Aberdeen,45.4647,-98.4865
Akaska,45.3325,-100.121
Alexandria,43.6536,-97.7828
Arlington,44.3644,-97.1331
Armour,43.3186,-98.3467
Artesian,44.0091,-97.9209
Astoria,44.5583,-96.5473
Aurora Center,43.5269,-98.5898
Batesland,43.1294,-102.102
Belle Fourche,44.6714,-103.852
Beresford,43.0805,-96.7737
Bison,45.5203,-102.461
Blunt,44.5122,-99.9921
Bonesteel,43.0764,-98.9445
Bowdle,45.453,-99.654
Bradley,45.0905,-97.6437
Brandon,43.5947,-96.572
Bridgewater,43.5516,-97.5076
Britton,45.7916,-97.7509
Brookings,44.3114,-96.7984
Bryant,44.5905,-97.4673
Buffalo,45.5842,-103.546
Bullhead,45.7656,-101.081
Camp Crook,45.5503,-103.975
Canton,43.3008,-96.5928
Carthage,44.1711,-97.7165
Castlewood,44.7227,-97.0301
Chamberlain,43.8108,-99.3307
Clark,44.8777,-97.7331
Clear Lake,44.7458,-96.6826
Columbia,45.613,-98.3126
Conde,45.1572,-98.0976
Cottonwood,43.9669,-101.906
Cresbard,45.17,-98.9484
Custer,43.7667,-103.599
De Smet,44.3875,-97.5504
Dell Rapids,43.8261,-96.7062
Doland,44.8958,-98.1006
Dupree,45.0475,-101.601
Eden,45.6166,-97.4198
Edgemont,43.3011,-103.825
Elk Point,42.6833,-96.6836
Elkton,44.2361,-96.4812
Eureka,45.7694,-99.6196
Faith,45.023,-102.036
Faulkton,45.035,-99.124
Flandreau,44.0494,-96.5953
Florence,45.0547,-97.3298
Fort Thompson,44.0686,-99.4379
Frederick,45.8325,-98.5062
Freeman,43.3525,-97.4373
Gettysburg,45.0116,-99.9557
Gregory,43.2322,-99.4304
Groton,45.4475,-98.0987
Hamill,43.5947,-99.6815
Harrold,44.5244,-99.7393
Hartford,43.623,-96.9426
Hecla,45.883,-98.152
Henry,44.8772,-97.4665
Hermosa,43.8397,-103.191
Herreid,45.8347,-100.069
Herrick,43.115,-99.1879
Highmore,44.5214,-99.4415
Hitchcock,44.6297,-98.4095
Hot Springs,43.4316,-103.474
Hoven,45.2436,-99.7771
Howard,44.0108,-97.5267
Hudson,43.1303,-96.4542
Huron,44.3633,-98.2143
Interior,43.7269,-101.984
Ipswich,45.4444,-99.0293
Iroquois,44.3669,-97.8509
Isabel,45.3941,-101.43
Kadoka,43.8339,-101.51
Kimball,43.7467,-98.9584
Kyle,43.425,-102.177
La Plant,45.1447,-100.652
Lake Andes,43.1564,-98.5415
Lake Norden,44.5805,-97.2092
Langford,45.6025,-97.8304
Lemmon,45.9408,-102.159
Lennox,43.3541,-96.892
Leola,45.7228,-98.9409
Letcher,43.8972,-98.1387
Long Lake,45.8566,-99.2051
Madison,44.0061,-97.114
Martin,43.1725,-101.733
McIntosh,45.9214,-101.35
McLaughlin,45.8144,-100.81
Mellette,45.1544,-98.4976
Midland,44.0717,-101.155
Milbank,45.2191,-96.6356
Miller,44.5183,-98.9884
Mitchell,43.7094,-98.0298
Mobridge,45.5372,-100.428
Morristown,45.9386,-101.723
Murdo,43.8883,-100.713
New Underwood,44.0933,-102.836
Newell,44.7147,-103.421
North Eagle Butte,45.0041,-101.234
North Sioux City,42.5272,-96.4831
Oelrichs,43.1789,-103.231
Oglala,43.1886,-102.74
Oldham,44.2275,-97.3078
Onida,44.708,-100.06
Ortley,45.3322,-97.1956
Parker,43.3975,-97.1364
Parkston,43.3989,-97.9837
Philip,44.0394,-101.665
Pierre,44.3683,-100.351
Pine Ridge,43.0255,-102.556
Plankinton,43.7155,-98.4851
Platte,43.3869,-98.8445
Porcupine,43.2397,-102.331
Presho,43.9097,-100.059
Rapid City,44.0805,-103.231
Rapid Valley,44.0625,-103.146
Redfield,44.8758,-98.5187
Reliance,43.8789,-99.6032
Revillo,45.0166,-96.5712
Rockham,44.9039,-98.8248
Roscoe,45.4486,-99.3387
Rosebud,43.2328,-100.853
Rosholt,45.8666,-96.7315
Salem,43.7241,-97.389
Scotland,43.1497,-97.7176
Selby,45.5064,-100.032
Seneca,45.0616,-99.5121
Sioux Falls,43.55,-96.7003
Sisseton,45.6647,-97.0498
South Shore,45.1058,-96.9287
Spearfish,44.4908,-103.859
Stratford,45.3164,-98.3048
Sturgis,44.4097,-103.509
Timber Lake,45.4292,-101.074
Tyndall,42.9933,-97.8628
Veblen,45.863,-97.2876
Vermillion,42.7794,-96.9292
Viborg,43.1703,-97.0814
Volin,42.9572,-97.1803
Wagner,43.0797,-98.2931
Wall,43.9925,-102.242
Wanblee,43.5694,-101.66
Watertown,44.8994,-97.1151
Webster,45.3322,-97.5201
Wessington Springs,44.0792,-98.5695
White Horse,43.3083,-100.597
White River,43.5681,-100.745
Whitehorse,45.2705,-100.887
Wilmot,45.4086,-96.8578
Winner,43.3767,-99.859
Wolsey,44.4078,-98.4748
Wood,43.4969,-100.477
Woonsocket,44.0536,-98.2756
Yankton,42.8711,-97.3973
