<SIZE>159
<LANG>EN
<STATE>Tennessee,TN
Alcoa,35.7895,-83.9738
Alexandria,36.0776,-86.0333
Ardmore,34.992,-86.8467
Ashland City,36.2742,-87.0642
Athens,35.4429,-84.593
Atoka,35.4412,-89.7781
Bartlett,35.2045,-89.874
Benton,35.1742,-84.6535
Bloomingdale,36.5845,-82.4893
Bolivar,35.2562,-88.9878
Braden,35.3795,-89.5681
Brentwood,36.0331,-86.7828
Bristol-Tri City,36.5951,-82.1887
Brownsville,35.594,-89.2623
Byrdstown,36.5745,-85.1288
Camden,36.0589,-88.0978
Carthage,36.2523,-85.9517
Celina,36.5501,-85.5052
Centerville,35.779,-87.467
Chapel Hill,35.6265,-86.6933
Chattanooga,35.0456,-85.3097
Church Hill,36.5223,-82.7135
Clarksburg,35.8717,-88.3931
Clarksville,36.5298,-87.3595
Cleveland,35.1595,-84.8766
Clinton,36.1034,-84.1319
Collegedale,35.0531,-85.0502
Collierville,35.042,-89.6645
Colonial Heights,36.4851,-82.5032
Columbia,35.6151,-87.0353
Cookeville,36.1628,-85.5016
Copperhill,34.989,-84.3708
Covington,35.5642,-89.6465
Crossville,35.949,-85.0269
Dayton,35.494,-85.0125
Dickson,36.077,-87.3878
Dover,36.4878,-87.8384
Dunlap,35.3715,-85.3905
Dyer,36.0667,-88.994
Dyersburg,36.0345,-89.3856
East Brainerd,34.9959,-85.1502
East Chattanooga,35.0653,-85.2491
East Ridge,35.0142,-85.2519
Elizabethton,36.3487,-82.2107
Erin,36.3184,-87.6947
Erwin,36.1451,-82.4168
Fairfield Glade,36.0003,-84.8863
Fairview,35.982,-87.1214
Farragut,35.8845,-84.1535
Fayetteville,35.152,-86.5705
Franklin,35.9251,-86.8689
Gainesboro,36.3556,-85.6589
Gallatin,36.3884,-86.4467
Germantown,35.0868,-89.8101
Goodlettsville,36.3231,-86.7133
Green Hill,36.2228,-86.5494
Greeneville,36.1632,-82.831
Gruetli-Laager,35.3723,-85.618
Harriman,35.934,-84.5524
Harrison,35.1137,-85.138
Harrogate,36.5823,-83.6569
Henderson,35.4392,-88.6414
Hendersonville,36.3048,-86.62
Hohenwald,35.5479,-87.552
Humboldt,35.8198,-88.9159
Huntland,35.0512,-86.2697
Jackson,35.6145,-88.8139
Jamestown,36.4276,-84.9319
Jefferson City,36.1223,-83.4924
Jellico,36.5879,-84.1269
Johnson City,36.3134,-82.3535
Kingsport,36.5484,-82.5618
Kingston,35.8809,-84.5085
Knoxville,35.9606,-83.9207
La Vergne,36.0156,-86.5819
LaFollette,36.3829,-84.1199
Lafayette,36.5212,-86.0264
Lakeland,35.2306,-89.7404
Lawrenceburg,35.2423,-87.3347
Lebanon,36.2081,-86.2911
Lenoir City,35.7973,-84.256
Lewisburg,35.4492,-86.7889
Lexington,35.6509,-88.3934
Linden,35.6173,-87.8395
Livingston,36.3834,-85.323
Loretto,35.0779,-87.4397
Lynchburg,35.2831,-86.3742
Manchester,35.4817,-86.0886
Martin,36.3434,-88.8503
Maryville,35.7565,-83.9705
Maury City,35.8148,-89.2256
Maynardville,36.2506,-83.7974
McKenzie,36.1326,-88.5187
McMinnville,35.6834,-85.77
Memphis,35.1495,-90.049
Middle Valley,35.1959,-85.1847
Middleton,35.0645,-88.8909
Milan,35.9198,-88.7589
Millersville,36.3712,-86.71
Millington,35.3415,-89.8973
Monteagle,35.2401,-85.8397
Monterey,36.1476,-85.2683
Morristown,36.214,-83.2949
Moscow,35.062,-89.404
Mount Carmel,35.4978,-88.0078
Mount Juliet,36.2001,-86.5186
Mountain City,36.4746,-81.8048
Munford,35.4492,-89.8151
Murfreesboro,35.8456,-86.3903
Nashville,36.1659,-86.7844
New South Memphis,35.0868,-90.0568
Newport,35.967,-83.1877
Oak Ridge,36.0104,-84.2696
Obion,36.259,-89.1917
Oneida,36.4981,-84.5127
Ooltewah,35.0751,-85.0622
Paris,36.302,-88.3267
Parsons,35.6498,-88.1267
Pigeon Forge,35.7884,-83.5543
Pikeville,35.6056,-85.1889
Portland,36.5817,-86.5164
Pulaski,35.1998,-87.0308
Red Bank,35.1123,-85.2941
Ripley,35.7454,-89.5298
Roan Mountain,36.1962,-82.0704
Rockwood,35.8656,-84.6849
Rogersville,36.4073,-83.0054
Sardis,35.4423,-88.2936
Savannah,35.2248,-88.2492
Selmer,35.1701,-88.5923
Sevierville,35.8681,-83.5618
Seymour,35.8906,-83.7246
Shelbyville,35.4834,-86.4603
Signal Mountain,35.1226,-85.3438
Slayden,36.2948,-87.4703
Smithville,35.9606,-85.8141
Smyrna,35.9828,-86.5186
Sneedville,36.5298,-83.2174
Soddy-Daisy,35.2359,-85.1908
Somerville,35.2437,-89.3501
South Cleveland,35.1412,-84.8722
South Pittsburg,35.0123,-85.7044
Sparta,35.9259,-85.4641
Spring City,35.692,-84.8608
Spring Hill,35.7512,-86.93
Springfield,36.5092,-86.885
Sunbright,36.2434,-84.6699
Sweetwater,35.6015,-84.461
Tellico Plains,35.3629,-84.2941
Tiptonville,36.3784,-89.472
Townsend,35.6754,-83.7557
Tullahoma,35.362,-86.2094
Union City,36.4242,-89.057
Waverly,36.084,-87.7947
Waynesboro,35.3195,-87.7622
Westmoreland,36.562,-86.248
White House,36.4703,-86.6514
Winchester,35.1859,-86.1122
Woodbury,35.8276,-86.0717
