<SIZE>674
<LANG>EN
<STATE>Texas,TX
Abernathy,33.8323,-101.843
Abilene,32.4487,-99.7331
Ackerly,32.5265,-101.716
Addison,32.9618,-96.8292
Adrian,35.2748,-102.665
Alamo,26.1837,-98.1231
Alamo Heights,29.485,-98.4659
Albany,32.7235,-99.2973
Aldine,29.9324,-95.3802
Alice,27.7522,-98.0697
Allen,33.1032,-96.6705
Alpine,30.3585,-103.661
Alton,26.2873,-98.3133
Alton North,26.2953,-98.3045
Alvin,29.4238,-95.2441
Amarillo,35.222,-101.831
Anahuac,29.773,-94.6827
Anderson Mill,30.4549,-97.8058
Andrews,32.3187,-102.546
Angleton,29.1694,-95.4319
Anson,32.7565,-99.8962
Aransas Pass,27.9095,-97.15
Archer City,33.5957,-98.6256
Arlington,32.7357,-97.1081
Aspermont,33.1334,-100.227
Atascocita,29.9988,-95.1766
Athens,32.2049,-95.8555
Atlanta,33.1137,-94.1644
Austin,30.2672,-97.7431
Avery,33.5521,-94.781
Azle,32.8951,-97.5459
Bacliff,29.5069,-94.9924
Balch Springs,32.7287,-96.6228
Ballinger,31.7382,-99.9473
Balmorhea,30.9843,-103.745
Bartlett,30.7949,-97.4256
Bastrop,30.1105,-97.3153
Batesville,28.9511,-99.6178
Bay City,28.9828,-95.9694
Baytown,29.7355,-94.9774
Beaumont,30.086,-94.1018
Bedford,32.844,-97.1431
Beeville,28.4008,-97.7483
Bellaire,29.7058,-95.4588
Bellmead,31.5941,-97.1089
Bellville,29.9502,-96.2572
Belton,31.056,-97.4645
Benavides,27.5989,-98.4081
Benbrook,32.6732,-97.4606
Benjamin,33.584,-99.7923
Big Lake,31.1915,-101.46
Big Spring,32.2504,-101.479
Big Wells,28.5733,-99.5687
Blackwell,32.0868,-100.318
Blanco,30.098,-98.4214
Bloomington,28.6478,-96.8925
Blum,32.1427,-97.3972
Boerne,29.7947,-98.732
Bogata,33.4707,-95.2138
Bolivar Peninsula,29.4783,-94.5799
Bonham,33.5773,-96.1783
Booker,36.4534,-100.537
Borger,35.6678,-101.397
Bovina,34.5137,-102.883
Bowie,33.559,-97.8486
Brackettville,29.3105,-100.418
Brady,31.1352,-99.3351
Breckenridge,32.7557,-98.9023
Bremond,31.1652,-96.6769
Brenham,30.1669,-96.3977
Briar,32.9951,-97.5428
Bridge City,30.0208,-93.8457
Bridgeport,33.2101,-97.7548
Broaddus,31.3069,-94.2691
Brownfield,33.1812,-102.274
Brownsboro,32.3024,-95.6136
Brownsville,25.9017,-97.4975
Brownwood,31.7093,-98.9912
Brushy Creek,30.5135,-97.7397
Bryan,30.6744,-96.37
Buffalo,31.4638,-96.058
Buna,30.433,-93.9624
Burkburnett,34.0979,-98.5706
Burleson,32.5421,-97.3208
Burnet,30.7582,-98.2284
Cactus,27.907,-99.3939
Caldwell,30.5313,-96.693
Cameron,30.8532,-96.9769
Cameron Park,25.9645,-97.4767
Camp Swift,30.1908,-97.2922
Camp Wood,29.6694,-100.012
Canadian,35.9128,-100.382
Canton,32.5565,-95.8633
Canutillo,31.9115,-106.6
Canyon,34.9803,-101.919
Canyon Lake,29.8752,-98.2625
Carmine,30.1494,-96.6861
Carrizo Springs,28.5219,-99.8606
Carrollton,32.9537,-96.8903
Carthage,32.1574,-94.3374
Castroville,29.3558,-98.8786
Catarina,28.3455,-99.6134
Cedar Hill,32.5885,-96.9561
Cedar Park,30.5052,-97.8203
Center,31.5107,-96.4247
Centerville,31.258,-95.9783
Channelview,29.7761,-95.1147
Channing,35.6837,-102.33
Charlotte,28.8619,-98.7064
Chester,30.9263,-94.5966
Childress,34.4265,-100.204
Chillicothe,34.2565,-99.5168
Chireno,31.4993,-94.3519
Christoval,31.1935,-100.499
Cibolo,29.5616,-98.227
Cinco Ranch,29.7388,-95.758
Clarendon,34.9378,-100.888
Clarksville,33.6107,-95.0527
Claude,35.1117,-101.363
Cleburne,32.3476,-97.3867
Cleveland,31.6768,-99.2537
Clifton,31.7824,-97.5767
Cloverleaf,29.7783,-95.1719
Clute,29.0247,-95.3988
Clyde,32.406,-99.4937
Coleman,31.8274,-99.4265
College Station,30.628,-96.3344
Colleyville,32.881,-97.155
Colorado City,32.3882,-100.865
Columbus,29.7066,-96.5397
Comanche,31.8974,-98.6037
Comfort,29.9677,-98.905
Commerce,33.2471,-95.9
Conroe,30.3119,-95.4561
Converse,29.518,-98.3161
Cooper,33.3734,-95.6883
Coppell,32.9546,-97.015
Copperas Cove,31.1241,-97.9031
Corinth,33.154,-97.0647
Corpus Christi,27.8006,-97.3964
Corrigan,30.9969,-94.8272
Corsicana,32.0954,-96.4689
Cotulla,28.4369,-99.235
Coyanosa,31.2429,-103.065
Crane,31.3974,-102.35
Cranfills Gap,31.7738,-97.8259
Crockett,31.3182,-95.4566
Cross Plains,32.1262,-99.1653
Crowell,33.984,-99.7248
Crowley,32.579,-97.3625
Crystal City,28.6775,-99.8281
Cuero,29.0939,-97.2892
Cushing,31.8146,-94.8405
Daingerfield,33.0318,-94.7219
Dalhart,36.0595,-102.513
Dallas,32.7831,-96.8067
Dayton,30.0466,-94.8852
De Leon,32.111,-98.5359
DeSoto,32.5899,-96.8569
Decatur,33.2343,-97.5861
Deer Park,29.7052,-95.1238
Del Rio,29.3627,-100.897
Dell City,31.9387,-105.201
Denison,33.7557,-96.5367
Denton,33.2148,-97.1331
Denver City,32.9645,-102.829
Detroit,33.6615,-95.2666
Devine,29.14,-98.9053
Deweyville,30.2977,-93.7435
Diboll,31.1871,-94.781
Dickinson,29.4608,-95.0513
Dilley,28.6675,-99.1706
Dimmitt,34.5509,-102.312
Dodson,34.7667,-100.024
Donna,26.1704,-98.0519
Dripping Springs,30.1902,-98.0867
Dumas,35.8656,-101.973
Duncanville,32.6518,-96.9083
Eagle Lake,29.5897,-96.3336
