<SIZE>147
<LANG>EN
<STATE>Utah,UT
Alpine,40.4533,-111.778
Altamont,40.3594,-110.286
Alton,37.4378,-112.483
American Fork,40.3769,-111.796
Aneth,37.2161,-109.187
Antimony,38.1169,-112
Beaver,38.2769,-112.641
Big Water,37.0825,-111.664
Blanding,37.6242,-109.478
Bluff,37.2844,-109.552
Bluffdale,40.4897,-111.939
Boulder Town,37.9083,-111.423
Bountiful,40.8894,-111.881
Brigham City,41.5102,-112.016
Canyon Rim,40.7066,-111.822
Cedar City,37.6775,-113.062
Cedar Hills,40.4141,-111.759
Centerville,40.918,-111.872
Circleville,38.1716,-112.27
Clarkston,41.9202,-112.05
Clearfield,41.1108,-112.026
Clinton,41.1397,-112.05
Coalville,40.9177,-111.399
Cottonwood Heights,40.6197,-111.81
Delta,39.3522,-112.577
Draper,40.5247,-111.864
Duchesne,40.1633,-110.403
Dugway,40.2211,-112.744
Eagle Mountain,40.3141,-112.007
East Carbon City,39.5477,-110.415
East Millcreek,40.6999,-111.81
Emery,38.923,-111.249
Enterprise,37.5736,-113.719
Ephraim,39.3597,-111.586
Escalante,37.7703,-111.602
Eureka,39.9541,-112.12
Farmington,40.9805,-111.887
Ferron,39.0936,-111.133
Fillmore,38.9689,-112.324
Garden City,41.9469,-111.394
Grantsville,40.5999,-112.464
Green River,38.9953,-110.162
Gunnison,39.1552,-111.818
Halchita,37.1258,-109.888
Halls Crossing,37.4569,-110.713
Hanksville,38.373,-110.714
Harrisville,41.2813,-111.988
Heber City,40.5069,-111.413
Herriman,40.5141,-112.033
Highland,40.45,-111.77
Hildale,37.0036,-112.967
Holladay,40.6688,-111.825
Howell,41.796,-112.444
Huntington,39.3266,-110.965
Hurricane,37.1753,-113.29
Hyrum,41.6341,-111.852
Ivins,37.1686,-113.679
Kanab,37.0475,-112.526
Kanosh,38.8014,-112.437
Kaysville,41.0352,-111.939
Kearns,40.6599,-111.996
Koosharem,38.5103,-111.881
La Sal,38.3122,-109.248
Layton,41.0602,-111.971
Lehi,40.3916,-111.851
Lindon,40.3433,-111.721
Little Cottonwood Creek Valley,40.6044,-111.829
Loa,38.4028,-111.643
Logan,41.7355,-111.834
Magna,40.7091,-112.102
Manila,40.988,-109.723
Mapleton,40.1302,-111.579
Marysvale,38.4494,-112.23
Midvale,40.6111,-111.9
Milford,38.3969,-113.011
Millcreek,40.6869,-111.875
Minersville,38.2141,-112.924
Moab,38.5733,-109.55
Monticello,37.8714,-109.343
Mount Olympus,40.6855,-111.789
Mount Pleasant,39.5469,-111.455
Murray,40.6669,-111.888
Navajo Mountain,37.0194,-110.791
Nephi,39.7102,-111.836
New Harmony,37.4794,-113.31
North Logan,41.7694,-111.805
North Ogden,41.3072,-111.96
North Salt Lake,40.8486,-111.907
Oak City,39.375,-112.335
Ogden,41.223,-111.974
Oquirrh,40.6305,-112.034
Orderville,37.2758,-112.638
Orem,40.2969,-111.695
Panguitch,37.8228,-112.436
Park City,40.6461,-111.498
Parowan,37.8422,-112.828
Payson,40.0444,-111.732
Pleasant Grove,40.3641,-111.739
Pleasant View,41.3183,-111.992
Price,39.5994,-110.811
Providence,41.7063,-111.817
Provo,40.2338,-111.659
Randolph,41.6658,-111.182
Richfield,38.7725,-112.084
Riverdale,41.1769,-112.004
Riverton,40.5219,-111.939
Roosevelt,40.2994,-109.989
Roy,41.1616,-112.026
Rush Valley,40.363,-112.451
Saint George,37.1041,-113.584
Salem,40.053,-111.674
Salina,38.9577,-111.86
Salt Lake City,40.7608,-111.891
Samak,40.6175,-111.214
Sandy City,40.5916,-111.884
Santa Clara,37.133,-113.654
Santaquin,39.9755,-111.785
Scipio,39.245,-112.104
Scofield,39.7241,-111.161
Smithfield,41.8383,-111.833
Snowville,41.9655,-112.71
South Jordan,40.5622,-111.93
South Ogden,41.1919,-111.971
South Salt Lake,40.7188,-111.888
South Weber,41.1324,-111.93
Spanish Fork,40.115,-111.655
Springdale,37.1889,-112.999
Springville,40.1652,-111.611
Summit Park,40.7458,-111.612
Syracuse,41.0894,-112.065
Tabiona,40.3547,-110.713
Taylorsville,40.6677,-111.939
Tooele,40.5308,-112.298
Torrey,38.2989,-111.419
Tremonton,41.7119,-112.166
Tropic,37.6253,-112.082
Vernal,40.4555,-109.529
Vernon,40.0922,-112.434
Washington,37.1305,-113.508
Washington Terrace,41.1727,-111.977
Wendover,40.7372,-114.038
West Haven,41.203,-112.051
West Jordan,40.6097,-111.939
West Point,41.1183,-112.084
West Valley City,40.6916,-112.001
White City,40.5658,-111.864
Woods Cross,40.8716,-111.892
