<SIZE>199
<LANG>EN
<STATE>Virginia,VA
Abingdon,36.7098,-81.9773
Alexandria,38.8048,-77.0469
Altavista,37.1118,-79.2856
Annandale,38.8304,-77.1964
Appomattox,37.3571,-78.8253
Aquia Harbour,38.4626,-77.3889
Arlington County,38.8904,-77.0841
Ashland,37.759,-77.48
Baileys Crossroads,38.8504,-77.1297
Bedford,37.3343,-79.5231
Belle Haven,38.7854,-77.063
Bellwood,37.4218,-77.4375
Bensley,37.4468,-77.4433
Big Stone Gap,36.8818,-82.7471
Blacksburg,37.2296,-80.4139
Blackstone,37.0804,-77.9972
Bluefield,37.2526,-81.2712
Bon Air,37.5249,-77.5578
Bowling Green,38.0496,-77.3466
Boykins,36.5832,-77.2
Bridgewater,38.3821,-78.9767
Bristol,36.5965,-82.1885
Brookneal,37.0501,-78.9442
Buchanan,37.5274,-79.6798
Buena Vista,37.7343,-79.3539
Bull Run,38.7837,-77.5205
Burke,38.7934,-77.2717
Burkeville,37.1877,-78.2014
Cana,36.5896,-80.6717
Cape Charles,37.2679,-76.0174
Cave Spring,37.2276,-80.0128
Centreville,38.8404,-77.4289
Chantilly,38.8943,-77.4311
Charlottesville,38.0293,-78.4767
Chase City,36.7993,-78.4583
Chatham,36.8257,-79.3981
Chesapeake,36.819,-76.2749
Chester,37.3568,-77.4417
Chincoteague,37.9332,-75.3788
Christiansburg,37.1299,-80.4089
Claremont,37.2279,-76.9641
Clarksville,36.624,-78.5569
Clintwood,37.1501,-82.456
Clover,36.8326,-78.7333
Coeburn,36.944,-82.464
Collinsville,36.7151,-79.9153
Colonial Beach,38.2546,-76.9636
Colonial Heights,37.268,-77.4073
Columbia,37.7529,-78.1625
Covington,37.7935,-79.9939
Craigsville,38.0787,-79.3831
Culpeper,38.4732,-77.9967
Dale City,38.6371,-77.3111
Danville,36.586,-79.395
Dillwyn,37.5429,-78.4572
Dumbarton,37.6038,-77.4914
Dunn Loring,38.8934,-77.2216
East Hampton,37.0374,-76.3316
East Highland Park,37.581,-77.4069
Elkton,38.4079,-78.6236
Emporia,36.686,-77.5425
Ettrick,37.2402,-77.43
Ewing,36.6368,-83.4316
Exmore,37.5318,-75.823
Fairfax,38.8462,-77.3064
Falls Church,38.8823,-77.1711
Farmville,37.3021,-78.3919
Fishersville,38.099,-78.9692
Floyd,36.9112,-80.3201
Forest,37.3638,-79.2897
Fort Hunt,38.7329,-77.058
Fort Lee,37.4957,-77.3353
Franconia,38.7821,-77.1464
Franklin,36.6777,-76.9225
Fredericksburg,38.3032,-77.4605
Front Royal,38.9182,-78.1944
Galax,36.6612,-80.924
Gate City,36.6379,-82.581
Glen Allen,37.666,-77.5064
Gloucester Point,37.254,-76.4969
Great Falls,38.9982,-77.2883
Groveton,38.7673,-77.0847
Grundy,37.2779,-82.099
Hampton,37.0299,-76.3452
Harrisonburg,38.4496,-78.8689
Herndon,38.9696,-77.3861
Highland Springs,37.546,-77.3278
Hillsboro,37.7101,-76.9827
Hillsville,36.7626,-80.7348
Hollins,37.3412,-79.9431
Hopewell,37.3043,-77.2872
Huntington,38.7923,-77.0708
Hybla Valley,38.7476,-77.083
Idylwood,38.8951,-77.2116
Independence,36.6223,-81.1509
Ivor,36.904,-76.8997
Jefferson,38.8646,-77.1878
Keysville,37.0404,-78.4833
Kilmarnock,37.7104,-76.3797
Lake Barcroft,38.8479,-77.1558
Lake Monticello,37.9232,-78.3347
Lake Ridge,38.6879,-77.2978
Lakeside,37.6076,-77.4769
Laurel,37.6429,-77.5089
Lawrenceville,36.7576,-77.8469
Lebanon,36.9009,-82.0801
Leesburg,39.1157,-77.5636
Lexington,37.784,-79.4428
Lincolnia,38.8184,-77.1433
Linton Hall,38.7598,-77.575
Lorton,38.7043,-77.2278
Louisa,38.0251,-78.0042
Luray,38.6654,-78.4594
Lynchburg,37.4138,-79.1423
Madison Heights,37.431,-79.1231
Manassas,38.7509,-77.4753
Manassas Park,38.784,-77.4697
Mantua,38.8537,-77.2594
Marion,36.8348,-81.5148
Martinsville,36.6915,-79.8725
McKenney,36.9868,-77.7231
McLean,38.9343,-77.1775
Mechanicsville,37.6088,-77.3733
Merrifield,38.8743,-77.2269
Middleburg,38.9687,-77.7355
Montclair,38.611,-77.3397
Monterey,38.4123,-79.5806
Montrose,37.5207,-77.3783
New Castle,37.5001,-80.1109
Newington,38.7384,-77.185
Newport News,36.9788,-76.428
Norfolk,36.8468,-76.2852
North Shore,37.0821,-79.6584
North Springfield,38.8043,-77.2047
Oakton,38.8809,-77.3008
Onancock,37.7118,-75.7491
Orange,38.2454,-78.1108
Patrick Springs,36.6418,-80.1951
Pearisburg,37.3265,-80.7351
Pennington Gap,36.7584,-83.0271
Petersburg,37.2279,-77.4019
Pimmit Hills,38.9129,-77.2008
Poquoson,37.1224,-76.3458
Portsmouth,36.8354,-76.2983
Portsmouth Heights,36.821,-76.3688
Pulaski,37.0479,-80.7798
Radford,37.1318,-80.5764
Reston,38.9687,-77.3411
Richlands,37.0932,-81.7937
Richmond,37.5538,-77.4603
Roanoke,37.271,-79.9414
Rocky Mount,36.9976,-79.892
Rose Hill,38.7887,-77.1128
Salem,37.2935,-80.0548
Saltville,36.8815,-81.7621
Saxis,37.924,-75.7219
